Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	8.0	[0, 6.59, 6.59, 3.86, 2.64, 2.0, 1.6, 1.33, 1.08]	[0, 20, 21, 22, 23, 24, 25, 26, 27]	[0, 14.49, 14.49, 16.98, 17.42, 17.59, 17.59, 17.59, 16.63]	10.68
2	8.75	[0, 0.2, 0.2, 4.3, 2.87, 2.19, 1.75, 1.46, 1.25]	[0, 80, 81, 82, 83, 84, 85, 86, 87]	[0, 0.44, 0.44, 18.91, 18.91, 19.24, 19.24, 19.24, 19.24]	15.06
3	8.32	[0, 5.2, 8.0, 4.12, 2.77, 2.07, 1.66, 1.38, 1.18]	[0, 117, 118, 119, 120, 121, 122, 123, 124]	[0, 11.44, 17.59, 18.12, 18.3, 18.21, 18.21, 18.21, 18.12]	13.4
4	10.85	[0, 8.12, 8.12, 5.36, 3.59, 2.71, 2.16, 1.8, 1.55, 1.35, 1.2, 1.08, 0.98, 0.9]	[0, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167]	[0, 17.86, 17.86, 23.55, 23.71, 23.79, 23.79, 23.79, 23.79, 23.79, 23.79, 23.79, 23.79, 23.86]	18.53
5	10.53	[0, 5.98, 10.28, 5.14, 3.5, 2.63, 2.11, 1.75, 1.5, 1.31]	[0, 194, 195, 196, 197, 198, 199, 200, 201, 202]	[0, 13.15, 22.61, 22.61, 23.09, 23.16, 23.16, 23.09, 23.09, 23.09]	20.36
6	10.39	[0, 7.14, 10.39, 5.07, 3.39, 2.54, 2.03, 1.7, 1.46, 1.28, 0.41]	[0, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236]	[0, 15.7, 22.85, 22.3, 22.36, 22.36, 22.36, 22.45, 22.54, 22.54, 8.11]	27.51
7	13.26	[0, -0.4, 11.1, 6.41, 4.36, 3.31, 2.65, 2.21, 1.89, 1.65]	[0, 264, 265, 266, 267, 268, 269, 270, 271, 272]	[0, -0.88, 24.41, 28.17, 28.74, 29.16, 29.16, 29.16, 29.09, 29.03]	38.61
8	13.07	[0, 5.75, 12.02, 6.49, 4.36, 3.27, 2.61, 2.18, 1.86, 1.63, 1.44]	[0, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310]	[0, 12.64, 26.43, 28.52, 28.74, 28.74, 28.74, 28.74, 28.68, 28.68, 28.59]	47.78
9	13.13	[0, 8.71, 12.71, 6.47, 4.35, 3.27, 2.63, 2.19, 1.87, 1.63]	[0, 346, 347, 348, 349, 350, 351, 352, 353, 354]	[0, 19.15, 27.95, 28.46, 28.68, 28.81, 28.87, 28.87, 28.81, 28.74, 28.74]	49.57
10	16.3	[0, 0, 0.65, 15.73, 8.1, 5.42, 4.08, 3.25, 2.71, 2.32, 2.03, 1.79]	[0, 355, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392]	[0, 1.43, 34.59, 35.6, 35.74, 35.85, 35.78, 35.78, 35.74, 35.67, 35.47]	57.6
11	15.52	[0, -0.33, 15.52, 7.54, 5.03, 3.86, 3.06, 2.55, 2.19, 1.92, 1.7, 1.0]	[0, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431]	[0, -0.73, 34.13, 33.16, 33.16, 33.93, 33.69, 33.69, 33.69, 33.69, 33.62, 22.06]	61.77
12	16.04	[0, 12.48, 12.48, 7.85, 5.3, 3.99, 3.21, 2.57, 2.2, 1.93, 1.7, 0.94]	[0, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470]	[0, 27.44, 27.44, 34.53, 34.97, 35.1, 35.27, 33.93, 33.87, 33.87, 33.69, 20.67]	68.07
13	19.44	[0, 0.07, 18.37, 9.52, 6.39, 4.8, 3.85, 3.21, 2.76, 2.42, 2.16, 1.94]	[0, 499, 500, 501, 502, 503, 504, 505, 506, 507, 508, 509]	[0, 0.15, 40.4, 41.85, 42.18, 42.24, 42.35, 42.35, 42.42, 42.64, 42.75, 42.75]	78.82
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	6.59	10.48
21	6.59	10.48
22	7.72	9.92
23	7.92	9.84
24	8.0	9.84
25	8.0	10.68
26	8.0	10.61
27	7.56	10.61
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0.2	6.94
81	0.2	14.4
82	8.6	14.56
83	8.6	14.76
84	8.75	14.76
85	8.75	14.45
86	8.75	15.06
87	8.75	15.06
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	5.2	12.78
118	8.0	12.78
119	8.24	12.78
120	8.32	13.23
121	8.28	13.23
122	8.28	13.23
123	8.28	13.4
124	8.24	13.4
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	8.12	4.53
156	8.12	4.53
157	10.71	4.53
158	10.78	4.53
159	10.82	4.53
160	10.82	4.53
161	10.82	18.33
162	10.82	18.08
163	10.82	18.08
164	10.82	18.08
165	10.82	17.95
166	10.82	17.95
167	10.85	18.53
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	5.98	8.12
195	10.28	8.12
196	10.28	8.12
197	10.5	8.12
198	10.53	20.13
199	10.53	20.13
200	10.5	20.13
201	10.5	20.13
202	10.5	20.36
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	7.14	13.34
228	10.39	25.68
229	10.14	25.68
230	10.17	26.8
231	10.17	26.8
232	10.17	27.51
233	10.21	27.51
234	10.25	27.51
235	10.25	27.51
236	3.69	27.51
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	-0.4	21.49
265	11.1	38.17
266	12.81	38.17
267	13.07	38.17
268	13.26	38.17
269	13.26	36.63
270	13.26	36.99
271	13.23	36.99
272	13.2	38.61
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
