Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	13.94	[0, 0.0, 8.19, 13.73, 6.94, 4.65, 1.24, -0.06, -0.09]	[0, 21, 22, 23, 24, 25, 26, 27, 28]	[0, 0.0, 18.01, 30.19, 30.52, 30.66, 10.91, -0.62, -1.25]
2	14.47	[0, 0.0, 10.66, 14.28, 7.14, 4.82, 1.88, -0.02]	[0, 40, 41, 42, 43, 44, 45, 46]	[0, 0.0, 23.44, 31.4, 31.4, 31.82, 16.49, -0.24]
3	15.71	[0, 0.0, 14.73, 15.44, 7.79, 5.24, 0.78, -0.16]	[0, 67, 68, 69, 70, 71, 72, 73]	[0, 0.0, 32.39, 33.95, 34.26, 34.55, 6.86, -1.76]
4	17.47	[0, 0.0, 17.08, 17.18, 8.7, 5.82, 4.31, 0.02]	[0, 96, 97, 98, 99, 100, 101, 102]	[0, 0.0, 37.56, 37.78, 38.24, 38.42, 37.91, 0.24]
5	7.43	[0, 0.0, 7.28, 7.43, 2.44, -0.06]	[0, 139, 140, 141, 142, 143]	[0, 0.0, 16.01, 16.34, 10.73, -0.37]
6	18.59	[0, 0.0, 18.47, 18.35, 9.23, 6.19, 4.65, 2.41, 0.07]	[0, 189, 190, 191, 192, 193, 194, 195, 196]	[0, 0.0, 40.62, 40.35, 40.62, 40.84, 40.88, 26.54, 0.97]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	8.19
23	13.73
24	13.88
25	13.94
26	4.96
27	-0.28
28	-0.57
29	-0.28
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	10.66
42	14.28
43	14.28
44	14.47
45	7.5
46	-0.11
47	-0.11
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	14.73
69	15.44
70	15.58
71	15.71
72	3.12
73	-0.8
74	-0.75
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	17.08
98	17.18
99	17.39
100	17.47
101	17.24
102	0.11
103	-0.28
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	7.28
141	7.43
142	4.88
143	-0.17
144	-0.51
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	18.47
191	18.35
192	18.47
193	18.57
194	18.59
195	12.07
196	0.44
197	-0.11
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
