Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=8.2
1	11.1	[0, 0.0, 3.1, 7.53, 2.05, 1.65, 0.28, 0.2, 0.21, 0.25, 0.29, 0.29, 0.28, 0.27, 0.26, 0.25, 0.24, 0.23, 0.22, 0.22, 0.21, 0.2, 0.2, 0.19, 0.19, 0.18, 0.18, 0.17, 0.17, 0.16, 0.16, 0.15, 0.15, 0.15, 0.14, 0.14, 0.13, 0.13, 0.13, 0.12, 0.12, 0.12, 0.12, 0.11, 0.11, 0.11, 0.1, 0.1, 0.1, 0.1, 0.09, 0.09, 0.09, 0.09, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.06, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12, 0.12, 0.0, 0.3, 0.06, 0.12, 0.02]	[0, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160]	[0, 0.0, 6.82, 23.38, 24.12, 24.41, 16.98, 0.79, -0.15, -0.55, -0.68, 0.0, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.0, 0.53, 0.66, 0.79, 0.79, 0.66]
2	1.55	[0, 0.0, 1.55, 0.5]	[0, 163, 164, 165]	[0, 0.0, 3.41, 2.31]
3	2.29	[0, 0.0, 2.29, 0.91]	[0, 169, 170, 171]	[0, 0.0, 5.04, 3.03]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	3.1
17	10.63
18	10.97
19	11.1
20	7.72
21	0.36
22	-0.07
23	-0.25
24	-0.31
25	0.0
26	0.12
27	0.12
28	0.12
29	0.12
30	0.12
31	0.12
32	0.12
33	0.12
34	0.12
35	0.12
36	0.12
37	0.12
38	0.12
39	0.12
40	0.12
41	0.12
42	0.12
43	0.12
44	0.12
45	0.12
46	0.12
47	0.12
48	0.12
49	0.12
50	0.12
51	0.12
52	0.12
53	0.12
54	0.12
55	0.12
56	0.12
57	0.12
58	0.12
59	0.12
60	0.12
61	0.12
62	0.12
63	0.12
64	0.12
65	0.12
66	0.12
67	0.12
68	0.12
69	0.12
70	0.12
71	0.12
72	0.12
73	0.12
74	0.12
75	0.12
76	0.12
77	0.12
78	0.12
79	0.12
80	0.12
81	0.12
82	0.12
83	0.12
84	0.12
85	0.12
86	0.12
87	0.12
88	0.12
89	0.12
90	0.12
91	0.12
92	0.12
93	0.12
94	0.12
95	0.12
96	0.12
97	0.12
98	0.12
99	0.12
100	0.12
101	0.12
102	0.12
103	0.12
104	0.12
105	0.12
106	0.12
107	0.12
108	0.12
109	0.12
110	0.12
111	0.12
112	0.12
113	0.12
114	0.12
115	0.12
116	0.12
117	0.12
118	0.12
119	0.12
120	0.12
121	0.12
122	0.12
123	0.12
124	0.12
125	0.12
126	0.12
127	0.12
128	0.12
129	0.12
130	0.12
131	0.12
132	0.12
133	0.12
134	0.12
135	0.12
136	0.12
137	0.12
138	0.12
139	0.12
140	0.12
141	0.12
142	0.12
143	0.12
144	0.12
145	0.12
146	0.12
147	0.12
148	0.12
149	0.12
150	0.12
151	0.12
152	0.12
153	0.12
154	0.12
155	0.0
156	0.24
157	0.3
158	0.36
159	0.36
160	0.3
161	0.71
162	0
163	0
164	1.55
165	1.05
166	0.99
167	0
168	0
169	0
170	2.29
171	1.38
172	1.21
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
