Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	12.42	[0, 11.78, 12.42, 6.21, 4.14, 0.32, 0.15, 0.07]	[0, 3, 4, 5, 6, 7, 8, 9]	[0, 25.91, 27.31, 27.31, 27.31, 2.84, 1.61, 0.9]	10.52
2	10.8	[0, 10.01, 10.62, 5.38, 3.59, 2.69, 2.16, 1.8, 1.54, 0.69]	[0, 20, 21, 22, 23, 24, 25, 26, 27, 28]	[0, 22.01, 23.35, 23.68, 23.68, 23.68, 23.75, 23.75, 23.75, 12.14]	6.14
3	11.99	[0, 0.67, 11.3, 5.75, 3.86, 2.94, 2.4, 1.99, 1.7, 1.49, 1.32, 1.15, 0.1, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	[0, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]	[0, 1.47, 24.85, 25.31, 25.47, 25.91, 26.37, 26.21, 26.21, 26.21, 26.21, 25.38, 2.44, 0.9, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31]	9.73
4	11.64	[0, 3.55, 10.34, 5.17, 3.72, 2.9, 2.33, 1.94, 1.66, 1.45, 1.29]	[0, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95]	[0, 7.81, 22.74, 22.74, 24.54, 25.47, 25.6, 25.6, 25.6, 25.53, 25.53]	2.38
5	0	[0]	[0]	[0]	0
6	12.89	[0, 7.03, 7.03, 6.11, 4.14, 3.1, 2.44, 2.04, 1.76, 1.56, 1.43, 1.29, 0.17, 0.01, -0.01, -0.01, -0.01, -0.01]	[0, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123]	[0, 15.46, 15.46, 26.87, 27.31, 27.31, 26.87, 26.96, 27.09, 27.4, 28.35, 28.35, 4.02, 0.31, -0.29, -0.29, -0.44, -0.44]	6.38
7	12.46	[0, 12.46, 12.46, 6.23, 4.15, 3.12, 1.8]	[0, 128, 129, 130, 131, 132, 133]	[0, 27.4, 27.4, 27.4, 27.4, 27.4, 19.84]	6.32
8	11.05	[0, 7.83, 7.83, 5.44, 3.68, 2.76, 2.18, 1.82, 1.45, 1.25, 1.1, 0.99]	[0, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153]	[0, 17.22, 17.22, 23.93, 24.3, 24.3, 23.99, 23.99, 22.26, 21.93, 21.84, 21.84]	5.69
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	11.78	10.52
4	12.42	10.52
5	12.42	10.52
6	12.42	10.52
7	1.29	10.52
8	0.73	-1.56
9	0.41	-1.56
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	10.01	-2.07
21	10.62	6.14
22	10.77	4.44
23	10.77	4.44
24	10.77	4.44
25	10.8	4.58
26	10.8	4.58
27	10.8	4.21
28	5.52	-1.56
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0.67	9.45
50	11.3	9.73
51	11.51	9.73
52	11.58	9.73
53	11.78	9.73
54	11.99	7.07
55	11.92	7.07
56	11.92	6.68
57	11.92	6.68
58	11.92	5.99
59	11.54	5.99
60	1.11	-4.25
61	0.41	-6.33
62	0.14	-6.33
63	0.14	-6.33
64	0.14	-6.33
65	0.14	-6.33
66	0.14	-5.41
67	0.14	-5.41
68	0.14	-5.41
69	0.14	-5.41
70	0.14	-5.41
71	0.14	-5.41
72	0.14	-5.41
73	0.14	-5.81
74	0.14	-5.41
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	3.55	0.0
87	10.34	0.0
88	10.34	2.38
89	11.16	2.38
90	11.58	1.57
91	11.64	1.57
92	11.64	2.38
93	11.64	2.05
94	11.61	1.84
95	11.61	1.84
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	7.03	5.91
108	7.03	5.91
109	12.22	6.26
110	12.42	6.26
111	12.42	5.35
112	12.22	5.35
113	12.26	6.38
114	12.32	6.38
115	12.46	4.77
116	12.89	4.77
117	12.89	5.1
118	1.83	-6.11
119	0.14	-6.11
120	-0.13	2.99
121	-0.13	-0.33
122	-0.2	-0.33
123	-0.2	2.59
124	0	0
125	0	0
126	0	0
127	0	0
128	12.46	6.32
129	12.46	6.32
130	12.46	6.21
131	12.46	6.21
132	12.46	5.72
133	9.02	0.32
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	7.83	5.29
144	7.83	5.69
145	10.88	5.23
146	11.05	5.23
147	11.05	5.23
148	10.91	5.23
149	10.91	4.3
150	10.12	5.29
151	9.97	5.29
152	9.93	4.93
153	9.93	4.93
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
