Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	10.47	[0, 0.0, 0.0, 0.0, 10.47, 10.47, 5.24, 3.49]	[0, 5, 6, 7, 8, 9, 10, 11]	[0, 0.0, 0.0, 0.0, 23.02, 23.02, 23.02, 23.02]	8.98
2	14.14	[0, 4.4, 13.15, 6.58, 4.55, 3.46, 2.76, 2.32, 2.01, 1.75, 1.57, 1.41, 0.44, 0.09, 0.06, 0.04, 0.04, 0.04, 0.06]	[0, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	[0, 9.68, 28.92, 28.92, 30.04, 30.39, 30.39, 30.68, 31.01, 30.81, 31.1, 31.1, 10.64, 2.44, 1.61, 1.32, 1.32, 1.32, 2.18]	7.86
3	15.39	[0, 13.82, 14.23, 7.12, 4.88, 3.66, 3.0, 2.5, 2.17, 1.91, 1.7, 1.54, 1.4, 1.28, 1.18, 1.09, 0.9, 0.21, 0.19, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, -0.07, -0.07, -0.04, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.0, -0.14, -0.14, -0.07, -0.05, -0.04, -0.03, -0.02, -0.02, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.0, -0.14, -0.14, -0.07, -0.05, -0.04, -0.03, -0.02, -0.01, -0.01, 0.03, 0.04]	[0, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163]	[0, 30.39, 31.29, 31.29, 32.17, 32.17, 32.99, 32.99, 33.45, 33.58, 33.71, 33.84, 33.84, 33.84, 33.65, 33.65, 29.75, 7.28, 7.28, 0.88, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.31, -0.15, -0.15, 0.59, 0.88]	9.81
4	14.35	[0, 0.27, 13.92, 6.97, 4.69, 3.48, 2.85, 2.39]	[0, 179, 180, 181, 182, 183, 184, 185]	[0, 0.59, 30.61, 30.68, 30.94, 30.61, 31.36, 31.56]	3.64
5	12.65	[0, 5.51, 11.77, 6.09, 4.06, 3.15, 2.53, 0.51, 0.07, -0.03, -0.03, -0.03, -0.03]	[0, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203]	[0, 12.12, 25.88, 26.79, 26.79, 27.75, 27.82, 6.69, 1.03, -0.46, -0.62, -0.62, -0.62]	6.37
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0.0	4.49
6	0.0	4.49
7	0.0	8.98
8	10.47	8.98
9	10.47	8.98
10	10.47	8.98
11	10.47	8.98
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	4.4	-5.4
34	13.15	7.86
35	13.15	7.86
36	13.66	7.86
37	13.82	6.26
38	13.82	6.21
39	13.95	6.21
40	14.1	6.31
41	14.01	6.36
42	14.14	6.6
43	14.14	6.65
44	4.84	6.65
45	1.11	6.65
46	0.73	-6.87
47	0.6	-7.78
48	0.6	-7.44
49	0.6	-7.44
50	0.99	-5.23
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	13.82	9.81
66	14.23	9.37
67	14.23	9.37
68	14.63	9.06
69	14.63	9.06
70	15.0	8.7
71	15.0	8.38
72	15.21	7.72
73	15.27	7.72
74	15.33	7.86
75	15.39	7.86
76	15.39	7.96
77	15.39	8.47
78	15.3	8.75
79	15.3	8.66
80	13.53	8.52
81	3.31	8.52
82	3.31	3.13
83	0.4	3.13
84	0.13	3.13
85	0.13	3.13
86	0.13	-5.15
87	0.13	-5.15
88	0.13	-5.37
89	0.13	-5.37
90	0.13	-5.37
91	0.13	-5.85
92	0.07	-4.56
93	-0.07	-4.56
94	-0.07	-5.85
95	-0.07	-6.12
96	-0.07	-6.12
97	-0.07	-6.12
98	-0.07	-6.12
99	-0.07	-5.85
100	-0.07	-5.85
101	-0.07	-0.94
102	-0.07	-0.94
103	-0.14	-0.94
104	-0.14	-6.42
105	-0.14	-5.37
106	-0.14	-7.68
107	-0.14	-7.68
108	-0.14	-6.42
109	-0.14	-6.42
110	-0.14	-6.12
111	-0.14	-6.12
112	-0.14	-6.76
113	-0.14	-6.76
114	-0.14	-6.76
115	-0.14	-6.76
116	-0.14	-7.16
117	-0.14	-7.68
118	-0.14	-7.68
119	-0.14	-7.68
120	-0.14	-6.42
121	-0.14	-6.42
122	-0.14	-6.12
123	-0.14	-5.6
124	-0.14	-5.6
125	-0.14	-5.6
126	-0.14	-7.68
127	-0.14	-6.42
128	-0.14	-7.16
129	-0.14	-7.16
130	-0.14	-6.42
131	-0.14	-6.42
132	-0.14	-6.42
133	-0.14	-6.42
134	-0.14	-6.42
135	-0.14	-6.12
136	-0.14	-5.85
137	-0.14	-5.6
138	-0.14	-6.12
139	-0.14	-6.42
140	-0.14	-6.42
141	-0.14	-6.42
142	-0.14	-6.42
143	-0.14	-6.42
144	-0.14	-6.42
145	-0.14	-6.42
146	-0.14	-6.76
147	-0.14	-7.16
148	-0.14	-4.95
149	-0.14	-6.12
150	-0.14	-6.12
151	-0.14	-5.85
152	-0.14	-5.85
153	-0.14	-7.16
154	-0.14	-6.42
155	-0.14	-6.42
156	-0.14	-6.76
157	-0.14	-6.76
158	-0.14	-6.76
159	-0.14	-6.76
160	-0.07	-5.85
161	-0.07	-5.85
162	0.27	1.18
163	0.4	1.18
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0.27	-10.49
180	13.92	-10.49
181	13.95	-10.49
182	14.07	-10.49
183	13.92	3.25
184	14.26	3.33
185	14.35	3.64
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	5.51	0.25
193	11.77	6.37
194	12.18	5.71
195	12.18	3.8
196	12.62	3.43
197	12.65	2.22
198	3.04	2.22
199	0.47	2.22
200	-0.21	2.22
201	-0.28	2.22
202	-0.28	2.22
203	-0.28	2.22
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
