Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	15.56	[0, 0.0, 15.56, 15.44, 7.67, 5.14, 3.87, 3.09, 2.58, 2.21, 1.93, 1.72, 1.55, 0.01, 0.01, 0.01, 0.01]	[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[0, 0.0, 34.22, 33.95, 33.76, 33.89, 34.02, 34.02, 34.02, 34.02, 34.02, 34.02, 34.02, 0.31, 0.31, 0.31, 0.31]	13.77
2	15.94	[0, 15.14, 15.73, 7.97, 5.27, 3.95, 3.16, 2.63, 2.26, 1.97, 1.76, 0.17, 0.04, 0.02, 0.02, 0.01, 0.01, 0.03]	[0, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[0, 33.29, 34.59, 35.05, 34.79, 34.72, 34.72, 34.72, 34.72, 34.72, 34.79, 3.65, 1.03, 0.46, 0.46, 0.46, 0.46, 1.03]	14.07
3	15.26	[0, 0.27, 0.27, 0.14, 4.98, 3.78, 3.03, 2.54, 2.18, 1.9, 1.69, 1.52, 1.38, 0.11, 0.05, 0.03]	[0, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]	[0, 0.59, 0.59, 0.59, 32.83, 33.23, 33.29, 33.56, 33.49, 33.49, 33.49, 33.36, 33.36, 2.97, 1.32, 0.9]	11.59
4	0.34	[0, 0.34, 0.34, 0.04, 0.05]	[0, 102, 103, 104, 105]	[0, 0.75, 0.75, 0.15, 0.31]	0
5	5.14	[0, 5.14, 5.14, 0.14]	[0, 107, 108, 109]	[0, 11.3, 11.3, 0.59]	0
6	17.55	[0, 0.54, 17.47, 8.73, 5.85, 4.39, 3.51, 2.91, 2.5, 2.18, 1.94, 1.74, 0.94, 0.08, 0.03, 0.01, 0.01, 0.01, 0.01]	[0, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140]	[0, 1.19, 38.42, 38.42, 38.59, 38.59, 38.55, 38.42, 38.42, 38.42, 38.42, 38.35, 22.74, 2.02, 0.9, 0.31, 0.31, 0.31, 0.31]	13.69
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0.0	13.77
5	15.56	13.27
6	15.44	12.71
7	15.35	12.61
8	15.41	12.61
9	15.47	12.99
10	15.47	12.71
11	15.47	12.61
12	15.47	12.61
13	15.47	12.61
14	15.47	0.19
15	15.47	0.19
16	0.14	0.19
17	0.14	-2.93
18	0.14	-2.93
19	0.14	-2.93
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	15.14	1.55
31	15.73	14.07
32	15.94	14.07
33	15.82	13.98
34	15.79	13.98
35	15.79	13.98
36	15.79	14.07
37	15.79	14.07
38	15.79	14.03
39	15.82	13.79
40	1.66	13.79
41	0.47	13.79
42	0.21	2.17
43	0.21	3.11
44	0.21	3.11
45	0.21	3.11
46	0.47	0.23
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0.27	9.65
63	0.27	11.59
64	0.27	11.59
65	14.93	11.59
66	15.11	10.91
67	15.14	10.91
68	15.26	10.91
69	15.23	10.91
70	15.23	10.67
71	15.23	10.72
72	15.17	11.0
73	15.17	0.83
74	1.35	0.49
75	0.6	0.49
76	0.41	0.37
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0.34	-0.46
103	0.34	-1.52
104	0.07	-1.52
105	0.14	-2.42
106	0	0
107	5.14	-0.13
108	5.14	-1.3
109	0.27	-1.3
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0.54	-2.12
124	17.47	13.69
125	17.47	13.69
126	17.55	13.69
127	17.55	12.99
128	17.53	12.99
129	17.47	12.99
130	17.47	13.38
131	17.47	13.65
132	17.47	13.03
133	17.44	12.71
134	10.34	12.71
135	0.92	-4.14
136	0.41	-4.14
137	0.14	-4.14
138	0.14	-4.39
139	0.14	-4.39
140	0.14	-4.39
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	17.99	-6.33
195	18.26	9.25
196	18.29	9.25
197	18.29	8.84
198	18.32	8.27
199	18.05	8.27
200	17.97	8.39
201	17.25	7.09
202	17.25	7.09
203	0.34	-8.4
204	0.07	-8.4
205	0.0	-1.46
206	-0.06	-1.46
207	-0.06	-3.93
208	-0.06	-3.93
209	0.0	-6.72
210	0.21	-2.5
211	0.21	-2.5
212	0.21	-1.39
213	0.21	-0.57
214	0.21	-0.57
