Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	8.82	[0, 8.13, 8.64, 4.41, 2.93, 2.19, 1.76, 1.46, 1.16, 0.19, 0.17, 0.08]	[0, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[0, 17.88, 19.0, 19.4, 19.31, 19.31, 19.31, 19.31, 17.88, 3.41, 3.41, 1.76]	9.59
2	13.75	[0, 3.8, 3.8, 6.8, 4.54, 3.42, 2.73, 2.29, 1.95, 1.71, 0.18, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, -0.01, -0.02, -0.01]	[0, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]	[0, 8.36, 8.36, 29.93, 29.93, 30.11, 30.0, 30.24, 30.06, 30.06, 3.63, 0.77, 0.77, 0.77, 0.64, 0.64, 0.64, 0.64, 0.64, -0.26, -0.64, -0.37]	10.13
3	0.12	[0, -0.12, 0.06, 0.03, 0.04]	[0, 79, 80, 81, 82]	[0, -0.26, 0.13, 0.13, 0.26]	4.58
4	10.1	[0, -0.53, 8.78, 4.87, 3.24, 2.48, 1.99, 1.68, 1.44]	[0, 91, 92, 93, 94, 95, 96, 97, 98]	[0, -1.17, 19.31, 21.4, 21.4, 21.77, 21.93, 22.21, 22.21]	10.3
5	2.07	[0, 2.07, 1.76]	[0, 128, 129]	[0, 4.55, 3.87]	8.69
6	14.02	[0, 13.04, 13.04, 6.98, 4.65, 3.49, 2.8, 2.3]	[0, 145, 146, 147, 148, 149, 150, 151]	[0, 28.68, 28.68, 30.7, 30.7, 30.7, 30.83, 30.3]	14.45
7	14.93	[0, 0.68, 0.68, 7.41, 4.94, 3.73, 2.99, 2.44, 2.09, 1.83, 0.22, 0.11, 0.08, 0.08, 0.07, 0.04, 0.05, 0.04, 0.02, 0.02]	[0, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183]	[0, 1.5, 1.5, 32.59, 32.59, 32.79, 32.83, 32.22, 32.22, 32.22, 4.31, 2.35, 2.0, 2.0, 2.0, 1.14, 1.5, 1.5, 0.88, 0.88]	15.84
8	14.45	[0, 8.49, 14.34, 7.2, 4.81, 3.61, 2.89, 2.41, 2.05, 1.02, 0.91, 0.13, 0.1, 0.09, 0.08, 0.07, 0.07, 0.06, 0.06, 0.09, 0.02, 0.02, 0.02, 0.03, 0.02, 0.02, 0.01, 0.2, 0.01, 0.01, 0.01, 0.05, 0.05, 0.01, 0.18, 0.17, 0.01, 0.01, 0.01, 0.01]	[0, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239]	[0, 18.67, 31.54, 31.65, 31.71, 31.78, 31.78, 31.78, 31.58, 18.03, 18.03, 2.81, 2.35, 2.24, 2.24, 2.24, 2.24, 2.24, 2.24, 3.52, 1.01, 1.01, 1.01, 1.25, 1.14, 1.14, 0.77, 11.17, 0.64, 0.64, 0.64, 3.52, 3.52, 0.88, 12.93, 12.93, 0.88, 0.88, 0.88, 0.88]	14.52
9	3.57	[0, 0.46, 0.52, 0.26, 0.15, 0.12, 0.07, 0.05, 0.05, 0.45, 0.24, 0.02, 0.03, 0.03, 0.04, 0.09, 0.02, 0.0]	[0, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281]	[0, 1.01, 1.14, 1.14, 1.01, 1.01, 0.77, 0.64, 0.77, 7.85, 4.77, 0.51, 0.64, 0.88, 1.01, 2.7, 0.77, 0.0]	2.89
10	14.16	[0, 13.52, 13.93, 6.96, 4.71, 3.53, 2.82, 2.36, 1.42, 0.53, 0.11, 0.06, 0.05, 0.09, 0.01, 0.01, 0.03]	[0, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310]	[0, 29.73, 30.63, 30.63, 31.07, 31.07, 31.01, 31.14, 21.93, 9.35, 2.24, 1.39, 1.14, 2.35, 0.4, 0.4, 0.88]	12.78
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	8.13	-2.21
6	8.64	-2.21
7	8.82	8.08
8	8.78	9.04
9	8.78	8.86
10	8.78	9.59
11	8.78	9.59
12	8.13	9.59
13	1.55	0.9
14	1.55	0.9
15	0.8	0.9
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	3.8	1.14
26	3.8	1.14
27	13.61	9.82
28	13.61	9.82
29	13.69	9.82
30	13.64	10.13
31	13.75	9.97
32	13.67	10.03
33	13.67	10.03
34	1.65	-2.45
35	0.35	-2.97
36	0.35	-2.97
37	0.35	-2.97
38	0.29	-3.61
39	0.29	-3.61
40	0.29	-2.7
41	0.29	-4.53
42	0.29	-2.0
43	-0.12	-2.45
44	-0.29	0.66
45	-0.17	0.66
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	-0.12	-2.07
80	0.06	4.58
81	0.06	-3.63
82	0.12	-3.63
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	-0.53	2.04
92	8.78	10.3
93	9.73	9.54
94	9.73	9.26
95	9.9	9.38
96	9.97	8.74
97	10.1	8.33
98	10.1	8.08
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	2.07	8.69
129	1.76	0.52
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	13.04	13.93
146	13.04	14.45
147	13.96	14.31
148	13.96	14.08
149	13.96	14.08
150	14.02	13.93
151	13.78	14.08
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0.68	0.54
166	0.68	15.84
167	14.82	15.84
168	14.82	15.84
169	14.91	15.84
170	14.93	15.31
171	14.65	15.4
172	14.65	15.11
173	14.65	8.15
174	1.96	1.6
175	1.07	-0.62
176	0.91	0.19
177	0.91	0.7
178	0.91	0.7
179	0.52	0.7
180	0.68	-1.1
181	0.68	-2.01
182	0.4	-1.1
183	0.4	-1.1
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	8.49	8.92
202	14.34	14.52
203	14.39	14.12
204	14.42	14.12
205	14.45	14.04
206	14.45	14.04
207	14.45	13.99
208	14.36	13.99
209	8.2	5.23
210	8.2	-1.94
211	1.28	-1.94
212	1.07	1.64
213	1.02	1.64
214	1.02	1.64
215	1.02	0.55
216	1.02	1.18
217	1.02	1.18
218	1.02	1.18
219	1.6	-0.78
220	0.46	-2.42
221	0.46	-0.95
222	0.46	-0.46
223	0.57	-1.13
224	0.52	-1.52
225	0.52	-1.52
226	0.35	-1.52
227	5.08	5.0
228	0.29	-1.94
229	0.29	-1.52
230	0.29	-0.95
231	1.6	-0.78
232	1.6	-0.78
233	0.4	-0.46
234	5.88	5.81
235	5.88	5.81
236	0.4	5.81
237	0.4	-1.94
238	0.4	1.86
239	0.4	1.64
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0.46	1.96
266	0.52	0.85
267	0.52	0.85
268	0.46	-0.1
269	0.46	-0.1
270	0.35	-0.1
271	0.29	-0.1
272	0.35	-0.1
273	3.57	-0.1
274	2.17	-0.1
