Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	12.39	[0, 11.4, 12.15, 6.17, 4.12, 3.1, 2.48, 2.05, 1.71, 1.5, 1.33, 1.19, 0.55]	[0, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	[0, 25.07, 26.72, 27.16, 27.16, 27.25, 27.25, 27.09, 26.35, 26.35, 26.35, 26.28, 13.28]	25.26
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	11.4	5.55
12	12.15	24.1
13	12.35	24.1
14	12.35	24.1
15	12.39	24.1
16	12.39	24.7
17	12.32	25.26
18	11.98	24.92
19	11.98	24.76
20	11.98	24.51
21	11.95	24.51
22	6.04	15.92
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
