Cycle	Max. Length	Acceleration	Time
1	46.29	[0, 0.0, 41.5, 4.59, 0.05, -0.18, -0.43]	[0, 5, 6, 7, 8, 9, 10]
2	36.86	[0, 0.0, 24.59, 12.06, 0.04, 0.0, -0.04]	[0, 13, 14, 15, 16, 17, 18]
3	26.96	[0, 0.0, 23.28, 3.56, 0.03]	[0, 21, 22, 23, 24]
4	33.27	[0, 0.0, 26.49, 6.69, 0.02, -0.0]	[0, 28, 29, 30, 31, 32]
5	33.93	[0, 0.0, 33.79, 0.14, -0.19]	[0, 36, 37, 38, 39]
X	Y
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	41.5
7	46.09
8	46.29
9	44.69
10	37.75
11	20.93
12	0.0
13	0.0
14	24.59
15	36.65
16	36.82
17	36.86
18	36.82
19	31.47
20	0.0
21	0.0
22	23.28
23	26.84
24	26.96
25	23.47
26	0.0
27	0.0
28	0.0
29	26.49
30	33.18
31	33.27
32	33.23
33	25.27
34	0.0
35	0.0
36	0.0
37	33.79
38	33.93
39	33.18
40	30.66
41	0.0
42	0.0
43	0.0
44	0.0
45	0.0
46	0.0
