Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	7.93	[0, 6.58, 7.65, 3.92, 2.64, 1.98, 1.59, 1.32, 1.13, 0.99]	[0, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[0, 14.47, 16.82, 17.26, 17.44, 17.44, 17.44, 17.44, 17.44, 17.44]	9.33
2	7.97	[0, 7.25, 7.25, 3.62, 2.66, 1.99, 1.59, 1.33, 1.14, 0.76]	[0, 61, 62, 63, 64, 65, 66, 67, 68, 69]	[0, 15.94, 15.94, 15.94, 17.53, 17.53, 17.53, 17.53, 17.53, 13.41]	13.06
3	8.13	[0, 7.29, 7.29, 3.65, 2.68, 2.01, 1.61, 1.36, 1.16, 1.02]	[0, 90, 91, 92, 93, 94, 95, 96, 97, 98]	[0, 16.03, 16.03, 16.03, 17.7, 17.7, 17.7, 17.88, 17.88, 17.88]	13.88
4	10.93	[0, 0.38, 10.55, 5.28, 3.64, 2.73, 2.19, 1.81, 1.55, 1.36, 1.19]	[0, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126]	[0, 0.84, 23.2, 23.2, 24.04, 24.04, 24.04, 23.88, 23.88, 23.97, 23.57]	18.57
5	10.65	[0, -0.47, 10.37, 5.18, 3.53, 2.66, 2.13, 1.77, 1.48, 1.28]	[0, 146, 147, 148, 149, 150, 151, 152, 153, 154]	[0, -1.03, 22.8, 22.8, 23.27, 23.42, 23.42, 23.35, 22.8, 22.56]	19.13
6	10.34	[0, 9.9, 9.9, 5.13, 3.42, 2.58, 2.06, 1.72, 1.47, 1.29, 1.15]	[0, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182]	[0, 21.77, 21.77, 22.56, 22.56, 22.65, 22.65, 22.65, 22.65, 22.74, 22.74]	19.13
7	12.7	[0, 10.62, 12.18, 6.24, 4.16, 3.16, 2.53, 2.11, 1.81, 1.59]	[0, 205, 206, 207, 208, 209, 210, 211, 212, 213]	[0, 23.35, 26.79, 27.44, 27.44, 27.8, 27.8, 27.86, 27.86, 27.93]	22.42
8	11.92	[0, 0.69, 11.14, 5.83, 3.96, 2.98, 2.38, 1.97, 1.68, 1.47, 1.31]	[0, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240]	[0, 1.52, 24.5, 25.62, 26.13, 26.21, 26.13, 25.99, 25.91, 25.84, 25.84]	22.42
9	13.28	[0, 3.32, 3.32, 1.66, 4.4, 3.31, 2.66, 2.21, 1.9, 1.65, 1.08]	[0, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267]	[0, 7.3, 7.3, 7.3, 29.05, 29.14, 29.2, 29.2, 29.2, 29.05, 21.46]	22.42
10	16.26	[0, 15.37, 16.26, 7.9, 5.29, 3.99, 3.19, 2.66, 2.28, 1.99]	[0, 294, 295, 296, 297, 298, 299, 300, 301, 302]	[0, 33.8, 35.76, 34.75, 34.88, 35.08, 35.08, 35.08, 35.08, 35.08]	22.42
11	15.37	[0, 14.57, 14.87, 7.43, 5.05, 3.79, 3.03, 2.53, 2.18, 1.92]	[0, 326, 327, 328, 329, 330, 331, 332, 333, 334]	[0, 32.04, 32.7, 32.7, 33.34, 33.34, 33.34, 33.4, 33.6, 33.8]	22.42
12	16.03	[0, -0.13, 15.92, 7.96, 5.34, 3.92, 3.13, 2.6, 2.23, 1.95, 1.74]	[0, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367]	[0, -0.29, 35.01, 35.01, 35.25, 34.44, 34.37, 34.37, 34.37, 34.37, 34.37]	22.42
13	18.86	[0, -0.33, 18.34, 9.17, 6.24, 4.69, 3.76, 3.13, 2.68, 2.35, 2.09, 1.89]	[0, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400]	[0, -0.73, 40.33, 40.33, 41.19, 41.26, 41.3, 41.3, 41.3, 41.3, 41.43, 41.48]	26.57
14	17.7	[0, 16.71, 17.32, 8.79, 5.9, 4.42, 3.54, 2.93, 2.51, 2.2, 1.96, 1.73]	[0, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432]	[0, 36.75, 38.09, 38.68, 38.92, 38.92, 38.92, 38.68, 38.68, 38.68, 38.75, 38.13]	28.42
15	18.6	[0, -0.27, 18.31, 9.3, 6.2, 4.65, 3.72, 3.1, 2.66, 2.32, 2.07, 0.98]	[0, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465]	[0, -0.59, 40.27, 40.9, 40.9, 40.9, 40.9, 40.9, 40.9, 40.84, 40.9, 21.62]	34.35
16	22.2	[0, 20.98, 21.75, 10.88, 7.25, 5.53, 4.43, 3.7, 3.17, 2.71]	[0, 490, 491, 492, 493, 494, 495, 496, 497, 498]	[0, 46.14, 47.83, 47.83, 47.83, 48.67, 48.71, 48.82, 48.75, 47.76]	37.33
17	21.41	[0, 17.94, 21.0, 10.63, 7.12, 5.35, 4.28, 3.54, 3.05, 2.66, 2.37, 2.14]	[0, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532]	[0, 39.45, 46.18, 46.78, 46.97, 47.08, 47.08, 46.78, 46.89, 46.82, 46.93, 47.04]	37.63
18	22.64	[0, 21.22, 22.1, 11.05, 7.49, 5.64, 4.51, 3.77, 3.23, 2.83, 2.52]	[0, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573]	[0, 46.67, 48.6, 48.6, 49.44, 49.59, 49.59, 49.74, 49.74, 49.74, 49.79]	39.36
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	6.58	2.31
20	7.65	9.33
21	7.85	9.33
22	7.93	8.7
23	7.93	8.7
24	7.93	8.7
25	7.93	9.25
26	7.93	9.25
27	7.93	9.25
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	7.25	13.06
62	7.25	12.55
63	7.25	12.55
64	7.97	12.55
65	7.97	12.55
66	7.97	12.08
67	7.97	12.26
68	7.97	12.26
69	6.1	12.26
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	7.29	6.94
91	7.29	13.88
92	7.29	13.45
93	8.05	13.45
94	8.05	13.45
95	8.05	13.06
96	8.13	13.06
97	8.13	13.23
98	8.13	13.77
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0.38	8.21
118	10.55	18.57
119	10.55	18.57
120	10.93	18.41
121	10.93	18.33
122	10.93	18.33
123	10.86	18.33
124	10.86	18.33
125	10.9	18.33
126	10.72	18.33
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	-0.47	18.57
147	10.37	18.57
148	10.37	18.97
149	10.58	18.97
150	10.65	19.13
151	10.65	18.97
152	10.62	18.93
153	10.37	18.93
154	10.26	18.81
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	9.9	8.29
174	9.9	8.29
175	10.26	8.29
176	10.26	18.37
177	10.3	18.45
178	10.3	18.45
179	10.3	18.41
180	10.3	18.41
181	10.34	18.57
182	10.34	18.57
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	10.62	21.59
206	12.18	21.59
207	12.48	21.59
208	12.48	22.08
209	12.64	22.25
210	12.64	22.25
211	12.67	22.32
212	12.67	22.18
213	12.7	22.42
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0.69	6.64
232	11.14	6.64
233	11.65	6.64
234	11.88	20.13
235	11.92	20.13
236	11.88	20.02
237	11.82	19.83
238	11.78	19.75
239	11.75	19.75
240	11.75	14.09
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	3.32	10.95
259	3.32	10.95
260	3.32	10.95
261	13.21	19.98
262	13.25	19.87
263	13.28	19.87
264	13.28	19.87
265	13.28	19.87
266	13.21	19.87
267	9.76	19.87
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	15.37	19.91
295	16.26	19.91
296	15.8	19.79
297	15.86	19.79
298	15.95	19.37
299	15.95	19.56
300	15.95	19.56
301	15.95	19.52
302	15.95	15.3
303	0	0
304	0	0
305	0	0
306	0	0
307	0	0
308	0	0
309	0	0
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	14.57	18.69
327	14.87	18.69
328	14.87	18.37
329	15.16	18.37
330	15.16	18.37
331	15.16	18.37
332	15.19	19.68
333	15.28	19.68
334	15.37	19.68
335	0	0
336	0	0
337	0	0
338	0	0
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	-0.13	13.51
359	15.92	13.51
360	15.92	13.51
361	16.03	18.81
362	15.66	18.81
363	15.63	19.13
364	15.63	19.48
365	15.63	19.79
366	15.63	19.79
367	15.63	19.79
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
