Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	7.68	[0, 6.03, 7.56, 3.82, 2.56, 1.92, 1.53, 1.27, 1.09]	[0, 38, 39, 40, 41, 42, 43, 44, 45]	[0, 13.26, 16.63, 16.8, 16.89, 16.89, 16.8, 16.8, 16.8]
2	6.46	[0, -0.06, 6.24, 3.21, 2.15, 1.61, 1.29, 1.08]	[0, 62, 63, 64, 65, 66, 67, 68]	[0, -0.13, 13.72, 14.1, 14.21, 14.21, 14.21, 14.21]
3	6.67	[0, 5.9, 6.37, 3.27, 2.18, 1.65, 1.33, 1.11]	[0, 90, 91, 92, 93, 94, 95, 96]	[0, 12.97, 14.01, 14.38, 14.38, 14.47, 14.67, 14.67]
4	10.58	[0, -0.65, 10.44, 5.25, 3.53, 2.65, 2.12, 1.76, 1.51]	[0, 115, 116, 117, 118, 119, 120, 121, 122]	[0, -1.43, 22.96, 23.11, 23.27, 23.27, 23.27, 23.27, 23.27]
5	10.54	[0, 7.68, 10.01, 5.18, 3.5, 2.63, 2.11, 1.76, 1.51]	[0, 137, 138, 139, 140, 141, 142, 143, 144]	[0, 16.89, 22.01, 22.8, 23.11, 23.18, 23.18, 23.18, 23.18]
6	10.89	[0, 10.58, 10.79, 5.45, 3.61, 2.7, 2.16, 1.61]	[0, 162, 163, 164, 165, 166, 167, 168]	[0, 23.27, 23.73, 23.95, 23.79, 23.73, 23.73, 21.31]
7	12.65	[0, -0.25, 12.48, 6.33, 4.2, 3.14, 2.51, 2.02]	[0, 189, 190, 191, 192, 193, 194, 195]	[0, -0.55, 27.44, 27.82, 27.73, 27.6, 27.6, 26.61]
8	13.28	[0, -0.32, 13.09, 6.54, 4.36, 3.32, 2.63, 2.19, 1.81]	[0, 209, 210, 211, 212, 213, 214, 215, 216]	[0, -0.7, 28.79, 28.79, 28.79, 29.2, 28.92, 28.92, 27.82]
9	13.15	[0, 12.39, 12.77, 6.5, 4.38, 3.1, 2.5]	[0, 250, 251, 252, 253, 254, 255]	[0, 27.25, 28.08, 28.59, 28.92, 27.25, 27.44]
10	14.26	[0, 4.31, 4.31, 7.12, 4.75, 3.56, 2.85, 2.37, 2.03, 0.47]	[0, 275, 276, 277, 278, 279, 280, 281, 282, 283]	[0, 9.48, 9.48, 31.29, 31.36, 31.36, 31.29, 31.29, 31.29, 8.31]
11	15.15	[0, 14.53, 14.88, 7.44, 5.02, 3.76, 3.03, 2.52, 1.58]	[0, 300, 301, 302, 303, 304, 305, 306, 307]	[0, 31.95, 32.72, 32.72, 33.12, 33.05, 33.32, 33.25, 24.39]
12	14.32	[0, 13.18, 14.08, 7.14, 4.76, 3.56, 2.85, 2.39, 1.53]	[0, 321, 322, 323, 324, 325, 326, 327, 328]	[0, 28.98, 30.96, 31.43, 31.43, 31.29, 31.29, 31.49, 23.49]
13	18.46	[0, 14.35, 17.82, 8.91, 5.94, 4.62, 3.69, 3.08, 2.25]	[0, 345, 346, 347, 348, 349, 350, 351, 352]	[0, 31.56, 39.19, 39.19, 39.19, 40.6, 40.6, 40.6, 34.64]
14	17.72	[0, 0.13, 17.63, 8.83, 5.9, 4.42, 3.54, 2.95, 1.93]	[0, 379, 380, 381, 382, 383, 384, 385, 386]	[0, 0.29, 38.77, 38.84, 38.9, 38.9, 38.9, 38.97, 29.75]
15	18.87	[0, 17.53, 17.53, 8.77, 6.27, 4.72, 3.77, 3.15, 2.64]	[0, 414, 415, 416, 417, 418, 419, 420, 421]	[0, 38.55, 38.55, 38.55, 41.39, 41.5, 41.5, 41.5, 40.64]
16	21.59	[0, 19.2, 21.33, 10.79, 7.08, 5.33, 4.27, 3.56, 3.05]	[0, 449, 450, 451, 452, 453, 454, 455, 456]	[0, 42.22, 46.91, 47.48, 46.69, 46.86, 46.91, 46.95, 46.95]
17	20.85	[0, 12.39, 20.43, 10.21, 6.95, 5.2, 4.16, 3.47, 2.53]	[0, 470, 471, 472, 473, 474, 475, 476, 477]	[0, 27.25, 44.93, 44.93, 45.85, 45.74, 45.79, 45.79, 38.97]
18	22.58	[0, -0.65, 22.46, 11.28, 7.52, 5.64, 4.51, 3.76, 3.23]	[0, 496, 497, 498, 499, 500, 501, 502, 503]	[0, -1.43, 49.39, 49.61, 49.61, 49.61, 49.61, 49.61, 49.66]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	6.03
39	7.56
40	7.64
41	7.68
42	7.68
43	7.64
44	7.64
45	7.64
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	-0.06
63	6.24
64	6.41
65	6.46
66	6.46
67	6.46
68	6.46
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	5.9
91	6.37
92	6.54
93	6.54
94	6.58
95	6.67
96	6.67
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	-0.65
116	10.44
117	10.51
118	10.58
119	10.58
120	10.58
121	10.58
122	10.58
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	7.68
138	10.01
139	10.37
140	10.51
141	10.54
142	10.54
143	10.54
144	10.54
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	10.58
163	10.79
164	10.89
165	10.82
166	10.79
167	10.79
168	9.69
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	-0.25
190	12.48
191	12.65
192	12.61
193	12.55
194	12.55
195	12.1
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	-0.32
210	13.09
211	13.09
212	13.09
213	13.28
214	13.15
215	13.15
216	12.65
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	12.39
251	12.77
252	13.0
253	13.15
254	12.39
255	12.48
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	4.31
276	4.31
277	14.23
278	14.26
279	14.26
280	14.23
281	14.23
282	14.23
283	3.78
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	14.53
301	14.88
302	14.88
303	15.06
304	15.03
305	15.15
306	15.12
307	11.09
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	13.18
322	14.08
323	14.29
324	14.29
325	14.23
326	14.23
327	14.32
328	10.68
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	14.35
346	17.82
347	17.82
348	17.82
349	18.46
350	18.46
351	18.46
352	15.75
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0.13
380	17.63
381	17.66
382	17.69
383	17.69
384	17.69
385	17.72
386	13.53
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	17.53
415	17.53
416	17.53
417	18.82
418	18.87
419	18.87
420	18.87
421	18.48
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	19.2
450	21.33
451	21.59
452	21.23
453	21.31
454	21.33
455	21.35
456	21.35
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	12.39
471	20.43
472	20.43
473	20.85
474	20.8
475	20.82
476	20.82
477	17.72
478	0
479	0
480	0
