Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	14.67	[0, 0.0, 11.18, 13.84, 7.3, 4.89, 1.5, 0.04, -0.06, -0.06, -0.05]	[0, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[0, 0.0, 24.59, 30.44, 32.13, 32.26, 13.15, 0.48, -0.77, -0.9, -0.9]
2	15.06	[0, 0.0, 14.61, 14.98, 7.53, 4.04, 0.11, -0.04, -0.05, -0.05, -0.04, -0.04, -0.03, -0.03, -0.03, -0.03, -0.02, -0.02, -0.02, -0.02, -0.03, -0.03, -0.03]	[0, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]	[0, 0.0, 32.13, 32.94, 33.12, 26.65, 0.99, -0.4, -0.66, -0.77, -0.77, -0.77, -0.77, -0.77, -0.77, -0.77, -0.77, -0.77, -0.77, -0.9, -1.03, -1.3, -1.3]
3	15.01	[0, 0.0, 14.16, 14.75, 7.5, 4.66, 0.12, -0.02, -0.11, -0.1, -0.1, -0.1, -0.09, -0.08, -0.07, -0.07, -0.06, -0.06, -0.06, -0.03, -0.04, -0.03, 0.01, 0.01]	[0, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114]	[0, 0.0, 31.14, 32.44, 33.01, 30.74, 1.1, -0.26, -1.43, -1.56, -1.72, -1.98, -1.98, -1.98, -1.98, -1.98, -1.98, -1.98, -1.98, -1.3, -1.43, -1.43, 0.37, 0.37]
4	17.14	[0, 0.0, 10.76, 16.91, 8.52, 5.71]	[0, 128, 129, 130, 131, 132]	[0, 0.0, 23.66, 37.19, 37.47, 37.69]
5	17.92	[0, 0.0, 17.92, 17.76, 8.9, 5.94, 0.21, -0.05, -0.05, -0.06, -0.06]	[0, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164]	[0, 0.0, 39.41, 39.06, 39.17, 39.17, 1.85, -0.53, -0.66, -0.9, -1.03]
6	18.4	[0, 0.0, 17.69, 18.4, 9.15, 6.13, 1.45, -0.02, -0.07, -0.08, -0.07, -0.11, -0.07]	[0, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 303]	[0, 0.0, 38.9, 40.46, 40.24, 40.46, 12.71, -0.26, -0.9, -1.17, -1.3, -2.11, -2.24]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	11.18
32	13.84
33	14.61
34	14.67
35	5.98
36	0.22
37	-0.35
38	-0.41
39	-0.41
40	-0.41
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	14.61
57	14.98
58	15.06
59	12.12
60	0.45
61	-0.18
62	-0.3
63	-0.35
64	-0.35
65	-0.35
66	-0.35
67	-0.35
68	-0.35
69	-0.35
70	-0.35
71	-0.35
72	-0.35
73	-0.41
74	-0.47
75	-0.59
76	-0.59
77	-0.53
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	14.16
94	14.75
95	15.01
96	13.98
97	0.5
98	-0.12
99	-0.65
100	-0.71
101	-0.78
102	-0.9
103	-0.9
104	-0.9
105	-0.9
106	-0.9
107	-0.9
108	-0.9
109	-0.9
110	-0.59
111	-0.65
112	-0.65
113	0.17
114	0.17
115	-0.24
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	10.76
130	16.91
131	17.04
132	17.14
133	11.59
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	17.92
157	17.76
158	17.81
159	17.81
160	0.84
161	-0.24
162	-0.3
163	-0.41
164	-0.47
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
