Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=21.6
1	0.56	[0, 0.0, 0.56]	[0, 6, 7]	[0, 0.0, 1.23]
2	22.93	[0, 0.0, 7.64, 15.29]	[0, 11, 12, 13]	[0, 0.0, 16.8, 50.43]
3	22.17	[0, 0.0, 4.96, 16.87, -5.78]	[0, 16, 17, 18, 19]	[0, 0.0, 10.91, 48.01, 48.75]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0.56
8	-0.06
9	0
10	0
11	0
12	7.64
13	22.93
14	21.32
15	0
16	0
17	4.96
18	21.83
19	22.17
20	11.68
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
