Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=8.2
1	12.26	[0, 0.0, 7.39, 4.34, 1.73, 2.36, 0.71, 1.43, 1.19, 1.07, 1.01, 0.97, 0.94, 0.92, 0.89, 0.87, 0.85, 0.83, 0.81, 0.8, 0.78, 0.77, 0.75, 0.74, 0.73, 0.72, 0.7, 0.69]	[0, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]	[0, 0.0, 16.25, 25.8, 26.7, 26.96, 26.96, 23.55, 3.23, 1.83, 1.12, 0.75, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62]
2	1.67	[0, 0.0, 1.67]	[0, 36, 37]	[0, 0.0, 3.67]
3	0.62	[0, 0.0, 0.62, 0.45, 0.36, 0.31, 0.27, 0.23, 0.23]	[0, 40, 41, 42, 43, 44, 45, 46, 90]	[0, 0.0, 1.36, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	7.39
10	11.73
11	12.14
12	12.26
13	12.26
14	10.71
15	1.47
16	0.83
17	0.51
18	0.34
19	0.28
20	0.28
21	0.28
22	0.28
23	0.28
24	0.28
25	0.28
26	0.28
27	0.28
28	0.28
29	0.28
30	0.28
31	0.28
32	0.28
33	0.28
34	0.28
35	0.23
36	0
37	1.67
38	0.51
39	0
40	0
41	0.62
42	0.17
43	0.17
44	0.17
45	0.17
46	0.17
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0.17
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	2.37
103	0.73
104	0.39
105	0.28
106	0.28
107	0.28
108	0.28
109	0.28
110	0.28
111	0.28
112	0.28
113	0.28
114	0.28
115	0.28
116	0.28
117	0.28
118	0.28
119	0.28
120	0.28
121	0.28
122	0.28
123	0.28
124	0.23
125	0.17
126	0.17
127	0.17
128	0.17
129	0.17
130	0.17
131	0.17
132	0.17
133	0.17
134	0.17
135	0.17
136	0.17
137	0.17
138	0.17
139	0.17
