Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	15.36	[0, 0.0, 15.18, 15.18, 7.68, 5.11, 3.84, 3.07, 2.56, 0.04, 0.03]	[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[0, 0.0, 33.38, 33.38, 33.78, 33.71, 33.78, 33.78, 33.78, 0.59, 0.59]	15.56
2	19.39	[0, 18.37, 18.37, 9.7, 6.46, 4.85]	[0, 17, 18, 19, 20, 21]	[0, 40.4, 40.4, 42.64, 42.64, 42.64]	21.24
3	14.76	[0, 11.78, 11.78, 7.24, 4.87, 3.65, 2.94, 2.46, 2.1]	[0, 33, 34, 35, 36, 37, 38, 39, 40]	[0, 25.91, 25.91, 31.84, 32.13, 32.13, 32.33, 32.46, 32.26]	14.33
4	17.99	[0, 17.39, 17.74, 8.96, 6.0, 4.5, 3.6, 2.89, 2.48, 0.66]	[0, 46, 47, 48, 49, 50, 51, 52, 53, 54]	[0, 38.24, 39.01, 39.43, 39.56, 39.56, 39.56, 38.11, 38.11, 11.63]	16.97
5	8.45	[0, 8.01, 8.01, 4.0, 2.82, 2.11, 1.69, 1.41, 1.21]	[0, 62, 63, 64, 65, 66, 67, 68, 69]	[0, 17.61, 17.61, 17.61, 18.58, 18.58, 18.58, 18.58, 18.58]	7.31
6	8.73	[0, 0.27, 8.45, 4.22, 2.91, 2.18, 1.75, 1.42]	[0, 109, 110, 111, 112, 113, 114, 115]	[0, 0.59, 18.58, 18.58, 19.2, 19.2, 19.2, 18.67]	6.76
7	8.49	[0, 6.46, 8.17, 4.08, 2.72, 2.12, 1.7, 1.42, 0.16, 0.03, 0.0]	[0, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133]	[0, 14.21, 17.97, 17.97, 17.97, 18.67, 18.67, 18.67, 2.4, 0.44, 0.0]	4.64
8	8.57	[0, -0.48, 8.13, 4.25, 2.83, 2.14, 1.71, 1.43, 1.22]	[0, 141, 142, 143, 144, 145, 146, 147, 148]	[0, -1.06, 17.88, 18.67, 18.67, 18.85, 18.85, 18.85, 18.85]	5.03
9	10.7	[0, 0.27, 10.59, 5.35, 3.55, 2.67, 2.13, 1.37]	[0, 172, 173, 174, 175, 176, 177, 178]	[0, 0.59, 23.29, 23.53, 23.44, 23.44, 23.44, 18.05]	9.19
10	11.54	[0, 10.52, 11.3, 5.65, 3.83, 2.88, 2.31]	[0, 185, 186, 187, 188, 189, 190]	[0, 23.13, 24.85, 24.85, 25.29, 25.38, 25.38]	11.53
11	9.79	[0, 6.15, 9.42, 4.86, 3.26, 2.45, 1.96, 1.63]	[0, 197, 198, 199, 200, 201, 202, 203]	[0, 13.52, 20.72, 21.38, 21.53, 21.53, 21.53, 21.53]	10.21
12	13.26	[0, 8.77, 12.45, 6.47, 4.39, 3.29, 2.65, 2.21]	[0, 211, 212, 213, 214, 215, 216, 217]	[0, 19.29, 27.38, 28.46, 28.96, 28.96, 29.09, 29.16]	12.39
13	14.64	[0, 0.4, 0.4, 7.15, 4.85, 3.65, 2.93, 2.44, 1.43]	[0, 224, 225, 226, 227, 228, 229, 230, 231]	[0, 0.88, 0.88, 31.45, 32.0, 32.13, 32.2, 32.2, 22.01]	14.22
14	14.88	[0, 0.4, 13.87, 7.15, 4.77, 3.67, 2.95, 2.46, 2.13, 1.86]	[0, 238, 239, 240, 241, 242, 243, 244, 245, 246]	[0, 0.88, 30.5, 31.45, 31.45, 32.33, 32.39, 32.46, 32.72, 32.72]	14.04
15	15.3	[0, 14.21, 15.06, 7.61, 5.07, 3.79, 3.02, 2.52, 2.19, 1.91, 1.69, 1.53]	[0, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303]	[0, 31.25, 33.12, 33.45, 33.45, 33.32, 33.18, 33.18, 33.65, 33.65, 33.51, 33.58]	16.9
16	15.42	[0, 0.13, 14.76, 7.58, 5.1, 3.83, 3.08, 2.57, 2.2, 1.93, 1.62, 1.46]	[0, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342]	[0, 0.29, 32.46, 33.32, 33.65, 33.65, 33.91, 33.91, 33.91, 33.91, 32.06, 32.0]	14.6
17	15.77	[0, 14.33, 14.33, 7.81, 5.24, 3.93, 3.14, 2.62, 2.25, 1.96, 1.74, 1.57, 1.42, 1.3, 0.81]	[0, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378]	[0, 31.51, 31.51, 34.35, 34.55, 34.55, 34.55, 34.55, 34.68, 34.55, 34.48, 34.48, 34.42, 34.42, 23.05]	14.31
18	18.58	[0, 0.59, 0.59, 0.29, 6.19, 4.64, 3.72, 3.1, 2.65, 2.32, 2.06, 1.85, 1.68, 1.54, 1.42]	[0, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414]	[0, 1.3, 1.3, 1.3, 40.86, 40.86, 40.86, 40.86, 40.86, 40.86, 40.86, 40.79, 40.75, 40.68, 40.68]	17.8
19	18.28	[0, 0.53, 18.12, 9.06, 6.07, 4.55, 3.64, 3.05, 2.61, 2.29, 2.0, 1.8, 1.19]	[0, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436]	[0, 1.17, 39.85, 39.85, 40.02, 40.02, 40.02, 40.2, 40.2, 40.2, 39.5, 39.5, 28.74]	15.91
20	19.34	[0, 19.16, 19.18, 9.67, 6.27, 4.72, 3.78, 3.14, 2.7, 2.35, 2.1, 1.89, 1.72, 1.57, 1.45]	[0, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461]	[0, 42.14, 42.18, 42.53, 41.39, 41.56, 41.56, 41.43, 41.56, 41.43, 41.5, 41.5, 41.5, 41.43, 41.43]	14.06
21	21.23	[0, 0.46, 20.84, 10.42, 7.04, 5.28, 4.25, 3.52, 3.02, 2.64, 2.31, 2.07, 1.89, 1.67, 1.53]	[0, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491]	[0, 1.01, 45.83, 45.83, 46.47, 46.47, 46.69, 46.47, 46.42, 46.42, 45.65, 45.61, 45.61, 44.0, 43.72]	16.03
22	22.62	[0, 0.13, 22.03, 11.2, 7.52, 5.64, 4.51, 3.77, 3.23, 2.83, 2.51, 2.26]	[0, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533]	[0, 0.29, 48.45, 49.24, 49.59, 49.63, 49.63, 49.74, 49.74, 49.74, 49.63, 49.63]	21.61
23	21.5	[0, 0.4, 21.03, 10.62, 7.12, 5.35, 4.29, 3.57, 3.07, 2.68, 2.39, 2.13, 1.9]	[0, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562]	[0, 0.88, 46.25, 46.73, 46.95, 47.06, 47.17, 47.11, 47.21, 47.21, 47.28, 46.8, 45.92]	18.4
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0.0	14.62
5	15.18	14.62
6	15.18	14.62
7	15.36	15.56
8	15.33	15.56
9	15.36	15.56
10	15.36	8.42
11	15.36	1.81
12	0.27	2.59
13	0.27	2.68
14	0	0
15	0	0
16	0	0
17	18.37	20.66
18	18.37	20.85
19	19.39	21.24
20	19.39	20.85
21	19.39	20.85
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	11.78	6.04
34	11.78	6.04
35	14.48	6.04
36	14.61	14.03
37	14.61	14.18
38	14.7	14.29
39	14.76	14.33
40	14.67	13.77
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	17.39	-2.01
47	17.74	-2.01
48	17.93	-2.01
49	17.99	16.97
50	17.99	16.78
51	17.99	16.78
52	17.33	16.78
53	17.33	16.24
54	5.29	16.24
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	8.01	3.96
63	8.01	6.49
64	8.01	6.49
65	8.45	6.49
66	8.45	6.49
67	8.45	7.31
68	8.45	7.31
69	8.45	7.31
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0.27	4.95
110	8.45	6.76
111	8.45	6.76
112	8.73	6.72
113	8.73	6.76
114	8.73	6.72
115	8.49	6.72
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	6.46	3.63
125	8.17	3.63
126	8.17	4.34
127	8.17	4.38
128	8.49	4.42
129	8.49	4.42
130	8.49	4.64
131	1.09	4.64
132	0.2	4.64
133	0.0	0.67
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	-0.48	0.86
142	8.13	4.46
143	8.49	4.46
144	8.49	4.46
145	8.57	4.46
146	8.57	5.03
147	8.57	5.03
148	8.57	5.03
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0.27	1.77
173	10.59	8.83
174	10.7	9.12
175	10.66	8.97
176	10.66	9.19
177	10.66	9.19
178	8.21	9.19
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	10.52	4.3
186	11.3	11.53
187	11.3	11.53
188	11.5	11.53
189	11.54	11.53
190	11.54	11.53
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	6.15	5.32
198	9.42	9.34
199	9.72	10.02
200	9.79	10.02
201	9.79	10.21
202	9.79	10.21
203	9.79	10.02
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	8.77	7.77
212	12.45	11.91
213	12.94	11.91
214	13.17	12.07
215	13.17	12.07
216	13.23	12.07
217	13.26	12.39
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0.4	3.88
225	0.4	3.88
226	14.3	13.98
227	14.55	14.1
228	14.61	14.22
229	14.64	14.22
230	14.64	14.22
231	10.01	8.2
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0.4	6.77
239	13.87	13.58
240	14.3	13.49
241	14.3	13.49
242	14.7	13.8
243	14.73	14.04
244	14.76	14.04
245	14.88	13.98
246	14.88	13.98
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	14.21	6.85
294	15.06	16.19
295	15.21	16.19
296	15.21	16.19
297	15.15	16.52
298	15.09	16.52
299	15.09	16.52
300	15.3	16.52
301	15.3	16.9
302	15.24	16.9
303	15.27	16.9
304	0	0
305	0	0
306	0	0
307	0	0
308	0	0
309	0	0
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	0	0
327	0	0
328	0	0
329	0	0
330	0	0
331	0	0
332	0.13	12.81
333	14.76	12.81
334	15.15	12.81
335	15.3	14.15
336	15.3	14.23
337	15.42	14.39
338	15.42	14.34
339	15.42	14.34
340	15.42	14.6
341	14.58	13.91
342	14.55	13.91
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	14.33	12.69
366	14.33	13.65
367	15.62	13.6
368	15.71	13.68
369	15.71	13.68
370	15.71	13.76
371	15.71	13.81
372	15.77	13.81
373	15.71	13.81
374	15.68	14.14
375	15.68	14.14
376	15.65	14.31
377	15.65	14.31
378	10.48	14.31
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	0	0
392	0	0
393	0	0
394	0	0
395	0	0
396	0	0
397	0	0
398	0	0
399	0	0
400	0	0
401	0.59	15.67
402	0.59	16.52
403	0.59	16.24
404	18.58	16.24
405	18.58	16.29
406	18.58	16.65
407	18.58	16.74
408	18.58	16.94
409	18.58	17.23
410	18.58	17.23
411	18.55	17.23
412	18.53	17.8
413	18.5	17.63
414	18.5	17.63
415	0	0
416	0	0
417	0	0
418	0	0
419	0	0
420	0	0
421	0	0
422	0	0
423	0	0
424	0	0
425	0.53	14.74
426	18.12	15.51
427	18.12	15.51
428	18.2	15.62
429	18.2	15.56
430	18.2	15.56
431	18.28	15.56
432	18.28	15.45
433	18.28	15.58
434	17.96	15.86
435	17.96	15.91
436	13.07	15.91
437	0	0
438	0	0
439	0	0
440	0	0
441	0	0
442	0	0
443	0	0
444	0	0
445	0	0
446	0	0
447	0	0
448	19.16	2.41
449	19.18	2.41
450	19.34	2.41
451	18.82	13.91
452	18.9	13.91
453	18.9	13.79
454	18.84	13.61
455	18.9	13.61
456	18.84	13.87
457	18.87	14.04
458	18.87	14.04
