Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	8.72	[0, 0.0, 8.6, 8.72, 4.36, 2.91, 2.18]	[0, 4, 5, 6, 7, 8, 9]	[0, 0.0, 18.91, 19.18, 19.18, 19.18, 19.18]	5.72
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0.0	5.34
5	8.6	5.34
6	8.72	5.34
7	8.72	5.34
8	8.72	5.72
9	8.72	5.72
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	8.1	[0, 1.83, 7.74, 3.87, 2.58, 2.02, 1.62, 1.35, 0.57]	[0, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 4.02, 17.02, 17.02, 17.02, 17.81, 17.81, 17.81, 8.71]	4.99
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	1.83	0.5
4	7.74	4.4
5	7.74	4.62
6	7.74	4.62
7	8.1	4.91
8	8.1	4.99
9	8.1	4.99
10	3.96	4.99
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	8.34	[0, 7.42, 8.1, 4.15, 2.78, 2.08, 1.67, 1.39]	[0, 3, 4, 5, 6, 7, 8, 9]	[0, 16.32, 17.81, 18.25, 18.34, 18.34, 18.34, 18.34]	8.28
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	7.42	-4.0
4	8.1	8.28
5	8.3	8.15
6	8.34	8.15
7	8.34	8.15
8	8.34	8.15
9	8.34	8.15
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
