Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	15.38	0.92
9	15.38	0.92
10	15.38	0.92
11	16.37	24.76
12	16.37	25.71
13	16.29	25.98
14	16.29	25.98
15	16.26	27.31
16	16.26	27.54
17	14.9	24.89
18	1.6	24.89
19	0.67	9.1
20	0.41	9.1
21	0.54	15.54
22	0.54	15.54
23	0.0	2.08
24	0.0	-1.27
25	0.0	-1.27
26	0.0	-1.27
27	0.0	-1.27
28	0.0	-1.27
29	0.0	0.0
30	0.0	0.0
31	0.0	0.0
