Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	18.53	[0, 16.32, 18.04, 9.19, 6.17, 4.63, 3.7, 3.08, 2.64]	[0, 10, 11, 12, 13, 14, 15, 16, 17]	[0, 35.89, 39.67, 40.4, 40.71, 40.75, 40.64, 40.64, 40.64]	20.36
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	16.32	0.92
11	18.04	18.85
12	18.37	19.41
13	18.51	20.36
14	18.53	20.28
15	18.48	20.02
16	18.48	20.02
17	18.48	19.41
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
