Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	8.38	[0, 7.34, 8.1, 4.17, 2.79, 2.08, 1.67, 1.39, 1.19]	[0, 35, 36, 37, 38, 39, 40, 41, 42]	[0, 16.14, 17.81, 18.34, 18.43, 18.34, 18.34, 18.34, 18.34]	13.77
2	8.88	[0, 7.38, 8.61, 4.42, 2.96, 2.22, 1.78, 1.48]	[0, 61, 62, 63, 64, 65, 66, 67]	[0, 16.23, 18.93, 19.44, 19.53, 19.53, 19.53, 19.53]	15.59
3	8.34	[0, 6.49, 8.06, 4.03, 2.78, 2.08, 1.67, 1.39, 0.76]	[0, 90, 91, 92, 93, 94, 95, 96, 97]	[0, 14.27, 17.72, 17.72, 18.34, 18.34, 18.34, 18.34, 11.74]	15.78
4	9.18	[0, 8.53, 9.0, 4.58, 3.06, 2.29, 1.84, 1.53, 1.27]	[0, 122, 123, 124, 125, 126, 127, 128, 129]	[0, 18.76, 19.79, 20.12, 20.19, 20.19, 20.19, 20.19, 19.62]	20.66
5	11.51	[0, 11.06, 11.47, 5.74, 3.84, 2.88, 2.3, 1.92]	[0, 146, 147, 148, 149, 150, 151, 152]	[0, 24.32, 25.22, 25.22, 25.31, 25.31, 25.31, 25.31]	22.05
6	10.29	[0, 9.89, 10.14, 5.07, 3.43, 2.57, 2.05, 1.7]	[0, 169, 170, 171, 172, 173, 174, 175]	[0, 21.75, 22.3, 22.3, 22.63, 22.63, 22.54, 22.39]	22.05
7	11.75	[0, 9.37, 11.41, 5.82, 3.92, 2.93, 2.34, 1.95, 1.67]	[0, 195, 196, 197, 198, 199, 200, 201, 202]	[0, 20.61, 25.09, 25.6, 25.84, 25.75, 25.75, 25.75, 25.69]	27.17
8	14.03	[0, 13.47, 13.88, 6.97, 4.67, 3.5, 2.8, 2.34, 1.5]	[0, 224, 225, 226, 227, 228, 229, 230, 231]	[0, 29.62, 30.52, 30.66, 30.79, 30.79, 30.79, 30.85, 23.09]	29.58
9	13.09	[0, 3.45, 12.9, 6.54, 4.23, 3.19, 2.55, 2.14, 1.83, 1.6]	[0, 248, 249, 250, 251, 252, 253, 254, 255, 256]	[0, 7.59, 28.37, 28.79, 27.93, 28.02, 28.08, 28.21, 28.21, 28.08]	29.99
10	15.96	[0, -0.2, -0.2, 7.89, 5.32, 3.98, 3.18, 2.65, 2.24, 1.96, 1.74]	[0, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286]	[0, -0.44, -0.44, 34.72, 35.1, 34.97, 34.97, 34.97, 34.46, 34.46, 34.46]	35.12
11	14.82	[0, 14.28, 14.34, 7.25, 4.83, 3.63, 2.92, 2.46, 2.12, 1.29]	[0, 303, 304, 305, 306, 307, 308, 309, 310, 311]	[0, 31.4, 31.54, 31.87, 31.87, 31.93, 32.06, 32.39, 32.59, 22.69]	35.25
12	17.23	[0, 17.23, 16.73, 8.49, 5.66, 4.28, 3.42, 2.85, 2.45]	[0, 334, 335, 336, 337, 338, 339, 340, 341]	[0, 37.89, 36.79, 37.34, 37.34, 37.65, 37.65, 37.65, 37.65]	41.73
13	18.01	[0, 9.52, 9.52, 8.96, 5.97, 4.48, 3.6, 3.0, 2.57, 2.25]	[0, 375, 376, 377, 378, 379, 380, 381, 382, 383]	[0, 20.94, 20.94, 39.39, 39.39, 39.39, 39.61, 39.56, 39.56, 39.61]	41.73
14	19.28	[0, 1.6, 18.81, 9.64, 6.3, 4.75, 3.8, 3.16, 2.71, 2.37]	[0, 408, 409, 410, 411, 412, 413, 414, 415, 416]	[0, 3.52, 41.37, 42.4, 41.59, 41.76, 41.76, 41.72, 41.72, 41.72]	44.72
15	17.66	[0, 16.84, 17.39, 8.79, 5.87, 4.4, 3.52, 2.94, 2.52, 2.21, 1.96, 0.4]	[0, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448]	[0, 37.03, 38.24, 38.66, 38.73, 38.73, 38.73, 38.79, 38.84, 38.84, 38.84, 8.82]	45.77
16	23.19	[0, 0.26, 23.0, 11.59, 7.72, 5.8, 4.6, 3.84, 3.29, 2.88, 2.56, 2.31, 2.09, 1.92]	[0, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 501, 502, 503]	[0, 0.57, 50.58, 50.95, 50.95, 51.0, 50.58, 50.69, 50.65, 50.69, 50.69, 50.69, 50.65, 50.65]	51.14
17	22.73	[0, 21.18, 22.23, 11.26, 7.51, 5.63, 4.52, 3.77, 3.23, 2.83, 2.52, 2.27, 2.07, 1.17]	[0, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540]	[0, 46.58, 48.89, 49.52, 49.52, 49.52, 49.72, 49.77, 49.77, 49.77, 49.83, 49.92, 49.99, 30.92]	52.95
18	23.26	[0, 22.61, 23.26, 11.49, 7.69, 5.77, 4.61, 3.85, 3.3, 2.89, 2.57]	[0, 574, 575, 576, 577, 578, 579, 580, 581, 582, 583]	[0, 49.72, 51.15, 50.54, 50.73, 50.73, 50.73, 50.73, 50.8, 50.89, 50.89]	53.03
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	7.34	0.92
36	8.1	13.77
37	8.34	13.77
38	8.38	13.45
39	8.34	13.17
40	8.34	13.12
41	8.34	13.12
42	8.34	13.12
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	7.38	2.93
62	8.61	2.93
63	8.84	2.93
64	8.88	15.06
65	8.88	15.15
66	8.88	15.54
67	8.88	15.59
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	6.49	12.49
91	8.06	12.49
92	8.06	12.49
93	8.34	15.78
94	8.34	15.78
95	8.34	15.59
96	8.34	15.59
97	5.34	15.59
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	8.53	19.64
123	9.0	20.66
124	9.15	20.66
125	9.18	20.66
126	9.18	20.66
127	9.18	20.66
128	9.18	19.52
129	8.92	19.52
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	11.06	5.31
147	11.47	21.56
148	11.47	22.05
149	11.51	22.05
150	11.51	22.05
151	11.51	21.52
152	11.51	21.52
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	9.89	7.03
170	10.14	7.03
171	10.14	20.77
172	10.29	20.77
173	10.29	20.77
174	10.25	20.77
175	10.18	20.77
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	9.37	7.77
196	11.41	7.77
197	11.64	26.39
198	11.75	26.39
199	11.71	26.39
200	11.71	27.17
201	11.71	27.17
202	11.68	27.06
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	13.47	28.83
225	13.88	29.36
226	13.94	29.36
227	14.0	29.58
228	14.0	29.58
229	14.0	29.02
230	14.03	29.02
231	10.5	29.02
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	3.45	16.88
249	12.9	16.88
250	13.09	28.09
251	12.7	28.09
252	12.74	28.09
253	12.77	29.99
254	12.83	29.99
255	12.83	29.99
256	12.77	29.71
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	-0.2	13.29
278	-0.2	32.08
279	15.79	33.25
280	15.96	33.25
281	15.9	33.25
282	15.9	33.25
283	15.9	33.25
284	15.67	33.25
285	15.67	35.0
286	15.67	35.12
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	0	0
302	0	0
303	14.28	13.83
304	14.34	33.18
305	14.49	33.18
306	14.49	33.18
307	14.52	33.18
308	14.58	33.18
309	14.73	35.25
310	14.82	35.25
311	10.32	35.25
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	0	0
327	0	0
328	0	0
329	0	0
330	0	0
331	0	0
332	0	0
333	0	0
334	17.23	15.35
335	16.73	15.35
336	16.98	41.4
337	16.98	41.25
338	17.12	41.25
339	17.12	41.25
340	17.12	41.73
341	17.12	41.35
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
