Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	7.65	[0, 0.0, 2.19, 7.15, 3.77, 2.55, 1.91, 0.33, 0.09]	[0, 17, 18, 19, 20, 21, 22, 23, 24]	[0, 0.0, 4.82, 15.72, 16.56, 16.82, 16.82, 3.67, 1.14]
2	7.65	[0, 0.0, 6.43, 7.3, 3.79, 2.55, 0.34, 0.1]	[0, 41, 42, 43, 44, 45, 46, 47]	[0, 0.0, 14.14, 16.05, 16.65, 16.82, 2.97, 1.14]
3	7.95	[0, 0.0, 7.19, 7.95, 3.92, 2.61, 0.35, 0.16]	[0, 72, 73, 74, 75, 76, 77, 78]	[0, 0.0, 15.81, 17.48, 17.24, 17.24, 3.1, 1.76]
4	10.27	[0, 0.0, 8.65, 10.13, 5.12, 3.42, 0.45, 0.02, 0.06, -0.04]	[0, 98, 99, 100, 101, 102, 103, 104, 105, 106]	[0, 0.0, 19.02, 22.28, 22.5, 22.58, 3.91, 0.24, 0.77, -0.66]
5	10.64	[0, 0.0, 7.84, 10.3, 5.29, 3.55, 2.66, 0.14, 0.08, 0.2]	[0, 120, 121, 122, 123, 124, 125, 126, 127, 128]	[0, 0.0, 17.24, 22.65, 23.24, 23.4, 23.4, 1.52, 1.01, 3.1]
6	10.8	[0, 0.0, 7.65, 10.8, 5.38, 3.59, 0.26, 0.14, 0.07]	[0, 143, 144, 145, 146, 147, 148, 149, 150]	[0, 0.0, 16.82, 23.75, 23.68, 23.68, 2.27, 1.52, 0.9]
7	12.75	[0, 0.0, 9.86, 12.22, 6.38, 4.25, 3.11, 2.49, 0.13]	[0, 189, 190, 191, 192, 193, 194, 195, 196]	[0, 0.0, 21.68, 26.87, 28.04, 28.04, 27.36, 27.36, 1.76]
8	12.69	[0, 0.0, 4.03, 12.53, 6.29, 4.23, 3.17, 0.24, 0.11, 0.15]	[0, 214, 215, 216, 217, 218, 219, 220, 221, 222]	[0, 0.0, 8.86, 27.55, 27.64, 27.91, 27.84, 2.62, 1.52, 2.38]
9	12.97	[0, 0.0, 8.21, 12.53, 6.45, 4.32, 2.98, 0.17, 0.11, 0.18, 0.04, 0.04, 0.04]	[0, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246]	[0, 0.0, 18.05, 27.55, 28.37, 28.52, 26.26, 1.89, 1.52, 2.75, 0.77, 0.77, 0.9]
10	15.19	[0, 0.0, 2.35, 15.14, 7.59, 5.05, 3.79, 0.29, 0.15]	[0, 301, 302, 303, 304, 305, 306, 307, 308]	[0, 0.0, 5.17, 33.29, 33.4, 33.34, 33.34, 3.21, 2.0]
11	3.66	[0, 0.0, 3.66, 3.61, 0.09]	[0, 379, 380, 381, 382]	[0, 0.0, 8.05, 7.94, 0.37]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	2.19
19	7.15
20	7.53
21	7.65
22	7.65
23	1.67
24	0.52
25	0.0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	6.43
43	7.3
44	7.57
45	7.65
46	1.35
47	0.52
48	0.0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	7.19
74	7.95
75	7.84
76	7.84
77	1.41
78	0.8
79	0.46
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	8.65
100	10.13
101	10.23
102	10.27
103	1.78
104	0.11
105	0.35
106	-0.3
107	-0.24
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	7.84
122	10.3
123	10.57
124	10.64
125	10.64
126	0.69
127	0.46
128	1.41
129	0.35
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	7.65
145	10.8
146	10.77
147	10.77
148	1.03
149	0.69
150	0.41
151	0.35
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	9.86
191	12.22
192	12.75
193	12.75
194	12.44
195	12.44
196	0.8
197	0.41
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	4.03
216	12.53
217	12.57
218	12.69
219	12.66
220	1.19
221	0.69
222	1.08
223	0.23
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	8.21
237	12.53
238	12.9
239	12.97
240	11.94
241	0.86
242	0.69
243	1.25
244	0.35
245	0.35
246	0.41
247	0.06
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	2.35
303	15.14
304	15.19
305	15.16
306	15.16
307	1.46
308	0.91
309	0.8
310	0
