Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	19.04	[0, 19.04, 19.02, 9.46, 6.29, 4.69, 3.75, 2.53, 2.17, 0.1, 0.08]	[0, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]	[0, 41.87, 41.83, 41.59, 41.52, 41.23, 41.23, 33.36, 33.36, 1.78, 1.5]	18.0
2	18.8	[0, 18.67, 18.64, 9.4, 6.27, 4.7, 3.72, 1.05, 0.17, 0.12]	[0, 41, 42, 43, 44, 45, 46, 47, 48, 49]	[0, 41.06, 40.99, 41.34, 41.34, 41.34, 40.93, 13.83, 2.62, 2.07]	15.87
3	22.13	[0, 13.74, 21.61, 10.9, 7.38, 5.5, 4.4, 3.67, 0.32, 0.28, 0.14]	[0, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]	[0, 30.22, 47.52, 47.96, 48.67, 48.38, 48.34, 48.45, 4.88, 4.88, 2.75]	18.23
4	23.24	[0, 10.82, 22.72, 11.36, 7.75, 5.76, 4.63, 1.64, 0.24, 0.2, 0.17]	[0, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]	[0, 23.79, 49.96, 49.96, 51.11, 50.71, 50.87, 21.62, 3.72, 3.56, 3.3]	21.43
5	22.72	[0, 21.69, 22.44, 11.22, 7.48, 5.68, 4.51, 0.48, 0.33, 0.28]	[0, 99, 100, 101, 102, 103, 104, 105, 106, 107]	[0, 47.7, 49.35, 49.35, 49.35, 49.96, 49.55, 6.38, 5.01, 5.01]	22.04
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	19.04	-0.51
23	19.02	-0.51
24	18.91	18.0
25	18.88	18.0
26	18.75	18.0
27	18.75	17.93
28	15.17	13.9
29	15.17	13.9
30	0.81	13.9
31	0.68	13.9
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	18.67	13.88
42	18.64	13.88
43	18.8	13.88
44	18.8	15.11
45	18.8	15.34
46	18.61	15.87
47	6.29	15.87
48	1.19	15.87
49	0.94	2.01
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	13.74	-0.35
63	21.61	-0.35
64	21.81	18.23
65	22.13	18.23
66	22.0	18.23
67	21.98	18.23
68	22.03	18.23
69	2.22	18.23
70	2.22	18.23
71	1.25	3.27
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	10.82	9.05
80	22.72	9.05
81	22.72	9.05
82	23.24	21.43
83	23.06	21.37
84	23.13	21.37
85	9.83	21.37
86	1.69	21.37
87	1.62	0.25
88	1.5	0.25
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	21.69	20.46
100	22.44	20.99
101	22.44	21.91
102	22.44	22.04
103	22.72	22.04
104	22.53	21.78
105	2.9	5.72
106	2.28	7.12
107	2.28	2.71
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
