Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	7.77	[0, 1.77, 7.77, 3.88]	[0, 24, 25, 26]	[0, 3.89, 17.09, 17.09]	9.32
2	11.32	[0, 9.41, 10.75, 5.57, 3.74, 2.81, 2.26, 1.87, 1.6, 1.4, 0.01, -0.01, -0.01, -0.01, -0.01, -0.01]	[0, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]	[0, 20.69, 23.64, 24.48, 24.67, 24.67, 24.89, 24.67, 24.67, 24.67, 0.24, -0.26, -0.26, -0.26, -0.26, -0.26]	11.16
3	9.34	[0, 7.95, 7.95, 4.6, 3.1, 2.33, 1.87, 1.56, 1.33]	[0, 59, 60, 61, 62, 63, 64, 65, 66]	[0, 17.48, 17.48, 20.23, 20.45, 20.54, 20.54, 20.54, 20.54]	10.04
4	8.89	[0, 0.22, 8.72, 4.45, 2.96, 2.22, 1.78, 1.48, 0.17, 0.03, 0.0, 0.0, 0.27]	[0, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]	[0, 0.48, 19.18, 19.55, 19.55, 19.55, 19.55, 19.55, 2.66, 0.48, 0.0, 0.0, 0.59]	8.96
5	13.13	[0, 2.82, 12.48, 6.52, 4.37, 3.28, 2.63, 2.19, 1.88]	[0, 102, 103, 104, 105, 106, 107, 108, 109]	[0, 6.2, 27.44, 28.68, 28.81, 28.87, 28.87, 28.87, 28.87]	12.5
6	12.81	[0, 10.85, 12.27, 6.13, 4.23, 3.16, 2.53, 2.14, 1.01]	[0, 122, 123, 124, 125, 126, 127, 128, 129]	[0, 23.86, 26.98, 26.98, 27.91, 27.77, 27.77, 28.17, 15.55]	11.85
7	12.95	[0, 8.37, 12.36, 6.42, 4.32, 3.22, 2.58, 2.15, 1.85, 1.61, 1.44, 0.03, 0.01, 0.22, -0.01, -0.02, -0.02, -0.02, -0.02, -0.02, -0.04, -0.04, -0.05, 0.16, -0.05, -0.05, -0.04, -0.04, -0.04, -0.03]	[0, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171]	[0, 18.41, 27.18, 28.24, 28.48, 28.3, 28.41, 28.41, 28.41, 28.41, 28.41, 0.59, 0.24, 5.89, -0.26, -0.62, -0.62, -0.62, -0.75, -0.75, -1.76, -1.76, -2.13, 7.78, -2.66, -2.66, -2.13, -2.13, -2.13, -2.13]	14.73
8	14.58	[0, -0.74, 14.19, 7.22, 4.83, 3.62, 2.92, 2.43, 1.92]	[0, 185, 186, 187, 188, 189, 190, 191, 192]	[0, -1.63, 31.21, 31.76, 31.89, 31.89, 32.06, 32.06, 29.51]	18.72
9	13.91	[0, 0.27, 13.51, 6.84, 4.57, 3.46, 2.78, 2.31, 1.98, 0.23, 0.2, 0.18, 0.0, 0.0]	[0, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227]	[0, 0.59, 29.71, 30.08, 30.15, 30.46, 30.59, 30.52, 30.52, 4.0, 4.0, 4.0, 0.0, 0.0]	18.47
10	1.01	[0, 1.01, 0.22, 0.11, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.05, 0.05, 0.03, 0.02, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 0.02, 0.02, 0.02, 0.03, 0.02, 0.04, 0.03]	[0, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329]	[0, 2.22, 0.48, 0.48, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.24, 0.24, 0.35, 0.48, 0.48, 0.48, 0.59, 0.7, 0.7, 0.84, 0.84, 0.84, 0.95, 1.06, 1.06, 1.65, 1.65, 4.0]	0
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	1.77	2.39
25	7.77	9.32
26	7.77	9.32
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	9.41	11.16
35	10.75	10.24
36	11.13	10.24
37	11.22	10.44
38	11.22	10.44
39	11.32	10.44
40	11.22	10.44
41	11.22	1.0
42	11.22	-0.88
43	0.11	-0.88
44	-0.12	3.19
45	-0.12	2.83
46	-0.12	5.46
47	-0.12	5.32
48	-0.12	5.32
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	7.95	1.6
60	7.95	1.6
61	9.2	1.6
62	9.3	9.77
63	9.34	9.77
64	9.34	10.04
65	9.34	9.93
66	9.34	9.93
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0.22	-1.64
80	8.72	8.9
81	8.89	8.96
82	8.89	8.96
83	8.89	8.73
84	8.89	8.85
85	8.89	8.73
86	1.21	0.16
87	0.22	0.32
88	0.0	-0.54
89	0.0	-0.54
90	0.27	-1.91
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	2.82	1.76
103	12.48	1.76
104	13.04	12.41
105	13.1	12.5
106	13.13	12.5
107	13.13	12.5
108	13.13	12.5
109	13.13	11.85
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	10.85	-1.09
123	12.27	11.85
124	12.27	11.62
125	12.69	11.62
126	12.63	11.53
127	12.63	11.34
128	12.81	11.25
129	7.07	2.55
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	8.37	0.0
144	12.36	14.73
145	12.84	13.98
146	12.95	14.36
147	12.87	14.36
148	12.92	14.36
149	12.92	13.84
150	12.92	12.0
151	12.92	2.07
152	12.92	2.07
153	0.27	2.54
154	0.11	3.99
155	2.68	1.91
156	-0.12	1.91
157	-0.28	2.07
158	-0.28	2.07
159	-0.28	2.07
160	-0.34	2.07
161	-0.34	-0.3
162	-0.8	1.17
163	-0.8	0.97
164	-0.97	0.97
165	3.54	5.38
166	-1.21	-0.3
167	-1.21	0.97
168	-0.97	0.27
169	-0.97	0.27
170	-0.97	1.56
171	-0.97	1.56
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	-0.74	18.72
186	14.19	18.72
187	14.44	18.72
188	14.5	18.6
189	14.5	18.53
190	14.58	18.49
191	14.58	18.45
192	13.42	18.45
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0.27	18.47
216	13.51	17.83
217	13.68	17.83
218	13.71	17.64
219	13.85	17.48
220	13.91	17.48
221	13.88	17.48
222	13.88	16.77
223	1.82	16.77
224	1.82	-0.82
225	1.82	-0.82
226	0.0	-0.82
227	0.0	-1.16
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	1.01	-4.22
247	0.22	-4.22
248	0.22	-4.22
249	0.05	-3.95
250	0.05	-3.95
251	0.05	-3.95
252	0.05	-3.95
253	0.05	-3.95
254	0.05	-3.95
255	0.05	-3.95
256	0.05	-3.95
257	0.05	-3.95
258	0.05	-3.95
259	0.05	-3.95
260	0.05	-3.95
261	0.05	-3.95
262	0.05	-3.95
263	0.05	-3.95
264	0.05	-3.95
265	0.05	-3.95
266	0.05	-3.95
267	0.05	-3.95
268	0.05	-3.95
269	0.05	-3.95
270	0.05	-3.95
271	0.05	-3.95
272	0.05	-3.95
273	0.05	-3.95
274	0.05	-3.95
275	0.05	-3.95
276	0.05	-3.95
277	0.05	-3.95
278	0.05	-3.95
279	0.05	-3.95
280	0.05	-3.95
281	0.05	-3.95
282	0.05	-3.95
283	0.05	-3.95
284	0.05	-3.95
285	0.05	-3.95
286	0.05	-3.95
287	0.05	-3.95
288	0.05	-3.95
289	0.05	-4.22
290	0.05	-4.22
291	0.05	-4.22
292	0.05	-4.22
293	0.05	-4.22
294	0.05	-4.22
295	0.05	-4.22
296	0.05	-4.22
297	0.05	-4.22
298	0.05	-4.22
299	0.05	-4.22
300	0.05	-4.22
301	0.05	-4.22
302	0.05	-4.22
303	0.05	-4.22
304	0.05	-4.22
305	0.05	-4.22
306	0.05	-4.22
307	0.05	-3.95
308	0.05	-3.95
309	0.05	-3.95
310	0.05	-3.7
311	0.05	-3.7
312	0.11	-3.7
313	0.11	-3.7
314	0.16	-4.22
315	0.22	-4.86
316	0.22	-4.86
317	0.22	-4.86
318	0.27	-4.86
319	0.32	-7.05
320	0.32	-7.05
