Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	14.06	[0, 12.41, 13.53, 6.86, 4.58, 3.45, 2.78, 2.34, 1.93]	[0, 4, 5, 6, 7, 8, 9, 10, 11]	[0, 27.29, 29.75, 30.17, 30.24, 30.37, 30.59, 30.92, 29.75]	11.42
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	12.41	-6.46
5	13.53	-6.46
6	13.72	-6.46
7	13.75	11.42
8	13.81	11.42
9	13.91	11.42
10	14.06	11.33
11	13.53	11.33
12	0	0
13	0	0
14	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	13.73	[0, 12.45, 13.39, 6.77, 4.53, 3.41, 2.75, 1.17]	[0, 6, 7, 8, 9, 10, 11, 12]	[0, 27.38, 29.45, 29.78, 29.86, 30.0, 30.19, 15.48]	11.07
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	12.45	10.89
7	13.39	10.98
8	13.54	10.8
9	13.58	11.07
10	13.64	10.98
11	13.73	10.93
12	7.04	2.46
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
