Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	15.23	[0, 0.0, 0.0, 14.4, 14.89, 7.58, 5.08, 3.79, 3.02, 2.51]	[0, 14, 15, 16, 17, 18, 19, 20, 21, 22]	[0, 0.0, 0.0, 31.67, 32.74, 33.36, 33.49, 33.36, 33.16, 33.16]	19.21
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0.0	1.56
15	0.0	1.56
16	14.4	17.36
17	14.89	17.74
18	15.17	17.79
19	15.23	18.16
20	15.17	18.81
21	15.08	19.21
22	15.08	18.08
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
