Max,10.1792
Set,Time,Reps,Angle,Velocity,X,Y
1,0.3307,0,0.0000,0.0000,-1.3800,-1.0080
1,0.3512,0,0.0000,0.0000,-1.2880,-1.1770
1,0.3790,0,0.0000,0.0000,-0.0330,-0.3910
1,0.3844,0,0.0000,0.0000,-0.5860,-0.4410
1,0.3983,0,0.0000,0.0000,-0.3960,-0.3090
1,0.4121,0,0.0000,0.0000,-0.4050,-0.6750
1,0.4351,0,0.0000,0.0000,-0.4490,-0.6770
1,0.4609,0,0.0000,0.0000,0.0000,0.0000
1,0.4757,0,0.0000,0.0000,-1.0760,-0.5910
1,0.5001,0,0.0000,0.0000,0.1400,-0.7030
1,0.5485,0,0.0000,0.0000,-0.3960,-0.7780
1,0.5797,0,0.0000,0.0000,-0.9770,-1.5150
1,0.6272,0,0.0000,0.0000,-0.8120,-0.0550
1,0.6370,0,0.0000,0.0000,-3.7090,-3.4300
1,0.6697,0,0.0000,0.0000,-1.6020,-1.3060
1,0.7007,0,0.0000,0.0000,-1.8500,-0.0490
1,0.7158,0,0.0000,0.0000,-6.3430,-1.5000
1,0.7852,0,0.0000,0.0000,0.0000,0.0000
1,0.8436,0,0.0000,0.0000,-2.1380,-0.6500
1,0.8646,0,0.0000,0.0000,-2.2240,-0.0160
1,0.8908,0,0.0000,0.0000,-8.6250,-2.1430
1,0.9701,0,0.0000,0.0000,0.0000,0.0000
1,1.0483,0,0.0000,0.0000,-2.0990,-0.0780
1,1.0519,0,0.0000,0.0000,0.0000,0.0000
1,1.0864,0,0.0000,0.0000,-2.0240,-0.4520
1,1.0946,0,0.0000,0.0000,-2.6860,-0.4340
1,1.1231,0,0.0000,0.0000,-4.2430,-0.6790
1,1.1281,0,0.0000,0.0000,-0.9910,-0.1980
1,1.1450,0,0.0063,0.0537,-1.6270,-0.4060
1,1.1661,0,0.0190,0.1391,-2.0390,-0.8080
1,1.1907,0,0.0379,0.2492,-1.5800,-0.5950
1,1.2105,0,0.0506,0.3405,-1.1450,0.4860
1,1.2314,0,0.0632,0.4266,-0.8240,-0.2230
1,1.2568,0,0.0758,0.4980,-2.3320,-0.5810
1,1.2824,0,0.0885,0.5685,-4.9530,-1.0940
1,1.2908,0,0.0948,0.6214,-5.3750,-2.7030
1,1.3023,0,0.0948,0.5359,-2.3520,-0.8850
1,1.3164,0,0.0885,0.3623,-2.3200,0.1790
1,1.3371,0,0.0948,0.3144,-0.6490,-0.2760
1,1.3629,0,0.0948,0.2283,-3.8950,-1.1690
1,1.3972,0,0.0948,0.1569,-1.1860,-0.3090
1,1.4047,0,0.0948,0.0864,-2.0030,-0.3360
1,1.4758,0,0.0948,-0.0202,0.0000,0.0000
1,1.5437,0,0.0948,-0.0202,-2.0970,-0.4030
1,1.5816,0,0.1011,0.0672,-2.3170,-1.0810
1,1.5901,0,0.1011,0.0237,-1.5540,-0.1350
1,1.6127,0,0.1074,0.0635,-1.5530,0.3050
1,1.6150,0,0.1137,0.4588,-3.6540,-0.3460
1,1.6228,0,0.1200,0.5742,-6.0760,-1.6960
1,1.6696,0,0.1263,0.5934,-0.8880,-0.8530
1,1.7285,0,0.1326,0.6087,0.0000,0.0000
1,1.7392,0,0.1326,0.5849,0.0000,0.0000
1,1.7659,0,0.1326,0.5849,0.0000,0.0000
1,1.7712,0,0.1326,0.5452,0.0000,0.0000
1,1.7738,0,0.1326,0.1499,0.0000,0.0000
1,1.7833,0,0.1326,0.0345,0.0000,0.0000
1,1.8796,0,0.1326,0.0153,-0.5080,-0.0740
1,1.9004,0,0.1326,0.0000,-0.6520,-0.4280
1,1.9269,0,0.1326,0.0000,-0.6660,-0.4490
1,1.9591,0,0.1326,0.0000,-1.2780,-0.9560
1,1.9820,0,0.1326,0.0000,-0.9800,-0.8530
1,2.0139,0,0.1326,0.0000,-1.2000,-0.7410
1,2.0417,0,0.1326,0.0000,-0.8890,-0.3440
1,2.0625,0,0.1326,0.0000,-0.2980,-0.3880
1,2.0856,0,0.1326,0.0000,-0.1630,-0.5520
1,2.1192,0,0.1326,0.0000,-0.1580,-0.6380
1,2.1420,0,0.1326,0.0000,-0.1090,-0.6380
1,2.1745,0,0.1326,0.0000,-0.1080,-0.5800
1,2.2022,0,0.1263,-0.0324,-0.0540,-0.4950
1,2.2333,0,0.1200,-0.0614,-0.0510,-0.4800
1,2.2440,0,0.1137,-0.1458,-0.0390,-0.4690
1,2.2807,0,0.1074,-0.1703,-0.0360,-0.4690
1,2.2915,0,0.1011,-0.2530,-0.0290,-0.4670
1,2.3220,0,0.0948,-0.2825,-0.0210,-0.4750
1,2.3368,0,0.0885,-0.3433,-0.0200,-0.4810
1,2.3688,0,0.0885,-0.3109,-0.0080,-0.4730
1,2.3739,0,0.0885,-0.2819,-0.0110,-0.4700
1,2.3767,0,0.0885,-0.1975,-0.0110,-0.4640
1,2.3835,0,0.0885,-0.1729,-0.0100,-0.4570
1,2.4135,0,0.0885,-0.0903,-0.0080,-0.4510
1,2.4173,0,0.0885,-0.0608,-0.0060,-0.4460
1,2.4204,0,0.0885,0.0000,-0.0030,-0.4440
1,2.4697,0,0.0885,0.0000,0.0020,-0.4390
1,2.4749,0,0.0885,0.0000,0.0060,-0.4350
1,2.4862,0,0.0885,0.0000,0.0080,-0.4290
1,2.5077,0,0.0885,0.0000,0.0110,-0.4220
1,2.5128,0,0.0885,0.0000,0.0090,-0.4200
1,2.5193,0,0.0885,0.0000,0.0070,-0.4170
1,2.5529,0,0.0885,0.0000,0.0050,-0.4130
1,2.5554,0,0.0885,0.0000,0.0030,-0.4080
1,2.5576,0,0.0885,0.0000,0.0030,-0.4020
1,2.5653,0,0.0885,0.0000,0.0040,-0.3950
1,2.5893,0,0.0885,0.0000,0.0070,-0.3890
1,2.6268,0,0.0885,0.0000,0.0130,-0.3860
1,2.7047,0,0.0885,0.0000,-0.1280,-0.2640
1,2.7535,0,0.0885,0.0000,0.0130,-0.3340
1,2.7848,0,0.0885,0.0000,0.0080,-0.3280
1,2.7955,0,0.0885,0.0000,0.0040,-0.3260
1,2.8298,0,0.0885,0.0000,-0.0010,-0.3250
1,2.8425,0,0.0885,0.0000,-0.0050,-0.3230
1,2.8682,0,0.0885,0.0000,-0.0080,-0.3190
1,2.9105,0,0.0885,0.0000,-0.0110,-0.3160
1,2.9152,0,0.0885,0.0000,-0.0120,-0.3160
1,2.9468,0,0.0885,0.0000,-0.0140,-0.3110
1,2.9560,0,0.0885,0.0000,-0.0160,-0.3110
1,2.9821,0,0.0885,0.0000,-0.0160,-0.3120
1,3.0048,0,0.0885,0.0000,-0.0170,-0.3140
1,3.0304,0,0.0885,0.0000,-0.0220,-0.3200
1,3.0589,0,0.0885,0.0000,-0.0250,-0.3240
1,3.0706,0,0.0885,0.0000,-0.0230,-0.3250
1,3.0974,0,0.0885,0.0000,-0.0230,-0.3260
1,3.1171,0,0.0885,0.0000,-0.0230,-0.3260
1,3.1454,0,0.0885,0.0000,-0.0280,-0.3290
1,3.1764,0,0.0885,0.0000,-0.0370,-0.3410
1,3.1865,0,0.0885,0.0000,-0.0440,-0.3480
1,3.2271,0,0.0885,0.0000,-0.0420,-0.3510
1,3.2335,0,0.0885,0.0000,-0.0330,-0.3420
1,3.2719,0,0.0885,0.0000,-0.0200,-0.3270
1,3.3561,0,0.0885,0.0000,0.0770,-0.3820
1,3.4061,0,0.0885,0.0000,0.0110,-0.2970
1,3.4355,0,0.0885,0.0000,0.0120,-0.2950
1,3.4498,0,0.0885,0.0000,0.0180,-0.2900
1,3.4735,0,0.0885,0.0000,0.0260,-0.2800
1,3.5002,0,0.0885,0.0000,0.0380,-0.2630
1,3.5187,0,0.0885,0.0000,0.0530,-0.2450
1,3.5484,0,0.0822,-0.0303,0.0620,-0.2330
1,3.5687,0,0.0759,-0.0747,0.0670,-0.2230
1,3.5877,0,0.0632,-0.1699,0.0690,-0.2180
