Max,22.2487
Target,11.1243
Set,Time,Reps,Angle,Velocity,X,Y
1,0.1047,0,0.9710,0.0000,-0.0410,-0.2620
1,0.1159,0,0.9710,0.0000,-0.0400,-0.2680
1,0.1294,0,0.9710,0.0000,-0.0460,-0.2720
1,0.1391,0,0.9710,0.0000,-0.0530,-0.2730
1,0.1501,0,0.9710,0.0000,-0.0620,-0.2700
1,0.1634,0,0.9710,0.0000,-0.0710,-0.2620
1,0.1738,0,0.9710,0.0000,-0.0760,-0.2500
1,0.1842,0,0.9710,0.0000,-0.0780,-0.2380
1,0.2083,0,0.9710,0.0000,-0.0720,-0.2270
1,0.2530,0,0.9710,0.0000,-0.0930,-0.2150
1,0.2767,0,0.9710,0.0000,-0.1220,-0.2100
1,0.3027,0,0.9710,0.0000,-0.1300,-0.2180
1,0.3219,0,0.9710,0.0000,-0.1330,-0.2300
1,0.3450,0,0.9710,0.0000,-0.1340,-0.2290
1,0.3799,0,0.9710,0.0000,-0.1320,-0.2290
1,0.4019,0,0.9710,0.0000,-0.1280,-0.2440
1,0.4262,0,0.9710,0.0000,-0.1290,-0.2600
1,0.4530,0,0.9710,0.0000,-0.1330,-0.2730
1,0.4708,0,0.9710,0.0000,-0.1330,-0.2870
1,0.4943,0,0.9710,0.0000,-0.1360,-0.2880
1,0.5299,0,0.9710,0.0000,-0.1500,-0.2900
1,0.5593,0,0.9710,0.0000,-0.1770,-0.2970
1,0.5736,0,0.9710,0.0000,-0.2040,-0.2920
1,0.6020,0,0.9710,0.0000,-0.2310,-0.2820
1,0.6277,0,0.9710,0.0000,-0.2440,-0.2670
1,0.6424,0,0.9710,0.0000,-0.2510,-0.2600
1,0.6662,0,0.9710,0.0000,-0.2630,-0.2810
1,0.6883,0,0.9710,0.0000,-0.2570,-0.2890
1,0.7120,0,0.9710,0.0000,-0.2450,-0.3020
1,0.7365,0,0.9710,0.0000,-0.2330,-0.3170
1,0.7570,0,0.9710,0.0000,-0.2250,-0.3350
1,0.7815,0,0.9710,0.0000,-0.2220,-0.3580
1,0.8090,0,0.9710,0.0000,-0.2110,-0.3750
1,0.8256,0,0.9710,0.0000,-0.2120,-0.4080
1,0.8496,0,0.9710,0.0000,-0.2020,-0.4110
1,0.8715,0,0.9710,0.0000,-0.1960,-0.4090
1,0.9190,0,0.9710,0.0000,-0.1960,-0.3620
1,0.9649,0,0.9710,0.0000,-0.1800,-0.3520
1,0.9929,0,0.9710,0.0000,-0.1770,-0.3360
1,1.0090,0,0.9710,0.0000,-0.1810,-0.3090
1,1.0377,0,0.9710,0.0000,-0.1890,-0.2830
1,1.0546,0,0.9710,0.0000,-0.1850,-0.2780
1,1.0778,0,0.9710,0.0000,-0.1740,-0.2780
1,1.0893,0,0.9710,0.0000,-0.1740,-0.2720
1,1.1233,0,0.9710,0.0000,-0.1800,-0.2610
1,1.1462,0,0.9710,0.0000,-0.1930,-0.2480
1,1.1694,0,0.9710,0.0000,-0.1910,-0.2430
1,1.1922,0,0.9710,0.0000,-0.1890,-0.2390
1,1.2151,0,0.9710,0.0000,-0.1910,-0.2320
1,1.2266,0,0.9710,0.0000,-0.2000,-0.2350
1,1.2392,0,0.9710,0.0000,-0.2030,-0.2390
1,1.2500,0,0.9710,0.0000,-0.2050,-0.2470
1,1.2766,0,0.9710,0.0000,-0.2020,-0.2610
1,1.2952,0,0.9710,0.0000,-0.2000,-0.2690
1,1.3683,0,0.9710,0.0000,-0.0860,-0.1620
1,1.3916,0,0.9710,0.0000,-0.0590,-0.1580
1,1.4180,0,0.9710,0.0000,-0.0550,-0.1560
1,1.4886,0,0.9710,0.0000,-0.2070,-0.2850
1,1.5106,0,0.9710,0.0000,-0.1630,-0.2740
1,1.5336,0,0.9710,0.0000,-0.1560,-0.2710
1,1.5448,0,0.9710,0.0000,-0.1530,-0.2630
1,1.5579,0,0.9710,0.0000,-0.1530,-0.2600
