Time,Angle,X,Y
2.8169,0.0000,0.0000,0.0000
2.9138,0.0000,0.0000,0.0000
2.9183,0.0000,0.0000,0.0000
2.9630,0.0000,0.0000,0.0000
2.9655,0.0000,0.0000,0.0000
2.9686,0.0000,0.0000,0.0000
2.9738,0.0000,0.0000,0.0000
3.0619,0.0000,0.0000,0.0000
3.0648,0.0000,0.0000,0.0000
3.0673,0.0000,0.0000,0.0000
3.1374,0.0000,0.0000,0.0000
3.1416,0.0000,0.0000,0.0000
3.1448,0.0000,0.0000,0.0000
3.1572,0.0000,0.0000,0.0000
3.1819,0.0000,0.0000,0.0000
3.2907,0.0000,0.0000,0.0000
3.2950,0.0000,0.0000,0.0000
3.2975,0.0000,0.0000,0.0000
3.3370,0.0000,0.0000,0.0000
3.3431,0.0000,0.0000,0.0000
3.3464,0.0000,0.0000,0.0000
3.3631,0.0000,0.0000,0.0000
3.4500,0.0000,0.0000,0.0000
3.5266,0.0000,0.0000,0.0000
3.5299,0.0000,0.0000,0.0000
3.5345,0.0000,0.0000,0.0000
3.5367,0.0000,0.0000,0.0000
3.5389,0.0000,0.0000,0.0000
3.5454,0.0000,0.0000,0.0000
3.6017,0.0000,0.0000,0.0000
3.6054,0.0000,0.0000,0.0000
3.7071,0.0000,0.0000,0.0000
3.7097,0.0000,0.0000,0.0000
3.7136,0.0000,0.0000,0.0000
3.7163,0.0000,0.0000,0.0000
3.7310,0.0000,0.0000,0.0000
3.7847,0.0000,0.0000,0.0000
3.8641,0.0000,0.0000,0.0000
3.8670,0.0000,0.0000,0.0000
3.8689,0.0000,0.0000,0.0000
3.8809,0.0000,0.0000,0.0000
3.9369,0.0000,0.0000,0.0000
4.0155,0.0000,0.0000,0.0000
4.0185,0.0000,0.0000,0.0000
4.0212,0.0000,0.0000,0.0000
4.0903,0.0000,0.0000,0.0000
4.1623,0.0000,0.0000,0.0000
4.1669,0.0000,0.0000,0.0000
4.1694,0.0000,0.0000,0.0000
4.1731,0.0000,0.0000,0.0000
4.1767,0.0000,0.0000,0.0000
