Time,Reps,Angle,X,Y
5.0031,1,0.1380,0.0000,0.0000
5.0328,1,0.1380,2.9510,-1.7970
5.0430,1,0.1380,0.0000,0.0000
5.0497,1,0.1380,-6.7860,-2.1790
5.0637,1,0.1380,0.0000,0.0000
5.0810,1,0.1380,-0.3060,0.1490
5.0836,1,0.1380,-0.2390,-0.0540
5.0941,1,0.1380,-2.2390,-2.1790
5.1197,1,0.1380,0.0000,0.0000
5.1309,1,0.1380,-0.5820,0.1140
5.1665,1,0.1380,0.0000,0.0000
5.2038,1,0.1380,0.0000,0.0000
5.2086,1,0.1380,-0.9350,-1.5160
5.2250,1,0.1380,-1.4420,-0.3730
5.2330,1,0.1380,-1.2250,0.2970
5.2474,1,0.1380,-0.6550,-0.9020
5.2553,1,0.1380,0.0000,0.0000
5.2662,1,0.1380,0.0000,0.0000
5.2788,1,0.1380,-2.4110,0.0270
5.3021,1,0.1380,0.0000,0.0000
5.3271,1,0.1380,0.0000,0.0000
5.3467,1,0.1380,-0.6050,-1.1320
5.3992,1,0.1380,0.0000,0.0000
5.4182,1,0.1380,-0.2280,-0.4040
5.4579,1,0.1380,3.3440,1.4370
5.4931,1,0.1380,0.0000,0.0000
5.5069,1,0.1380,0.0000,0.0000
5.5382,1,0.1380,0.7740,-0.4950
5.5702,1,0.1380,-3.8510,8.6600
5.5764,1,0.1380,-1.0000,-1.7380
5.6055,1,0.1380,-0.1440,0.1340
5.6683,1,0.1380,-0.1830,-0.0430
5.6923,1,0.1380,0.0000,0.0000
5.7189,1,0.1380,14.6670,-0.0000
5.7372,1,0.1380,-11.7140,-1.1430
5.7482,1,0.1380,0.0000,0.0000
5.7730,1,0.1380,-1.9470,0.5790
5.8173,1,0.1380,0.0000,0.0000
5.8530,1,0.1380,0.0000,0.0000
5.8788,1,0.1380,2.5910,-1.7950
5.9028,1,0.1380,0.0000,0.0000
5.9765,1,0.1380,0.0000,0.0000
6.0262,1,0.1380,0.0000,0.0000
6.0634,1,0.1380,-5.0570,-2.4290
6.0985,1,0.1380,-2.1860,-0.3570
6.1069,1,0.1380,3.5000,0.2940
6.1172,1,0.1380,0.0000,0.0000
6.1483,1,0.1380,0.0000,0.0000
6.1671,1,0.1380,0.0000,0.0000
6.1757,1,0.1380,0.0000,0.0000
6.1879,1,0.1380,-2.4500,1.8500
6.2023,1,0.1380,0.0000,0.0000
6.2254,1,0.1380,-0.2690,-0.1630
6.2301,1,0.1380,0.0000,0.0000
6.3063,1,0.1380,-0.9870,-0.9980
6.3311,1,0.1380,-0.9990,-1.0050
6.3608,1,0.1380,-0.9940,-0.9900
6.4276,1,0.1380,-10.0270,1.3780
6.4815,1,0.1380,-0.0700,-1.1270
6.4935,1,0.1380,0.0000,0.0000
6.5267,1,0.1380,0.0000,0.0000
6.5381,1,0.1380,-2.0000,0.9470
6.5746,1,0.1380,-0.2740,-0.3120
6.6078,1,0.1380,-0.0620,0.1860
6.6407,1,0.1380,-7.3750,0.9580
6.7098,1,0.1380,0.0000,0.0000
6.7682,1,0.1380,0.8200,0.9800
6.7910,1,0.1380,-0.2250,0.3480
6.8263,1,0.1380,0.0000,0.0000
6.8378,1,0.1380,0.0000,0.0000
6.8982,1,0.1380,0.0000,0.0000
6.9123,1,0.1380,0.0000,0.0000
6.9961,1,0.1380,0.0000,0.0000
7.0213,1,0.1380,-11.8180,4.3640
7.0367,1,0.1380,-2.2790,-2.1860
7.0439,1,0.1380,0.0000,0.0000
7.0591,1,0.1380,0.0000,0.0000
7.0676,1,0.1380,4.2800,3.1940
7.0788,1,0.1380,0.0000,0.0000
7.0994,1,0.1304,0.0000,0.0000
7.1046,1,0.1227,0.0000,0.0000
7.1119,1,0.1151,0.0000,0.0000
7.1303,1,0.1074,0.0000,0.0000
7.1485,1,0.1074,-0.2600,0.4590
7.1790,1,0.1074,-0.1340,0.0430
7.1835,1,0.1151,-0.9930,-0.0070
7.1931,1,0.1227,-8.5960,-1.6970
7.2170,1,0.1304,-2.8290,-0.3090
7.2392,1,0.1304,0.0000,0.0000
7.2646,1,0.1227,0.0000,0.0000
7.2865,1,0.1227,0.1290,2.2790
7.3314,1,0.1151,-2.7040,0.5480
7.3512,1,0.1074,-8.9650,4.0880
7.4062,1,0.0998,-8.2750,11.6090
7.4197,1,0.0998,-2.6440,5.5630
7.4382,1,0.0998,-3.9450,1.8840
7.4819,1,0.0921,-1.0050,-0.9960
7.4915,1,0.0921,0.0000,0.0000
7.5192,1,0.0921,-2.2470,1.8480
7.5264,1,0.0921,0.0000,0.0000
7.5652,1,0.0921,-2.1490,0.8420
7.5996,1,0.0921,-1.5490,-0.3100
7.6061,1,0.0921,0.0000,0.0000
7.6632,1,0.0998,0.0000,0.0000
7.7533,1,0.1074,-2.6000,14.3600
7.7833,1,0.1151,0.0000,0.0000
7.8078,1,0.1227,0.0000,0.0000
7.8499,1,0.1304,-2.5470,2.9470
7.8597,1,0.1380,0.0000,0.0000
7.8919,1,0.1380,0.0000,0.0000
7.9099,1,0.1380,0.0000,0.0000
7.9442,1,0.1380,0.0000,0.0000
7.9734,1,0.1380,-0.7880,0.2800
8.0048,1,0.1380,0.0000,0.0000
8.0200,1,0.1380,-1.1320,1.7740
8.0429,1,0.1380,-0.5300,8.0090
8.0646,1,0.1456,0.0290,0.9060
8.1162,1,0.1533,-2.1980,1.8370
8.1234,1,0.1609,0.0000,0.0000
8.1332,1,0.1685,0.0000,0.0000
8.1644,1,0.1761,0.0000,0.0000
8.1712,1,0.1838,-0.5410,4.8600
8.1816,1,0.1761,1.5880,2.3950
8.1845,1,0.1761,2.0320,2.7120
8.2094,1,0.1761,0.0000,0.0000
8.2141,1,0.1761,2.0430,6.8120
8.2160,1,0.1761,0.0000,0.0000
8.2446,1,0.1761,0.0000,0.0000
8.2620,1,0.1838,3.9620,3.6730
8.2949,1,0.1838,9.3640,5.6820
8.2992,1,0.1838,0.0470,2.2830
8.3060,1,0.1838,10.0770,16.0770
8.3236,1,0.1838,0.4240,2.1600
8.3325,1,0.1838,2.8040,3.1740
8.3423,1,0.1838,0.0000,0.0000
8.3528,1,0.1838,2.2880,3.6300
8.3698,1,0.1838,2.0680,3.5450
8.3781,1,0.1838,0.9800,1.5680
8.4223,1,0.1838,-1.4500,1.1180
8.4521,1,0.1838,0.0000,0.0000
8.4665,1,0.1838,0.0000,0.0000
8.5015,1,0.1838,0.0000,0.0000
8.5136,1,0.1838,1.0340,1.7380
8.5371,1,0.1838,0.0000,0.0000
8.5771,1,0.1838,6.4840,5.3550
8.6010,1,0.1838,0.0000,0.0000
8.6255,1,0.1838,0.0000,0.0000
8.6404,1,0.1838,0.0000,0.0000
8.6638,1,0.1838,0.0000,0.0000
8.7041,1,0.1838,0.0000,0.0000
8.7457,1,0.1838,-0.7760,-0.2980
8.7543,1,0.1838,-0.6310,-0.3300
8.7925,1,0.1838,-0.4750,-0.1920
8.8014,1,0.1838,-0.3310,-0.3680
8.8260,1,0.1838,-0.2450,-0.4890
8.8461,1,0.1838,0.0490,-0.5130
8.8699,1,0.1838,0.1240,-0.4910
8.9044,1,0.1838,0.1690,-0.2600
8.9149,1,0.1838,0.2630,-0.1590
8.9423,1,0.1838,0.2660,-0.1650
8.9676,1,0.1838,0.2340,-0.2000
9.0010,1,0.1838,0.2030,-0.2310
9.0136,1,0.1838,0.2300,-0.2160
9.0189,1,0.1838,0.4740,-0.5020
9.0801,1,0.1838,0.0220,-0.1870
9.1451,1,0.1838,0.1980,-0.3200
9.1680,1,0.1838,0.2000,-0.3260
9.1978,1,0.1838,0.1880,-0.3490
9.2150,1,0.1838,0.1740,-0.3710
9.2388,1,0.1838,0.1620,-0.3860
9.2720,1,0.1838,0.1570,-0.3940
9.2979,1,0.1838,0.1520,-0.4020
9.3045,1,0.1838,0.1520,-0.4040
9.3168,1,0.1838,0.1520,-0.4050
9.3483,1,0.1838,0.1530,-0.4060
9.3727,1,0.1838,0.1530,-0.4060
9.3880,1,0.1838,0.1540,-0.4070
9.4107,1,0.1838,0.1530,-0.4090
9.4162,1,0.1838,0.1520,-0.4100
9.4203,1,0.1838,0.1510,-0.4110
9.4340,1,0.1838,0.1510,-0.4120
9.4584,1,0.1838,0.1500,-0.4120
9.4706,1,0.1838,0.1490,-0.4130
9.4813,1,0.1838,0.1490,-0.4150
9.4975,1,0.1838,0.1500,-0.4190
9.5134,1,0.1838,0.1450,-0.4240
9.5509,1,0.1838,0.1390,-0.4280
9.5793,1,0.1838,0.1290,-0.4340
9.5936,1,0.1838,0.1210,-0.4320
9.6321,1,0.1838,0.1090,-0.4320
9.6449,1,0.1838,0.1000,-0.4330
9.6720,1,0.1838,0.0880,-0.4300
9.7078,1,0.1838,0.0980,-0.4110
9.7171,1,0.1838,0.0970,-0.4000
9.7469,1,0.1838,0.0950,-0.3900
9.7660,1,0.1838,0.0940,-0.3830
9.8015,1,0.1838,0.0920,-0.3780
9.8273,1,0.1838,0.0840,-0.3800
9.8469,1,0.1838,0.0840,-0.3770
9.8739,1,0.1838,0.0790,-0.3730
9.8912,1,0.1838,0.0730,-0.3750
9.9151,1,0.1838,0.0680,-0.3820
9.9500,1,0.1838,0.0650,-0.3910
9.9861,1,0.1838,0.0510,-0.4110
10.0113,1,0.1838,0.0730,-0.3930
10.0566,1,0.1838,0.0770,-0.3890
10.0693,1,0.1838,0.0790,-0.3890
10.0776,1,0.1838,0.0780,-0.3900
10.1058,1,0.1838,0.0800,-0.3900
10.1749,1,0.1838,0.0930,-0.4060
10.2100,1,0.1838,0.1060,-0.3890
10.2438,1,0.1838,0.1020,-0.3910
10.2816,1,0.1838,0.1310,-0.4480
10.3235,1,0.1838,0.1230,-0.4480
10.3291,1,0.1838,0.1160,-0.4470
10.3870,1,0.1838,0.0610,-0.3950
10.4196,1,0.1838,0.0600,-0.3920
10.4405,1,0.1838,0.0620,-0.3810
10.4655,1,0.1838,0.0660,-0.3620
10.4806,1,0.1838,0.0720,-0.3450
10.5007,1,0.1838,0.0790,-0.3250
10.5113,1,0.1838,0.0830,-0.3050
10.5480,1,0.1838,0.0860,-0.2930
10.5507,1,0.1838,0.0910,-0.2810
10.5577,1,0.1838,0.1000,-0.2570
10.5794,1,0.1838,0.1080,-0.2370
10.6032,1,0.1838,0.1130,-0.2190
10.6248,1,0.1838,0.1140,-0.2080
10.6610,1,0.1838,0.1100,-0.2020
10.6713,1,0.1838,0.1050,-0.2000
10.6804,1,0.1838,0.1030,-0.2010
10.6826,1,0.1838,0.1010,-0.2030
10.7012,1,0.1838,0.2070,-0.3230
10.7353,1,0.1838,0.0930,-0.2100
10.7716,1,0.1838,0.0880,-0.2200
10.8163,1,0.1838,0.0890,-0.2250
10.8419,1,0.1838,0.0890,-0.2260
10.8562,1,0.1838,0.0900,-0.2270
10.8900,1,0.1838,0.0920,-0.2300
10.9233,1,0.1838,0.0930,-0.2250
10.9600,1,0.1838,0.0970,-0.2200
10.9704,1,0.1838,0.0990,-0.2170
11.0036,1,0.1838,0.0990,-0.2140
11.0230,1,0.1838,0.1000,-0.2100
11.0515,1,0.1838,0.1010,-0.2030
11.0798,1,0.1838,0.0980,-0.1970
11.1060,1,0.1838,0.0910,-0.1890
11.1106,1,0.1838,0.0860,-0.1810
11.1440,1,0.1761,0.0730,-0.1770
11.1756,1,0.1685,0.0590,-0.1670
11.1920,1,0.1609,0.0410,-0.1540
11.2252,1,0.1533,0.0270,-0.1440
11.2413,1,0.1380,0.0120,-0.1330
11.2516,1,0.1227,0.0060,-0.1290
11.2713,1,0.1074,0.0000,-0.1260
11.2747,1,0.0844,-0.0040,-0.1220
11.2783,1,0.0614,-0.0070,-0.1200
11.2813,1,0.0384,-0.0110,-0.1180
11.3106,1,0.0230,-0.0150,-0.1160
11.3313,1,0.0077,-0.0210,-0.1120
11.3383,1,0.0000,-0.0280,-0.1080
11.3423,1,0.0000,-0.0420,-0.1040
11.3736,1,0.0000,-0.0620,-0.1010
11.4027,1,0.0000,-0.0820,-0.1030
11.4195,1,0.0000,-0.0960,-0.1090
11.4421,1,0.0000,-0.0980,-0.1120
11.4812,1,0.0835,-0.0950,-0.1090
11.4991,1,0.1065,-0.0890,-0.1040
11.5218,1,0.2566,-0.0710,-0.1050
11.5451,1,0.6463,-0.0550,-0.1130
11.5674,1,1.2339,-0.0400,-0.1220
11.5937,1,2.1464,-0.0290,-0.1330
11.6257,1,3.4408,-0.0170,-0.1430
11.6350,1,4.9503,-0.0050,-0.1530
11.6627,1,6.7536,0.0140,-0.1770
11.6898,1,8.5616,0.0370,-0.1920
11.7051,1,10.3539,0.0660,-0.2080
11.7333,1,11.9853,0.0890,-0.2210
11.7516,1,13.1802,0.1000,-0.2220
11.7792,1,14.2780,0.1040,-0.2210
11.7850,1,14.9711,0.1040,-0.2220
11.8161,1,15.4525,0.1050,-0.2210
11.8301,1,15.7556,0.0970,-0.2340
11.8676,1,15.8338,0.0810,-0.2430
11.8786,1,15.8502,0.0640,-0.2420
11.9022,1,15.7265,0.0550,-0.2280
11.9276,1,15.4299,0.0560,-0.2110
11.9336,1,15.1009,0.0560,-0.2050
