Time,Angle,X,Y
6.2139,12.5397,0.0000,0.0000
6.2436,12.5397,-1.2470,-0.1100
6.2465,12.5397,0.0000,0.0000
6.2506,12.5397,-1.6330,0.3060
6.2538,12.5397,0.0000,0.0000
6.2556,12.5397,0.0000,0.0000
6.2573,12.5397,0.0000,0.0000
6.2785,12.5397,-1.6470,-8.7060
6.3458,12.5397,0.0000,0.0000
6.3969,12.5397,-0.3350,0.0320
6.4019,12.5397,1.1730,3.5190
6.4046,12.5397,0.0990,1.3510
6.4065,12.5397,-0.0050,0.1790
6.4091,12.5397,-0.1070,0.0120
6.4127,12.5397,0.2970,-0.3280
6.4831,12.5397,0.0000,0.0000
6.5473,12.5397,-0.6910,-1.5370
6.5516,12.5397,-4.1560,-5.2190
6.5546,12.5397,0.0000,0.0000
6.5564,12.5397,0.0000,0.0000
6.5586,12.5397,0.0000,0.0000
6.5627,12.5397,0.0000,0.0000
6.5654,12.5397,-2.3730,-4.6670
6.5675,12.5397,0.0000,0.0000
6.6271,12.5397,-0.0440,-0.3330
6.6903,12.5397,0.0000,0.0000
6.6968,12.5397,-6.4910,-3.4730
6.6995,12.5397,0.0000,0.0000
6.8317,12.5397,-0.0200,-0.1300
6.8360,12.5397,0.0000,0.0000
6.8384,12.5397,-1.7930,-2.2730
6.8409,12.5397,-0.3300,-0.3850
6.8441,12.5397,0.5570,0.1600
6.8461,12.5397,1.5640,-0.8460
6.9087,12.5397,-6.3810,-4.1430
6.9718,12.5397,0.9870,-0.0400
6.9762,12.5397,4.4330,2.9000
6.9783,12.5397,0.0000,0.0000
6.9813,12.5397,-0.3210,2.8300
6.9826,12.5397,-0.0980,0.6730
7.1175,12.5397,0.0000,0.0000
7.1231,12.5397,0.0000,0.0000
7.1264,12.5397,0.0000,0.0000
7.1283,12.5397,0.2330,0.1190
7.1309,12.5397,0.0000,0.0000
7.1344,12.5397,-1.1250,-0.8220
7.1964,12.5397,6.8750,2.8750
7.2594,12.5397,0.0000,0.0000
7.2638,12.5397,0.0000,0.0000
7.4038,12.5397,0.0000,0.0000
7.4070,12.5397,0.0000,0.0000
7.4774,12.5397,0.0000,0.0000
7.5420,12.5397,3.8320,-2.6280
7.5471,12.5397,0.0000,0.0000
7.5499,12.5397,0.0000,0.0000
7.5564,12.5397,0.0000,0.0000
7.6979,12.5397,0.0000,0.0000
7.7007,12.5397,0.0000,0.0000
7.7053,12.5397,-1.4770,1.1400
7.7080,12.5397,1.6540,3.5960
7.7100,12.5397,0.0000,0.0000
7.7166,12.5397,-1.1100,0.2720
7.7784,12.5397,0.0000,0.0000
7.8406,12.5397,-0.2880,0.7070
7.8432,12.5397,-0.0150,-0.5680
7.8475,12.5397,-0.8510,-1.6060
7.8496,12.5397,1.9310,-3.0690
7.8519,12.5397,8.9230,-0.5380
7.8554,12.5397,-0.5210,-0.0560
7.9887,12.5397,-2.6630,-1.7420
7.9916,12.5397,0.2220,-1.1940
7.9941,12.5397,-0.0580,-0.1000
7.9977,12.5397,0.2760,-0.6280
7.9998,12.5397,-0.8930,-0.3440
8.0713,12.5397,-1.2410,-3.0370
8.1334,12.5397,0.1880,0.6730
8.1396,12.5397,-0.5930,-1.1460
8.1416,12.5397,3.2220,0.2220
8.1435,12.5397,0.0000,0.0000
8.2797,12.5397,-3.8640,-3.6420
8.2826,12.5397,-1.3290,-0.9410
8.2870,12.5397,-0.9580,1.5030
8.2898,12.5397,-2.4510,-2.0440
8.2916,12.5397,2.8900,-2.6440
8.4618,12.5397,-3.1430,1.4760
8.4665,12.5397,0.0000,0.0000
8.4700,12.5397,0.1140,-0.7970
8.4720,12.5397,-0.1460,-0.0370
8.4751,12.5397,-1.1050,2.0230
8.4764,12.5397,0.0000,0.0000
8.4795,12.5397,0.0000,0.0000
