Time,Reps,Angle,X,Y
4.9840,1,0.0000,0.6240,-0.2390
5.0073,1,0.0000,0.6460,-0.2520
5.0116,1,0.0000,0.6690,-0.2660
5.0178,1,0.0000,0.6920,-0.2830
5.0457,1,0.0000,0.7170,-0.3020
5.0493,1,0.0000,0.7450,-0.3210
5.0645,1,0.0000,0.8080,-0.3650
5.0869,1,0.0000,0.8840,-0.4180
5.1338,1,0.0000,1.0380,-0.4520
5.1558,1,0.0000,1.1430,-0.5990
5.1850,1,0.0000,1.2400,-0.6390
5.2034,1,0.0000,1.3480,-0.6650
5.2362,1,0.0000,1.5140,-0.7010
5.2725,1,0.0000,1.6540,-0.7300
5.2948,1,0.0000,1.7190,-0.7660
5.3227,1,0.0000,1.7750,-0.7980
5.3419,1,0.0000,1.8410,-0.8360
5.3642,1,0.0000,1.8840,-0.8790
5.3974,1,0.0000,1.9090,-0.9560
5.4772,1,0.0000,2.0110,-1.0320
5.5024,1,0.0000,2.1680,-1.1590
5.5311,1,0.0000,2.2450,-1.1530
5.5474,1,0.0000,2.2780,-1.1430
5.5719,1,0.0000,2.2670,-1.1430
5.6024,1,0.0000,2.2160,-1.1300
5.6171,1,0.0000,2.1660,-1.1130
5.6528,1,0.0000,2.0780,-1.0980
5.6820,1,0.0000,2.0390,-1.0970
5.7516,1,0.0000,0.0000,0.0000
5.7680,1,0.0000,0.0000,0.0000
5.7897,1,0.0000,0.0000,0.0000
5.8208,1,0.0000,0.0000,0.0000
5.8255,1,0.0000,0.0000,0.0000
5.9174,1,0.0000,1.0910,-0.9230
5.9368,1,0.0000,0.8630,-0.8760
6.0293,1,0.0000,0.4430,-0.6380
6.0447,1,0.0000,0.1590,-0.2770
6.0682,1,0.0000,0.0950,-0.2280
6.0757,1,0.0000,0.0580,-0.1840
6.0982,1,0.0000,0.0420,-0.1680
6.1056,1,0.0000,0.0310,-0.1540
6.1100,1,0.0000,0.0220,-0.1400
6.1207,1,0.0000,0.0150,-0.1270
6.1377,1,0.0000,0.0080,-0.1150
6.1784,1,0.0000,-0.0090,-0.0710
6.1901,1,0.0000,-0.0140,-0.0460
6.2123,1,0.0000,-0.0200,-0.0280
6.2171,1,0.0000,-0.0200,-0.0210
6.2257,1,0.0000,-0.0210,-0.0140
6.2478,1,0.0000,-0.0210,-0.0070
6.2525,1,0.0000,-0.0240,0.0010
6.2590,1,0.0000,-0.0280,0.0110
6.2947,1,0.0000,-0.0280,0.0260
6.3632,1,0.0000,0.3040,-0.2440
6.4315,1,0.0000,-0.0500,0.1080
6.4564,1,0.0000,-0.0470,0.0890
6.4902,1,0.0000,-0.0420,0.0830
6.5215,1,0.0000,-0.0330,0.0790
6.5373,1,0.0000,-0.0200,0.0750
6.5764,1,0.0000,-0.0060,0.0740
6.5830,1,0.0000,0.0040,0.0710
6.6189,1,0.0000,0.0170,0.0620
6.6537,1,0.0000,0.0320,0.0440
6.6601,1,0.0000,0.0450,0.0230
6.6917,1,0.0000,0.0600,-0.0010
6.7082,1,0.0000,0.0710,-0.0340
6.7305,1,0.0000,0.0810,-0.0580
6.7553,1,0.0000,0.0820,-0.0580
6.7775,1,0.0000,0.0980,-0.0650
6.8025,1,0.0000,0.1110,-0.0580
6.8099,1,0.0000,0.1180,-0.0540
6.8461,1,0.0000,0.1340,-0.0410
6.8706,1,0.0000,0.1370,-0.0340
6.8742,1,0.0000,0.1410,-0.0280
6.8795,1,0.0000,0.1430,-0.0220
6.9123,1,0.0000,0.1520,-0.0080
6.9879,1,0.0000,0.1380,0.0080
7.0129,1,0.0000,0.1090,0.0730
7.0323,1,0.0000,0.1030,0.0940
7.1573,1,0.0000,0.3150,0.3360
7.1815,1,0.0000,0.2190,0.4900
7.1999,1,0.0000,0.2110,0.5320
7.2266,1,0.0000,0.1950,0.5620
7.2306,1,0.0000,0.1900,0.5790
7.2325,1,0.0000,0.1850,0.5960
7.2692,1,0.0000,0.1730,0.6360
7.3040,1,0.0000,0.1640,0.6530
7.3136,1,0.0000,0.1540,0.6620
7.3479,1,0.0000,0.1450,0.6690
7.3527,1,0.0000,0.1370,0.6720
7.3609,1,0.0000,0.1350,0.6720
7.3737,1,0.0000,0.1330,0.6700
7.3966,1,0.0000,0.1320,0.6660
7.4007,1,0.0000,0.1320,0.6610
7.4040,1,0.0000,0.1270,0.6550
7.4509,1,0.0000,0.1140,0.6150
7.4836,1,0.0000,0.0970,0.5660
7.5116,1,0.0000,0.0840,0.5260
7.5387,1,0.0000,0.0750,0.4950
7.5534,1,0.0000,0.0710,0.4690
7.5902,1,0.0000,0.0610,0.4190
7.6259,1,0.0000,0.0480,0.3510
7.6545,1,0.0000,0.0440,0.3070
7.6703,1,0.0000,0.0280,0.2730
7.7423,1,0.0000,0.0330,0.2680
7.7713,1,0.0000,0.0600,0.2470
7.7951,1,0.0000,0.0650,0.2460
7.8760,1,0.0000,-0.1050,0.0370
7.8848,1,0.0000,-0.0870,-0.0060
7.9141,1,0.0000,-0.0760,-0.0030
7.9523,1,0.0000,-0.0530,-0.0060
7.9879,1,0.0000,-0.0320,-0.0140
7.9922,1,0.0000,-0.0170,-0.0230
8.0014,1,0.0000,-0.0110,-0.0240
8.0233,1,0.0000,-0.0040,-0.0250
8.0278,1,0.0000,0.0020,-0.0270
8.0379,1,0.0000,0.0080,-0.0300
8.0610,1,0.0000,0.0130,-0.0350
8.1419,1,0.0000,0.0180,-0.0410
8.2217,1,0.0000,0.0520,-0.1150
8.2289,1,0.0000,0.0650,-0.1650
8.2654,1,0.0000,0.0680,-0.1860
8.3236,1,0.0000,0.0740,-0.2100
8.3547,1,0.0000,0.0840,-0.2320
8.4237,1,0.0000,0.1220,-0.1890
8.4571,1,0.0000,0.1760,-0.1120
8.4681,1,0.0000,0.2020,-0.0710
8.4908,1,0.0000,0.2300,-0.0190
8.5144,1,0.0000,0.2730,0.0500
8.5343,1,0.0000,0.3010,0.0900
8.5381,1,0.0000,0.3200,0.1110
8.5496,1,0.0000,0.3360,0.1320
8.5713,1,0.0000,0.3480,0.1520
8.5828,1,0.0000,0.3640,0.1880
8.6177,1,0.0000,0.3600,0.2120
8.6798,1,0.0000,0.3010,0.2110
8.6854,1,0.0521,0.2300,0.2420
8.7080,1,0.3058,0.2170,0.2430
8.7149,1,0.6163,0.2080,0.2460
8.8030,1,2.0216,0.2190,0.2750
8.8818,1,4.8667,0.2260,0.2600
8.8967,1,7.8512,0.2610,0.1950
8.9222,1,10.7159,0.2670,0.1780
8.9930,1,13.6751,0.2910,0.1830
9.0206,1,15.5770,0.3050,0.0480
9.0404,1,16.0763,0.2450,-0.0350
9.0641,1,16.4072,0.1780,-0.1050
9.0968,1,16.6425,0.0840,-0.1540
9.1270,1,16.0361,0.0090,-0.1820
9.1447,1,15.2996,-0.0300,-0.1980
9.1778,1,14.3522,-0.0510,-0.2220
9.1903,1,13.9921,-0.0590,-0.2480
9.2170,1,13.5431,-0.0580,-0.2780
9.2574,1,13.5788,-0.0710,-0.3280
9.2846,1,13.5840,-0.0900,-0.3450
9.3192,1,13.5251,-0.1250,-0.3600
9.3271,1,12.7961,-0.1610,-0.3420
9.3378,1,12.1098,-0.1870,-0.3430
9.3579,1,11.5069,-0.2140,-0.3420
9.3636,1,11.0273,-0.2370,-0.3410
9.3966,1,10.5451,-0.2700,-0.3520
9.4248,1,9.9201,-0.2890,-0.3100
9.4402,1,9.3552,-0.2890,-0.2920
9.4691,1,8.6642,-0.2840,-0.2830
9.5385,1,7.7125,-0.2670,-0.2660
9.5570,1,6.9271,-0.2670,-0.2600
9.5791,1,6.2687,-0.2710,-0.2570
9.6152,1,5.5826,-0.2660,-0.2570
9.6600,1,5.1168,-0.2550,-0.2510
9.6754,1,4.9118,-0.2420,-0.2560
9.6827,1,4.7669,-0.2300,-0.2570
9.6939,1,4.6763,-0.2230,-0.2500
9.7176,1,4.5639,-0.2000,-0.2590
9.7467,1,4.4364,-0.1900,-0.2640
9.7647,1,4.2802,-0.1990,-0.2750
9.7850,1,4.1379,-0.2120,-0.2780
9.7978,1,4.0023,-0.2110,-0.2700
9.8147,1,3.9161,-0.2040,-0.2640
9.8208,1,3.8510,-0.1940,-0.2560
9.8320,1,3.8002,-0.1830,-0.2460
9.8483,1,3.7273,-0.1680,-0.2340
9.8564,1,3.6909,-0.1500,-0.2180
9.8832,1,3.5809,-0.1060,-0.1970
9.9193,1,3.5148,-0.0510,-0.1610
9.9369,1,3.4411,-0.0020,-0.1190
9.9668,1,3.3671,0.0210,-0.0860
9.9839,1,3.2260,0.0270,-0.0550
10.0108,1,3.0671,0.0230,-0.0320
10.0471,1,2.8317,-0.0000,-0.0270
10.0876,1,2.6418,-0.0330,-0.0360
10.0969,1,2.4898,-0.0490,-0.0370
10.1275,1,2.3127,-0.0510,-0.0340
10.1435,1,2.1875,-0.0450,-0.0290
10.1743,1,2.1324,-0.0330,-0.0270
10.2092,1,2.0143,-0.0050,-0.0280
10.2243,1,1.8405,0.0160,-0.0420
10.2520,1,1.7530,0.0210,-0.0510
10.2749,1,1.7291,0.0190,-0.0600
10.2935,1,1.6653,0.0150,-0.0660
10.3282,1,1.6252,0.0110,-0.0710
10.3518,1,1.6332,0.0070,-0.0750
10.4145,1,1.6171,0.3320,-0.4070
10.4884,1,1.5770,0.0510,-0.0870
10.4993,1,1.5609,0.0510,-0.0890
10.5348,1,1.5528,0.0410,-0.0990
10.5700,1,1.4960,0.0320,-0.0990
10.5807,1,1.4227,0.0250,-0.0950
10.6170,1,1.3247,0.0190,-0.0920
10.6355,1,1.2184,0.0130,-0.0900
10.6599,1,1.0952,0.0100,-0.0850
10.6876,1,1.0210,0.0070,-0.0800
10.7059,1,0.9880,-0.0040,-0.0790
10.7295,1,0.9547,-0.0130,-0.0760
10.7518,1,0.9298,-0.0240,-0.0730
10.8101,1,0.9131,-0.0200,-0.0690
10.8239,1,0.9047,-0.0160,-0.0650
10.9009,1,0.8798,-0.0030,-0.0350
10.9348,1,0.8547,-0.0010,-0.0410
10.9662,1,0.8380,-0.0020,-0.0470
10.9815,1,0.8380,-0.0080,-0.0500
11.0045,1,0.8129,-0.0140,-0.0520
11.0298,1,0.7961,-0.0170,-0.0560
11.0835,1,0.7877,-0.0170,-0.0590
11.0966,1,0.7709,-0.0150,-0.0590
11.1120,1,0.7542,-0.0120,-0.0580
11.1199,1,0.7457,-0.0100,-0.0580
11.1320,1,0.7290,-0.0090,-0.0580
11.1478,1,0.7290,-0.0080,-0.0590
11.1524,1,0.7290,-0.0100,-0.0610
11.2004,1,0.7205,-0.0160,-0.0650
11.2227,1,0.7121,-0.0160,-0.0690
11.2531,1,0.7037,-0.0170,-0.0710
11.2691,1,0.6953,-0.0170,-0.0720
11.2924,1,0.6868,-0.0140,-0.0720
11.3232,1,0.6784,-0.0130,-0.0730
11.3738,1,0.6700,-0.0120,-0.0720
11.4097,1,0.6615,-0.0110,-0.0710
11.4594,1,0.6446,-0.0110,-0.0730
11.4942,1,0.6192,-0.0070,-0.0720
11.5693,1,0.6023,-0.0020,-0.0680
11.5955,1,0.5769,-0.0010,-0.0620
11.6131,1,0.5514,-0.0020,-0.0590
11.6376,1,0.5344,-0.0030,-0.0550
11.6766,1,0.5259,-0.0030,-0.0530
11.6933,1,0.5174,-0.0050,-0.0490
11.7170,1,0.5089,-0.0100,-0.0410
11.7537,1,0.5004,-0.0110,-0.0340
11.8318,2,0.4919,0.2790,-0.3370
11.9017,2,0.4834,-0.0280,-0.0000
11.9237,2,0.4749,-0.0300,0.0020
11.9541,2,0.4749,-0.0290,0.0030
12.0235,2,0.4749,-0.0310,0.0010
12.0906,2,0.4749,-0.0330,0.0080
12.1055,2,0.4749,-0.0340,0.0140
12.1354,2,0.4749,-0.0370,0.0130
12.1545,2,0.4749,-0.0440,0.0100
12.1765,2,0.4749,-0.0470,0.0120
12.1829,2,0.4749,-0.0480,0.0140
12.2154,2,0.4749,-0.0460,0.0180
12.2586,2,0.4749,-0.0400,0.0250
12.2840,2,0.4749,-0.0300,0.0320
12.3062,2,0.4749,-0.0230,0.0390
12.3405,2,0.4749,-0.0160,0.0450
12.3467,2,0.4749,-0.0140,0.0480
12.3805,2,0.4749,-0.0130,0.0510
12.4166,2,0.4749,-0.0120,0.0560
12.4437,2,0.4749,-0.0120,0.0610
12.4635,2,0.4749,-0.0110,0.0630
12.4861,2,0.4749,-0.0120,0.0650
12.5142,2,0.4749,-0.0140,0.0660
12.5466,2,0.4749,-0.0130,0.0680
12.5827,2,0.4749,-0.0120,0.0700
12.6165,2,0.4749,-0.0100,0.0730
12.6241,2,0.4749,-0.0090,0.0730
12.6428,2,0.4749,-0.0080,0.0730
12.6496,2,0.4749,-0.0080,0.0730
12.6880,2,0.4749,-0.0090,0.0730
12.7049,2,0.4749,-0.0100,0.0730
12.7266,2,0.4749,-0.0110,0.0740
12.7382,2,0.4749,-0.0110,0.0740
12.7543,2,0.4749,-0.0110,0.0740
12.7592,2,0.4749,-0.0110,0.0740
12.7750,2,0.4749,-0.0110,0.0740
12.7884,2,0.4749,-0.0100,0.0730
12.7967,2,0.4749,-0.0090,0.0730
12.8096,2,0.4749,-0.0080,0.0740
12.8231,2,0.4749,-0.0060,0.0740
12.8406,2,0.4749,0.0300,0.0360
12.8654,2,0.4749,0.0310,0.0340
12.8910,2,0.4749,0.0310,0.0310
12.9098,2,0.4749,0.0310,0.0290
12.9344,2,0.4749,0.0330,0.0270
12.9654,2,0.4749,0.0340,0.0260
12.9783,2,0.4749,0.0350,0.0220
13.0292,2,0.4749,0.0370,0.0190
13.0552,2,0.4749,0.0410,0.0110
13.0815,2,0.4749,0.0410,0.0060
13.0957,2,0.4749,0.0400,0.0000
13.1237,2,0.4749,0.0400,-0.0030
13.1413,2,0.4749,0.0420,-0.0060
13.1699,2,0.4749,0.0440,-0.0070
13.2493,2,0.4749,0.0470,-0.0070
13.3015,2,0.4749,0.0470,-0.0130
13.3310,2,0.4749,0.0490,-0.0140
13.3498,2,0.4749,0.0510,-0.0140
13.3821,2,0.4749,0.0540,-0.0130
13.4125,2,0.4749,0.0550,-0.0150
13.4290,2,0.4749,0.0560,-0.0150
13.4567,2,0.4749,0.0560,-0.0150
13.4926,2,0.4749,0.0570,-0.0110
13.5359,2,0.4749,0.0580,-0.0080
13.5749,2,0.4749,0.0580,-0.0080
13.5900,2,0.4749,0.0580,-0.0100
13.6194,2,0.4749,0.0580,-0.0100
13.6529,2,0.4749,0.0570,-0.0120
13.6927,2,0.4749,0.0550,-0.0140
13.7201,2,0.4749,0.0550,-0.0140
13.7372,2,0.4749,0.0550,-0.0140
13.7427,2,0.4749,0.0550,-0.0140
13.7503,2,0.4749,0.0540,-0.0150
13.7774,2,0.4749,0.0530,-0.0150
13.7954,2,0.4749,0.0520,-0.0140
13.8213,2,0.4749,0.0520,-0.0130
13.8614,2,0.4749,0.0500,-0.0130
13.8676,2,0.4749,0.0490,-0.0160
13.8773,2,0.4749,0.0490,-0.0180
13.9004,2,0.4749,0.0480,-0.0190
13.9069,2,0.4749,0.0470,-0.0210
13.9109,2,0.4749,0.0460,-0.0210
13.9455,2,0.4749,0.0440,-0.0230
13.9772,2,0.4749,0.0430,-0.0230
13.9825,2,0.4749,0.0430,-0.0240
14.0235,2,0.4749,0.0420,-0.0250
14.0380,2,0.4749,0.0430,-0.0260
14.0674,2,0.4749,0.0440,-0.0280
14.0842,2,0.4749,0.0440,-0.0320
14.1181,2,0.4749,0.0430,-0.0330
14.1416,2,0.4749,0.0440,-0.0340
14.1787,2,0.4749,0.0440,-0.0360
14.1877,2,0.4749,0.0440,-0.0380
14.2183,2,0.4749,0.0450,-0.0360
14.2321,2,0.4749,0.0450,-0.0370
14.2815,2,0.4749,0.0470,-0.0330
14.3019,2,0.4749,0.0490,-0.0320
14.3325,2,0.4749,0.0500,-0.0330
14.3466,2,0.4749,0.0500,-0.0340
14.3806,2,0.4749,0.0490,-0.0370
14.3932,2,0.4749,0.0480,-0.0400
