Time,Reps,Angle,Velocity,X,Y
2.1994,0,0.0000,0.0000,0.5730,-0.4930
2.2266,0,0.0000,0.0000,-0.9440,-0.2960
2.2424,0,0.0000,0.0000,0.0000,0.0000
2.3056,0,0.0000,0.0000,-0.6450,0.1620
2.3228,0,0.0000,0.0000,0.0000,0.0000
2.3574,0,0.0000,0.0000,0.0000,0.0000
2.3822,0,0.0000,0.0000,0.0000,0.0000
2.4146,0,0.0000,0.0000,0.0000,0.0000
2.4258,0,0.0000,0.0000,0.0000,0.0000
2.4585,0,0.0000,0.0000,4.7370,-1.6840
2.4929,0,0.0000,0.0000,0.2960,0.0070
2.5214,0,0.0000,0.0000,0.0000,0.0000
2.5420,0,0.0000,0.0000,0.3620,0.1810
2.5755,0,0.0000,0.0000,2.8430,-0.3390
2.5853,0,0.0000,0.0000,1.1090,0.1000
2.6136,0,0.0000,0.0000,0.3770,-1.2900
2.6632,0,0.0000,0.0000,-1.1640,0.0310
2.6957,0,0.0000,0.0000,-1.5150,-0.6700
2.7027,0,0.0000,0.0000,0.0000,0.0000
2.7132,0,0.0000,0.0000,0.0000,0.0000
2.7275,0,0.0000,0.0000,-0.4500,-0.4710
2.7439,0,0.0000,0.0000,0.0380,0.2630
2.7478,0,0.0000,0.0000,-0.6580,1.8160
2.7596,0,0.0000,0.0000,0.0000,0.0000
2.7832,0,0.0000,0.0000,-0.6430,-0.0410
2.8221,0,0.0000,0.0000,0.0000,0.0000
2.8250,0,0.0000,0.0000,0.7760,0.4580
2.8281,0,0.0000,0.0000,-0.9620,0.1350
2.8402,0,0.0000,0.0000,0.0000,0.0000
2.8560,0,0.0000,0.0000,0.0000,0.0000
2.8648,0,0.0000,0.0000,0.0000,0.0000
2.8743,0,0.0000,0.0000,-1.4530,-3.1890
2.9007,0,0.0000,0.0000,-0.2950,-1.2450
2.9077,0,0.0000,0.0000,0.0000,0.0000
2.9553,0,0.0000,0.0000,6.3040,-11.5220
2.9990,0,0.0000,0.0000,-2.7650,-0.9410
3.0049,0,0.0000,0.0000,0.6150,0.8080
3.0487,0,0.0000,0.0000,0.1960,0.1200
3.0540,0,0.0000,0.0000,0.0000,0.0000
3.0709,0,0.0000,0.0000,0.3160,-0.6720
3.0935,0,0.0000,0.0000,0.0000,0.0000
3.1352,0,0.0000,0.0000,-0.2140,-0.2710
3.1499,0,0.0000,0.0000,-1.8150,-0.1850
3.2181,0,0.0000,0.0000,0.0000,0.0000
3.2974,0,0.0000,0.0000,0.5310,-2.6670
3.3109,0,0.0000,0.0000,2.8780,-4.7320
3.3354,0,0.0000,0.0000,-0.5030,-0.4880
3.3771,0,0.0000,0.0000,1.4910,-3.0750
3.3811,0,0.0000,0.0000,-2.9010,-4.5060
3.4156,0,0.0000,0.0000,0.0000,0.0000
3.4258,0,0.0000,0.0000,-0.3420,-0.7030
3.4651,0,0.0000,0.0000,0.8240,-0.5880
3.4725,0,0.0000,0.0000,0.0740,-0.9190
3.5027,0,0.0000,0.0000,-0.5740,-0.0450
3.5173,0,0.0000,0.0000,1.2240,-0.3950
3.5516,0,0.0000,0.0000,0.7010,-0.9940
