Time,Reps,Angle,Velocity,X,Y,Set
0.2038,0,0.3666,0.0000,-1.5320,7.6390,1
0.2349,0,0.3666,0.0000,-1.1060,3.1510,1
0.2540,0,0.3666,0.0000,-1.3460,3.2060,1
0.2760,0,0.3666,0.0000,-1.4680,3.4580,1
0.3113,0,0.3666,0.0000,-2.2400,6.9880,1
0.3447,0,0.3666,0.0000,-2.7380,9.0880,1
0.4137,0,0.3666,0.0000,-1.5670,3.4010,1
0.4388,0,0.3666,0.0000,-1.5750,3.0970,1
0.4658,0,0.3666,0.0000,-1.8850,3.8070,1
0.4828,0,0.3666,0.0000,-2.5190,5.2480,1
0.5066,0,0.3666,0.0000,-2.9820,6.1880,1
0.5329,0,0.3666,0.0000,-3.0510,6.1440,1
0.5416,0,0.3666,0.0000,-2.7430,5.4310,1
0.5632,0,0.3666,0.0000,-2.5820,5.1370,1
0.5691,0,0.3666,0.0000,-2.4510,4.8810,1
0.6010,0,0.3666,0.0000,-2.2200,4.2690,1
0.6109,0,0.3666,0.0000,-2.2350,4.2510,1
0.6393,0,0.3666,0.0000,-2.3440,4.5230,1
0.6680,0,0.3666,0.0000,-2.7450,5.5610,1
0.6783,0,0.3666,0.0000,-3.2220,6.7110,1
0.7010,0,0.3666,0.0000,-3.7470,7.6150,1
0.7060,0,0.3666,0.0000,-4.1570,8.4280,1
0.7130,0,0.3666,0.0000,-4.5820,9.1670,1
0.7373,0,0.3666,0.0000,-4.5880,8.8050,1
0.7489,0,0.3666,0.0000,-4.2670,7.0990,1
0.7727,0,0.3666,0.0000,-3.4940,4.3030,1
0.7964,0,0.3666,0.0000,-2.4340,1.4660,1
0.8160,0,0.3666,0.0000,-2.2900,0.5020,1
0.8524,0,0.3666,0.0000,-2.5400,-0.0100,1
0.8736,0,0.3666,0.0000,-3.0320,-0.2360,1
0.9234,0,0.3471,-0.0560,0.0000,0.0000,1
0.9709,0,0.2947,-0.2138,0.0000,0.0000,1
0.9940,0,0.2423,-0.5376,-1.9290,3.2020,1
1.0211,0,0.1966,-0.7781,-0.7260,0.8650,1
1.0367,0,0.1640,-1.0771,-0.6480,0.7090,1
1.0721,0,0.1962,-0.9470,-0.5490,0.8020,1
1.1050,0,0.2916,-0.5329,-0.4670,0.8710,1
1.1389,0,0.2981,-0.4495,-0.3890,1.0160,1
1.1697,0,0.3698,0.0413,-0.3320,1.0860,1
1.1841,0,0.5051,1.7021,-0.3740,1.3110,1
1.2075,0,0.7019,3.1487,-0.5860,1.8720,1
1.2413,0,1.0111,4.7524,-0.8640,1.8820,1
1.2706,0,1.2261,5.6700,-0.8510,1.5460,1
1.3032,0,1.4014,6.0250,-0.8920,1.1430,1
1.3122,0,1.7027,10.7658,-0.8730,1.0440,1
1.3319,0,1.9890,12.5131,-0.8500,0.9310,1
1.3354,0,2.2176,20.5010,-0.8100,0.8070,1
1.3448,0,2.3780,21.7326,-0.7620,0.6940,1
1.3792,0,2.4071,20.5486,-0.7840,0.7260,1
1.4040,0,2.4713,19.8718,-0.8660,0.8150,1
1.4334,0,2.5178,19.3282,-0.9180,0.8040,1
1.4373,0,2.5410,15.4271,-0.9580,0.7860,1
1.4498,0,2.5468,13.4127,-0.9710,0.7130,1
1.4667,0,2.5410,4.0391,-1.0190,0.6590,1
1.4736,0,2.5352,1.4805,-1.1100,0.6600,1
1.4832,0,2.5352,1.3599,-1.2170,0.7160,1
1.5012,0,2.5352,0.9890,-1.3050,0.8150,1
1.5060,0,2.5295,0.5928,-1.3530,0.9140,1
1.5402,0,2.5295,-0.2743,-1.2730,0.9450,1
1.5699,0,2.5237,-0.3681,-1.3010,0.9050,1
1.5875,0,2.5295,-0.2726,-1.6030,1.1610,1
1.6066,0,2.5353,-0.1085,-1.9440,1.4000,1
1.6103,0,2.5410,0.1157,-2.0460,1.5390,1
1.6244,0,2.5410,0.1157,-2.0950,1.6480,1
1.6384,0,2.5410,0.2864,-2.2300,1.8610,1
1.6445,0,2.5353,0.1522,-2.4570,2.1940,1
1.6783,0,2.5410,0.2045,-3.0240,2.9580,1
1.7141,0,2.5410,0.1577,-9.9170,9.7270,1
1.7366,0,2.5410,0.1145,0.0000,0.0000,1
1.7585,0,2.5410,-0.1097,0.0000,0.0000,1
1.7806,0,2.5410,-0.1097,0.0000,0.0000,1
1.8147,0,2.5410,-0.1097,0.0000,0.0000,1
1.8291,0,2.5468,0.0815,0.0000,0.0000,1
1.8652,0,2.5468,0.0570,0.0000,0.0000,1
1.8988,0,2.5468,0.0570,0.0000,0.0000,1
1.9104,0,2.5468,0.0570,0.0000,0.0000,1
1.9372,0,2.5468,0.0570,0.0000,0.0000,1
1.9559,0,2.5468,0.0570,0.0000,0.0000,1
1.9842,0,2.5468,0.0570,0.0000,0.0000,1
2.0027,0,2.5468,0.0000,0.0000,0.0000,1
2.0360,0,2.5468,0.0000,0.0000,0.0000,1
2.0653,0,2.5468,0.0000,0.0000,0.0000,1
2.0815,0,2.5468,0.0000,0.0000,0.0000,1
2.1133,0,2.5468,0.0000,0.0000,0.0000,1
2.1276,0,2.5468,0.0000,0.0000,0.0000,1
2.1572,0,2.5468,0.0000,0.0000,0.0000,1
2.1950,0,2.5468,0.0000,0.0000,0.0000,1
2.2077,0,2.5468,0.0000,0.0000,0.0000,1
2.2378,0,2.5468,0.0000,0.0000,0.0000,1
2.2559,0,2.5468,0.0000,0.0000,0.0000,1
2.2818,0,2.5468,0.0000,0.0000,0.0000,1
2.3189,0,2.5468,0.0000,0.0000,0.0000,1
2.3257,0,2.5468,0.0000,-18.8880,7.1140,1
2.3636,0,2.5468,0.0000,-3.5350,0.3580,1
2.3687,0,2.5468,0.0000,-3.2510,0.2150,1
2.3987,0,2.5468,0.0000,-3.1960,0.1880,1
2.4036,0,2.5468,0.0000,-3.1900,0.1700,1
2.4067,0,2.5468,0.0000,-3.0220,0.0870,1
2.4160,0,2.5468,0.0000,-2.8430,-0.0200,1
2.4398,0,2.5468,0.0000,-2.8020,-0.0800,1
2.4459,0,2.5468,0.0000,-2.8270,-0.0740,1
2.4502,0,2.5468,0.0000,-2.8130,-0.0510,1
2.4863,0,2.5526,0.0229,-2.3860,-0.2180,1
2.5621,0,2.5584,0.0337,-2.4010,-0.2780,1
2.6051,0,2.5641,0.0529,-1.7180,-0.3080,1
2.6102,0,2.5699,0.2136,-1.6870,-0.3270,1
2.6469,0,2.5757,0.2361,-1.4000,-0.4580,1
2.6794,0,2.5814,0.2615,-1.2700,-0.5490,1
2.6913,0,2.5872,0.3311,-1.2950,-0.5980,1
2.7230,0,2.5872,0.3082,-1.3190,-0.5940,1
2.7373,0,2.5872,0.2973,-1.2750,-0.5830,1
2.7646,0,2.5872,0.2782,-1.2540,-0.5340,1
2.7725,0,2.5872,0.1174,-1.2380,-0.4800,1
2.7942,0,2.5872,0.0949,-1.2350,-0.4660,1
2.8087,0,2.5872,0.0696,-1.2670,-0.4110,1
2.8473,0,2.5872,0.0000,-1.3750,-0.2660,1
2.8538,0,2.5872,0.0000,-1.5280,-0.0830,1
2.8898,0,2.5872,0.0000,-1.6020,0.0500,1
2.8985,0,2.5872,0.0000,-1.6980,0.2750,1
2.9103,0,2.5872,0.0000,-1.6690,0.3900,1
2.9298,0,2.5872,0.0000,-1.6760,0.5380,1
2.9324,0,2.5872,0.0000,-1.6660,0.6470,1
2.9444,0,2.5872,0.0000,-1.7040,0.8380,1
2.9711,0,2.5872,0.0000,-1.2770,1.7350,1
3.0023,0,2.5872,0.0000,0.3440,2.6880,1
3.0170,0,2.5872,0.0000,2.1570,2.9010,1
3.0389,0,2.5872,0.0000,3.7780,3.2760,1
3.0715,0,2.5872,0.0000,6.8600,4.8490,1
3.0771,0,2.5814,-0.1482,9.0890,5.5800,1
3.0808,0,2.5757,-0.3731,13.2180,8.0100,1
3.1068,0,2.5641,-0.4366,18.4210,11.1000,1
3.1168,0,2.5526,-0.6019,17.8660,10.0990,1
3.1452,0,2.5410,-0.6599,9.1920,4.6370,1
3.1695,0,2.5237,-0.7620,6.1680,2.8910,1
