Set,Time,Reps,Angle,Velocity,X,Y
1,0.2579,0,0.4710,0.0000,-1.6200,-0.4990
1,0.2956,0,0.4710,0.0000,-1.3620,-0.5810
1,0.3077,0,0.4710,0.0000,-3.8760,-0.7940
1,0.3329,0,0.4710,0.0000,-7.9570,-1.7010
1,0.3527,0,0.4710,0.0000,-5.0000,-1.3790
1,0.3858,0,0.4710,0.0000,-2.5320,0.0370
1,0.4002,0,0.4710,0.0000,-1.8200,-0.4290
1,0.4262,0,0.4710,0.0000,-2.2990,-1.2470
1,0.4605,0,0.4710,0.0000,-10.5590,-2.7940
1,0.4681,0,0.4710,0.0000,-1.9560,0.6350
1,0.4975,0,0.4710,0.0000,-3.8070,-1.3090
1,0.5123,0,0.4710,0.0000,-1.7010,0.0450
1,0.5422,0,0.4710,0.0000,-1.1040,0.0570
1,0.5606,0,0.4710,0.0000,-0.4490,-0.6170
1,0.6291,0,0.4775,0.0135,0.0000,0.0000
1,0.6996,0,0.4840,0.0267,-0.8450,-0.0720
1,0.7344,0,0.4969,0.0798,-3.3400,0.3460
1,0.7435,0,0.5099,0.2841,-1.2370,-0.6360
1,0.7552,0,0.5293,0.5211,-0.9320,-0.2900
1,0.7747,0,0.5552,0.7106,-0.8670,0.4340
1,0.8137,0,0.5810,0.8052,-1.0630,-0.0850
1,0.8231,0,0.6004,1.0862,-0.9360,-0.1790
1,0.8533,0,0.6197,1.1646,-0.6810,0.0670
1,0.8707,0,0.6326,1.2170,-1.7830,-0.6800
1,0.8983,0,0.6455,1.0794,-0.5960,-0.2780
1,0.9041,0,0.6520,1.0026,-0.0120,-1.8950
1,0.9339,0,0.6520,0.8131,-1.1920,-1.8040
1,0.9381,0,0.6520,0.7184,-1.2490,-2.5760
1,0.9412,0,0.6520,0.4239,-1.1210,-4.1540
1,0.9753,0,0.6520,0.3323,-0.6070,-0.3330
1,0.9842,0,0.6520,0.2268,-0.2990,-0.2650
1,1.0149,0,0.6520,0.1601,-0.6510,-0.4790
1,1.0324,0,0.6520,0.0000,-0.2660,0.0660
1,1.0538,0,0.6520,0.0000,-1.0620,-1.0170
1,1.0599,0,0.6520,0.0000,-1.3600,-1.6230
1,1.0646,0,0.6520,0.0000,-3.1180,-4.5760
1,1.0939,0,0.6520,0.0000,-3.5900,-1.7540
1,1.0989,0,0.6520,0.0000,-0.7960,-0.4970
1,1.1116,0,0.6520,0.0000,-0.8460,0.5650
1,1.1381,0,0.6520,0.0000,-0.7060,0.7400
1,1.1776,0,0.6520,0.0000,-0.6140,-1.9040
1,1.1835,0,0.6520,0.0000,-0.6410,-0.2770
1,1.2205,0,0.6520,0.0000,-2.1700,-1.8210
1,1.2256,0,0.6520,0.0000,-1.0580,-0.3190
1,1.2308,0,0.6520,0.0000,-1.6470,-0.2750
1,1.2384,0,0.6520,0.0000,-2.4940,-0.6730
1,1.2692,0,0.6520,0.0000,-1.3380,-0.7000
1,1.2754,0,0.6520,0.0000,-1.5240,-0.2710
1,1.3146,0,0.6520,0.0000,-1.8000,-0.4000
1,1.3298,0,0.6520,0.0000,-1.2070,0.0250
1,1.3810,0,0.6520,0.0000,0.0000,0.0000
1,1.3925,0,0.6520,0.0000,0.0000,0.0000
1,1.3970,0,0.6520,0.0000,0.0000,0.0000
1,1.4946,0,0.6520,0.0000,-0.6790,0.3980
1,1.5138,0,0.6520,0.0000,-0.6910,0.0270
1,1.5370,0,0.6520,0.0000,-0.6300,-0.0510
1,1.5654,0,0.6520,0.0000,-0.4140,-0.0220
1,1.5826,0,0.6520,0.0000,0.0000,0.0000
1,1.6154,0,0.6520,0.0000,0.0070,-0.1040
1,1.6518,0,0.6520,0.0000,-0.0210,-0.1370
1,1.6756,0,0.6520,0.0000,0.0820,-0.0930
1,1.7042,0,0.6520,0.0000,0.1140,-0.0960
1,1.7209,0,0.6520,0.0000,0.1320,-0.1150
1,1.7543,0,0.6520,0.0000,0.1550,-0.1390
1,1.7888,0,0.6520,0.0000,0.1600,-0.1630
1,1.8157,0,0.6520,0.0000,0.1670,-0.1700
1,1.8344,0,0.6520,0.0000,0.1580,-0.1720
1,1.8617,0,0.6520,0.0000,0.1480,-0.1690
1,1.8937,0,0.6520,0.0000,0.1360,-0.1630
1,1.9297,0,0.6520,0.0000,0.1100,-0.1570
1,1.9522,0,0.6520,0.0000,0.0830,-0.1230
1,1.9854,0,0.6520,0.0000,0.0660,-0.0740
1,2.0273,0,0.6520,0.0000,0.0350,-0.0430
1,2.0526,0,0.6520,0.0000,0.0020,-0.0220
1,2.0693,0,0.6520,0.0000,-0.0280,-0.0010
1,2.0968,0,0.6520,0.0000,-0.0420,0.0180
1,2.1027,0,0.6520,0.0000,-0.0470,0.0310
1,2.1240,0,0.6520,0.0000,-0.0430,0.0420
1,2.1357,0,0.6520,0.0000,-0.0420,0.0520
1,2.1394,0,0.6520,0.0000,-0.0400,0.0610
1,2.1451,0,0.6520,0.0000,-0.0370,0.0700
1,2.1567,0,0.6520,0.0000,-0.0350,0.0790
1,2.1725,0,0.6520,0.0000,-0.0350,0.0840
1,2.1805,0,0.6520,0.0000,-0.0350,0.0870
1,2.1905,0,0.6520,0.0000,-0.0340,0.0900
1,2.2147,0,0.6520,0.0000,-0.0340,0.0890
1,2.2441,0,0.6520,0.0000,-0.0410,0.0750
