Max,13.7104
Set,Time,Reps,Angle,Velocity,X,Y
2,0.1974,0,0.0000,0.0000,0.5030,-0.1140
2,0.2074,0,0.0000,0.0000,1.1190,-0.1910
2,0.2132,0,0.0000,0.0000,0.4920,-0.7560
2,0.2267,0,0.0000,0.0000,0.5440,-0.1020
2,0.2526,0,0.0000,0.0000,1.2230,-0.1460
2,0.2727,0,0.0000,0.0000,0.4490,0.4570
2,0.2933,0,0.0000,0.0000,0.0350,-0.3970
2,0.3201,0,0.0000,0.0000,0.5850,-0.4600
2,0.3297,0,0.0000,0.0000,1.5120,-0.1730
2,0.3430,0,0.0000,0.0000,2.2830,0.1300
2,0.3556,0,0.0000,0.0000,3.3390,-0.6780
2,0.3628,0,0.0000,0.0000,3.3730,-5.9330
2,0.3773,0,0.0000,0.0000,1.3210,-2.0510
2,0.4004,0,0.0000,0.0000,1.1730,-0.4800
2,0.4104,0,0.0000,0.0000,3.0000,-2.0570
2,0.4368,0,0.0000,0.0000,0.9460,0.5330
2,0.4710,0,0.0000,0.0000,0.7420,-0.4980
2,0.4912,0,0.0000,0.0000,2.6080,-0.0450
2,0.5163,0,0.0000,0.0000,0.8360,-0.2070
2,0.5433,0,0.0000,0.0000,0.5190,-0.2810
2,0.5622,0,0.0000,0.0000,1.3170,0.0350
2,0.5927,0,0.0000,0.0000,0.6490,-0.1330
2,0.6150,0,0.0000,0.0000,1.7080,0.2920
2,0.6495,0,0.0000,0.0000,1.0000,0.4620
2,0.6619,0,0.0000,0.0000,0.7230,0.0350
2,0.6864,0,0.0000,0.0000,1.4840,0.2150
2,0.7258,0,0.0000,0.0000,0.0240,0.5780
2,0.7442,0,0.0000,0.0000,1.4430,-0.9190
2,0.7726,0,0.0000,0.0000,1.2200,0.5610
2,0.7938,0,0.0000,0.0000,0.4150,-0.0230
2,0.8186,0,0.0000,0.0000,1.9750,-0.1130
2,0.8336,0,0.0000,0.0000,1.5490,-0.3900
2,0.8660,0,0.0000,0.0000,2.6530,-0.8270
2,0.8982,0,0.0000,0.0000,1.8920,-1.0180
2,0.9139,0,0.0000,0.0000,0.7780,0.3070
2,0.9414,0,0.0000,0.0000,0.7100,-0.5870
2,0.9668,0,0.0000,0.0000,1.2330,1.1520
2,0.9827,0,0.0000,0.0000,1.5760,0.5000
2,1.0176,0,0.0000,0.0000,0.7100,-0.3560
2,1.0291,0,0.0000,0.0000,1.5280,-0.2610
2,1.1024,0,0.0000,0.0000,0.0000,0.0000
2,1.1447,0,0.0000,0.0000,0.0000,0.0000
2,1.1500,0,0.0000,0.0000,0.0000,0.0000
2,1.1830,0,0.0000,0.0000,0.0000,0.0000
2,1.2305,0,0.0000,0.0000,0.0180,0.7150
2,1.2536,0,0.0000,0.0000,0.4690,0.3440
2,1.2691,0,0.0000,0.0000,1.3280,0.2620
2,1.3089,0,0.0000,0.0000,1.7270,0.2380
2,1.3128,0,0.0000,0.0000,1.8010,-0.2560
2,1.3156,0,0.0000,0.0000,1.5320,0.2600
2,1.3506,0,0.0000,0.0000,2.3070,-0.3240
2,1.3632,0,0.0000,0.0000,0.7640,-1.1000
2,1.3885,0,0.0188,0.1056,1.9890,0.6890
2,1.3925,0,0.0375,0.7886,2.0730,0.5510
2,1.3961,0,0.1179,3.9875,1.4830,-0.1570
2,1.4105,0,0.2704,5.4963,3.2740,-1.7860
2,1.4349,0,0.5334,7.0355,0.0000,0.0000
2,1.4398,0,0.9683,19.7088,3.3900,0.6340
2,1.4730,0,1.4777,21.9001,2.8570,-0.0510
2,1.4901,0,2.0618,26.6704,1.4330,0.0840
2,1.5148,0,2.7266,29.8371,0.6910,-0.4380
2,1.5561,0,3.3547,28.8104,1.1220,0.0750
2,1.5629,0,3.9304,39.4437,2.9080,0.1190
2,1.6036,0,4.3956,39.5366,10.5520,-0.9400
2,1.6093,0,4.6889,34.1598,1.7810,0.2420
2,1.6607,0,4.9223,32.6177,2.1300,0.7930
2,1.6655,0,5.0625,31.9690,0.5410,0.0390
2,1.6733,0,5.1218,29.1930,1.4710,-1.2640
2,1.7164,0,5.1563,27.1352,1.4620,-0.5080
2,1.7212,0,5.1710,15.4358,0.4930,0.7180
2,1.7707,0,5.1858,13.8461,0.8000,0.3980
2,1.7752,0,5.1956,6.8629,0.5390,-0.2900
2,1.7890,0,5.1858,6.1122,1.3360,0.6110
2,1.8146,0,5.1710,1.8028,0.6250,0.1680
2,1.8800,0,5.1167,0.6103,0.0150,0.0260
2,1.9174,0,5.0172,0.1166,0.8030,0.0020
2,1.9246,0,4.8975,-2.7183,1.0190,0.0880
2,1.9517,0,4.7214,-3.6899,0.0000,0.0000
2,1.9548,0,4.5138,-13.3530,0.7380,0.1190
2,1.9906,0,4.2047,-14.4873,0.2050,1.4230
2,2.0053,0,3.8571,-17.7852,0.5410,0.3100
2,2.0300,0,3.5325,-19.5383,0.8110,0.1360
2,2.0739,0,3.2030,-20.2317,3.5910,-1.7860
2,2.0774,0,2.8769,-31.3630,1.2430,-0.8230
2,2.1120,0,2.4921,-32.0219,0.2380,0.0000
2,2.1574,0,2.1022,-23.8991,0.6120,0.6620
2,2.2138,0,1.7524,-23.5488,0.0000,0.0000
2,2.2468,0,1.4583,-21.4401,0.0000,0.0000
2,2.2501,0,1.1808,-31.8144,0.0000,0.0000
2,2.2578,0,0.9472,-35.0638,0.0000,0.0000
2,2.2819,0,0.7182,-22.8986,0.0000,0.0000
2,2.3653,0,0.5736,-21.5582,-0.8580,0.6170
2,2.3853,0,0.4704,-21.0701,0.0000,0.0000
2,2.4080,0,0.4087,-20.5726,0.0000,0.0000
2,2.4526,0,0.3222,-19.5782,8.0700,-2.7190
2,2.4658,1,0.2358,-8.2680,0.0000,0.0000
2,2.5001,1,0.1554,-4.2802,0.0000,0.0000
2,2.5430,1,0.0873,-3.1491,0.0000,0.0000
2,2.5582,1,0.0499,-3.2516,0.0000,0.0000
2,2.5939,1,0.0125,-2.6626,0.0000,0.0000
2,2.6309,1,0.0000,-2.3228,19.4190,-10.0230
2,2.6383,1,0.0000,-2.0458,0.0000,0.0000
2,2.6811,1,0.0000,-1.1098,0.0000,0.0000
2,2.6868,1,0.0000,-0.7755,0.0000,0.0000
2,2.6962,1,0.0000,-0.5482,0.0000,0.0000
2,2.7294,1,0.0000,-0.1983,0.0000,0.0000
2,2.7324,1,0.0000,-0.0483,3.5630,-0.7610
2,2.7347,1,0.0000,0.0000,5.5070,-2.5330
2,2.7772,1,0.2170,0.7282,0.0000,0.0000
2,2.7867,1,0.6573,7.3719,6.8590,-2.8210
2,2.8327,1,1.2957,9.3551,6.3280,-1.6260
2,2.8642,1,2.0484,12.7679,4.9920,-1.3310
2,2.8676,1,2.9117,49.0978,0.0000,0.0000
2,2.8696,1,3.7751,110.2488,5.8550,-1.6070
2,2.8781,1,4.6901,125.6197,0.0000,0.0000
2,2.9030,1,5.4391,129.1967,0.0000,0.0000
2,2.9066,1,5.9741,143.8667,0.0000,0.0000
2,2.9497,1,6.3474,143.1193,3.2520,-0.3030
2,2.9553,1,6.6155,146.5148,1.9050,-0.8430
2,2.9828,1,6.7730,111.0046,12.9570,-5.4520
2,2.9955,1,6.9259,51.5763,0.0000,0.0000
2,3.0063,1,7.0362,37.6642,11.0250,-3.2030
2,3.0357,1,7.0955,33.6474,7.1520,-6.6760
2,3.0388,1,7.1321,14.0000,7.6870,-2.7970
2,3.0423,1,7.1321,12.7642,0.0000,0.0000
2,3.0506,1,7.1184,5.7202,0.0000,0.0000
2,3.0849,1,7.0728,4.7103,0.0000,0.0000
