Max,0.0000
Target,0.0000
Set,Time,Reps,Angle,Velocity,X,Y
1,0.2353,0,0.0000,0.0000,0.0000,0.0000
1,0.2582,0,0.0000,0.0000,0.0000,0.0000
1,0.2698,0,0.0000,0.0000,0.0000,0.0000
1,0.2848,0,0.0000,0.0000,0.0000,0.0000
1,0.2928,0,0.0000,0.0000,0.0000,0.0000
1,0.3120,0,0.0000,0.0000,0.0000,0.0000
1,0.3206,0,0.0000,0.0000,0.0000,0.0000
1,0.3270,0,0.0000,0.0000,0.0000,0.0000
1,0.4138,0,0.0000,0.0000,-1.9860,0.3000
1,0.4471,0,0.0000,0.0000,-1.9970,0.2540
1,0.4556,0,0.0000,0.0000,-1.9740,0.2600
1,0.4652,0,0.0000,0.0000,-2.3430,0.2940
1,0.4925,0,0.0000,0.0000,-1.8680,0.2680
1,0.5193,0,0.0000,0.0000,-2.1220,0.2460
1,0.5337,0,0.0000,0.0000,-2.0700,0.3620
1,0.5571,0,0.0000,0.0000,-1.9380,0.3730
1,0.5687,0,0.0000,0.0000,-2.3720,0.3890
1,0.5801,0,0.0000,0.0000,-2.5260,0.4810
1,0.5921,0,0.0000,0.0000,-2.5030,0.5490
1,0.6036,0,0.0000,0.0000,-2.2940,0.4270
1,0.6147,0,0.0000,0.0000,-2.2970,0.2120
1,0.6330,0,0.0000,0.0000,-1.9110,0.2010
1,0.6603,0,0.0000,0.0000,-2.0970,0.3670
1,0.6836,0,0.0000,0.0000,-2.3840,0.3860
1,0.7154,0,0.0000,0.0000,-2.2860,0.1970
1,0.7186,0,0.0000,0.0000,-2.2310,0.2150
1,0.7301,0,0.0000,0.0000,-1.9970,0.3370
1,0.7408,0,0.0000,0.0000,-1.8860,0.3500
1,0.7564,0,0.0000,0.0000,-2.2430,0.3090
1,0.7688,0,0.0000,0.0000,-2.0440,0.2000
1,0.7751,0,0.0000,0.0000,-2.2150,0.2720
1,0.7863,0,0.0000,0.0000,-2.3590,0.3950
1,0.8092,0,0.0000,0.0000,-2.2720,0.4140
1,0.8357,0,0.0000,0.0000,-2.1750,0.4360
1,0.8691,0,0.0000,0.0000,-2.6820,0.3800
1,0.8948,0,0.0000,0.0000,-2.3540,0.4990
1,0.9129,0,0.0000,0.0000,-1.9530,0.3700
1,0.9391,0,0.0000,0.0000,-1.8560,0.3120
1,1.0085,0,0.0000,0.0000,0.0000,0.0000
1,1.1210,0,0.0000,0.0000,-2.1620,0.5030
1,1.1219,0,0.0000,0.0000,-2.2300,0.5310
1,1.1465,0,0.0000,0.0000,-2.2980,0.3130
1,1.1651,0,0.0000,0.0000,-1.8880,0.4040
1,1.1888,0,0.0000,0.0000,-1.7910,0.3780
1,1.2131,0,0.0000,0.0000,-1.7590,0.2760
1,1.2621,0,0.0000,0.0000,-1.9070,0.2990
1,1.2876,0,0.0000,0.0000,-1.9980,0.5520
1,1.3026,0,0.0000,0.0000,-2.0770,0.3740
1,1.3142,0,0.0000,0.0000,-1.9990,0.2790
1,1.3262,0,0.0000,0.0000,-2.1370,0.3420
1,1.3371,0,0.0000,0.0000,-2.0580,0.5360
1,1.3488,0,0.0000,0.0000,-1.9920,0.4740
1,1.3608,0,0.0000,0.0000,-2.1800,0.4260
1,1.3716,0,0.0000,0.0000,-2.2190,0.3980
1,1.4003,0,0.0000,0.0000,-2.2920,0.4210
1,1.4176,0,0.0000,0.0000,-2.0080,0.2380
1,1.4405,0,0.0000,0.0000,-1.9210,0.3120
1,1.4695,0,0.0000,0.0000,-2.2560,0.3480
1,1.4755,0,0.0000,0.0000,-1.7140,0.2000
1,1.4869,0,0.0000,0.0000,-1.9600,0.3520
1,1.5023,0,0.0000,0.0000,-2.1860,0.4060
1,1.5138,0,0.0000,0.0000,-1.9130,0.2080
1,1.5213,0,0.0000,0.0000,-2.0810,0.3500
1,1.5573,0,0.0000,0.0000,-1.7150,0.3420
1,1.5864,0,0.0000,0.0000,-2.1400,0.3120
1,1.6014,0,0.0000,0.0000,-2.1270,0.2840
1,1.6127,0,0.0000,0.0000,-1.9980,0.2910
1,1.6252,0,0.0000,0.0000,-2.2320,0.2990
1,1.6367,0,0.0000,0.0000,-2.0730,0.2740
1,1.6472,0,0.0000,0.0000,-2.0000,0.3460
1,1.6678,0,0.0000,0.0000,-1.9980,0.2340
1,1.6708,0,0.0000,0.0000,-2.1970,0.2840
1,1.6828,0,0.0000,0.0000,-2.0780,0.4170
1,1.7278,0,0.0000,0.0000,-1.7400,0.3080
1,1.7623,0,0.0000,0.0000,-1.9130,0.3350
1,1.7877,0,0.0000,0.0000,-2.2250,0.5760
1,1.8080,0,0.0000,0.0000,-1.8590,0.3550
1,1.8308,0,0.0000,0.0000,-2.1840,0.3430
1,1.8766,0,0.0000,0.0000,-1.8970,0.1580
1,1.9109,0,0.0000,0.0000,-1.9180,0.3930
1,1.9340,0,0.0000,0.0000,-1.9840,0.4030
1,2.0055,0,0.0000,0.0000,0.0000,0.0000
1,2.0723,0,0.0000,0.0000,-2.4640,0.3820
1,2.0964,0,0.0000,0.0000,-1.9080,0.2450
1,2.1178,0,0.0000,0.0000,-2.5640,0.3180
1,2.1407,0,0.0000,0.0000,-2.8080,0.4030
1,2.1637,0,0.0000,0.0000,-2.3270,0.2860
1,2.2035,0,0.0000,0.0000,-2.7560,0.2750
1,2.2207,0,0.0000,0.0000,-2.4360,0.2670
1,2.2439,0,0.0000,0.0000,-2.4340,0.0600
1,2.2684,0,0.0000,0.0000,-2.6750,0.1100
1,2.2900,0,0.0000,0.0000,-2.4540,0.3180
1,2.3126,0,0.0000,0.0000,-2.4540,0.1680
1,2.3471,0,0.0000,0.0000,-2.6020,0.0910
1,2.3708,0,0.0000,0.0000,-2.2110,0.2790
1,2.3929,0,0.0000,0.0000,-2.9470,0.5670
1,2.4158,0,0.0000,0.0000,-2.5840,0.2690
1,2.4442,0,0.0000,0.0000,-2.1040,0.3620
1,2.4705,0,0.0000,0.0000,-2.4710,0.3920
1,2.4968,0,0.0000,0.0000,-2.1960,0.2860
1,2.5313,0,0.0000,0.0000,-2.5470,0.3740
1,2.5503,0,0.0000,0.0000,-2.1650,0.2200
1,2.5615,0,0.0000,0.0000,-2.0080,0.2700
1,2.5654,0,0.0000,0.0000,-2.3370,0.3560
1,2.5770,0,0.0000,0.0000,-2.4890,0.2710
1,2.5920,0,0.0000,0.0000,-2.4190,0.2530
1,2.6016,0,0.0000,0.0000,-2.5130,0.2440
1,2.6417,0,0.0000,0.0000,-2.2330,0.2730
1,2.6573,0,0.0000,0.0000,-2.3330,0.3090
1,2.6724,0,0.0000,0.0000,-2.3210,0.3350
1,2.6833,0,0.0000,0.0000,-2.3070,0.2570
1,2.7256,0,0.0000,0.0000,-2.1210,0.1020
1,2.7378,0,0.0000,0.0000,-2.2110,0.2810
