Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	14.84	[0, 12.59, 14.84, 4.99, 2.99, 2.25, 1.76, 1.46, 1.26, 1.1, 0.98, 0.51]	[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[0, 27.69, 32.63, 21.93, 19.75, 19.75, 19.33, 19.33, 19.33, 19.33, 19.33, 11.3]
2	8.27	[0, 0.41, 0.41, 0.2, 0.14, 2.07, 1.65, 1.38, 1.18, 1.03, 0.76]	[0, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]	[0, 0.9, 0.9, 0.9, 0.9, 18.19, 18.19, 18.19, 18.1, 18.1, 15.0]
3	9.44	[0, 0.73, 0.73, 0.36, 3.15, 2.16, 1.73, 1.45, 1.24, 1.08, 0.92]	[0, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]	[0, 1.61, 1.61, 1.61, 20.76, 18.98, 19.07, 19.07, 19.07, 19.07, 18.19]
4	11.61	[0, 0.21, 11.05, 5.53, 3.8, 2.9, 2.32, 1.93, 1.65, 1.45, 1.29, 0.64]	[0, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146]	[0, 0.46, 24.3, 24.3, 25.07, 25.47, 25.53, 25.47, 25.47, 25.47, 25.47, 14.12]
5	11.37	[0, 0.27, 11.12, 5.65, 3.78, 2.83, 2.27, 1.89, 0.96]	[0, 170, 171, 172, 173, 174, 175, 176, 177]	[0, 0.59, 24.45, 24.85, 24.92, 24.92, 24.92, 25.0, 14.8]
6	0.14	[0, 0.07, 0.07, 0.04, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.0, -0.13, 0.07, 0.04, 0.02, -0.07, -0.04]	[0, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206]	[0, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.31, 0.31, 0.31, 0.15, 0.15, 0.15, 0.15, 0.0, -0.29, 0.15, 0.15, 0.15, -0.59, -0.44]
7	0.14	[0, 0.14, -0.27, -0.14, -0.09, -0.07, -0.05, -0.06, -0.05, -0.04, -0.04, -0.03, -0.03, -0.03, -0.03, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.0, -0.41, -0.41, -0.2, -0.14, -0.1, -0.08, -0.07, -0.06, -0.05, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.05, -0.05, -0.04, -0.04, -0.03, -0.03, -0.03, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.0, -0.2, -0.13, -0.07, -0.02, -0.01, 0.0, 0.0, 0.07, 0.07, 0.04, 0.02, 0.02, 0.01]	[0, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371]	[0, 0.31, -0.59, -0.59, -0.59, -0.59, -0.59, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.75, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -1.21, -1.21, -1.36, -1.54, -1.69, -1.69, -1.85, -1.85, -1.85, -1.69, -1.69, -1.54, -1.36, -1.36, -1.21, -1.06, -1.06, -0.9, -0.9, -0.9, -1.06, -1.06, -1.06, -1.21, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.36, -1.21, -1.21, -1.21, -1.06, -1.06, -0.75, -0.75, -0.75, -0.59, -0.44, -0.29, -0.29, -0.13, -0.13, 0.0, 0.0, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15]
X(Time)	Y(Angle)
0	0
1	0
2	12.59
3	14.84
4	9.97
5	8.98
6	8.98
7	8.79
8	8.79
9	8.79
10	8.79
11	8.79
12	5.14
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0.41
43	0.41
44	0.41
45	0.41
46	8.27
47	8.27
48	8.27
49	8.23
50	8.23
51	6.82
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0.73
80	0.73
81	0.73
82	9.44
83	8.63
84	8.67
85	8.67
86	8.67
87	8.67
88	8.27
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0.21
137	11.05
138	11.05
139	11.4
140	11.58
141	11.61
142	11.58
143	11.58
144	11.58
145	11.58
146	6.42
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0.27
171	11.12
172	11.3
173	11.33
174	11.33
175	11.33
176	11.37
177	6.73
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0.07
188	0.07
189	0.07
190	0.07
191	0.07
192	0.07
193	0.14
194	0.14
195	0.14
196	0.07
197	0.07
198	0.07
199	0.07
200	0.0
201	-0.13
202	0.07
203	0.07
204	0.07
205	-0.27
206	-0.2
207	0
208	0
209	0
210	0
211	0
212	0
213	0.14
214	-0.27
215	-0.27
216	-0.27
217	-0.27
218	-0.27
219	-0.34
220	-0.34
221	-0.34
222	-0.34
223	-0.34
224	-0.34
225	-0.34
226	-0.34
227	-0.34
228	-0.34
229	-0.34
230	-0.34
231	-0.34
232	-0.34
233	-0.34
234	-0.34
235	-0.34
236	-0.34
237	-0.34
238	-0.34
239	-0.34
240	-0.34
241	-0.34
242	-0.34
243	-0.34
244	-0.34
245	-0.34
246	-0.34
247	-0.34
248	-0.34
249	-0.34
250	-0.34
251	-0.34
252	-0.34
253	-0.41
254	-0.41
255	-0.41
256	-0.41
257	-0.41
258	-0.41
259	-0.41
260	-0.41
261	-0.41
262	-0.41
263	-0.41
264	-0.41
265	-0.41
266	-0.41
267	-0.41
268	-0.41
269	-0.41
270	-0.41
271	-0.41
272	-0.41
273	-0.41
274	-0.41
275	-0.41
276	-0.41
277	-0.41
278	-0.41
279	-0.41
280	-0.41
281	-0.41
282	-0.41
283	-0.41
284	-0.41
285	-0.41
286	-0.41
287	-0.41
288	-0.41
289	-0.41
290	-0.41
291	-0.41
292	-0.41
293	-0.41
294	-0.41
295	-0.41
296	-0.41
297	-0.41
298	-0.41
299	-0.41
300	-0.41
301	-0.41
302	-0.41
303	-0.41
304	-0.41
305	-0.41
306	-0.55
307	-0.55
308	-0.62
309	-0.7
310	-0.77
311	-0.77
312	-0.84
313	-0.84
314	-0.84
315	-0.77
316	-0.77
317	-0.7
318	-0.62
319	-0.62
320	-0.55
321	-0.48
322	-0.48
323	-0.41
324	-0.41
325	-0.41
326	-0.48
327	-0.48
328	-0.48
329	-0.55
330	-0.62
331	-0.62
332	-0.62
333	-0.62
334	-0.62
335	-0.62
336	-0.62
337	-0.62
338	-0.62
339	-0.62
340	-0.62
341	-0.62
342	-0.62
343	-0.62
344	-0.62
345	-0.62
346	-0.62
347	-0.62
348	-0.62
349	-0.62
350	-0.55
351	-0.55
352	-0.55
353	-0.48
354	-0.48
355	-0.34
356	-0.34
357	-0.34
358	-0.27
359	-0.2
360	-0.13
361	-0.13
362	-0.06
363	-0.06
364	0.0
365	0.0
366	0.07
367	0.07
368	0.07
369	0.07
370	0.07
371	0.07
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
