Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	16.96	[0, 0.0, 13.42, 16.66, 8.45, 5.65, 4.18, 0.43, 0.1, 0.04, 0.03, 0.05, 0.03, 0.02, 0.02]	[0, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]	[0, 0.0, 29.51, 36.64, 37.17, 37.3, 36.81, 4.77, 1.34, 0.55, 0.55, 1.08, 0.55, 0.55, 0.55]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	13.42
20	16.66
21	16.9
22	16.96
23	16.74
24	2.17
25	0.61
26	0.25
27	0.25
28	0.49
29	0.25
30	0.25
31	0.25
32	0.61
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	7.77
58	15.52
59	16.11
60	16.16
61	16.25
62	16.3
63	2.28
64	0.61
65	0.43
66	0.37
67	0.25
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	-0.44
92	0
93	0
94	0
95	0
96	-0.5
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
