Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=21.6	Max. Angle Reached2
1	7.05	[0, 7.05, 7.05, 3.51, 2.34, 1.75, 1.4, 1.16, 1.0, 0.87, 0.21, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.02, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.47, 0.47, 0.23, 0.16, 0.12, 0.09, 0.08, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	[0, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 196, 200]	[0, 15.5, 15.5, 15.44, 15.44, 15.44, 15.44, 15.35, 15.35, 15.35, 4.07, 1.5, 1.5, 1.5, 1.5, 1.39, 1.39, 1.39, 1.5, 1.5, 1.5, 1.5, 1.39, 1.39, 1.39, 1.25, 1.39, 1.39, 1.25, 1.25, 1.14, 1.25, 1.25, 1.25, 1.25, 1.14, 1.14, 1.14, 1.14, 1.14, 1.14, 1.14, 1.14, 1.14, 1.03, 1.03, 1.14, 1.14, 1.14, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03, 1.03]	14.45
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	7.05	14.45
50	7.05	14.45
51	7.02	13.23
52	7.02	13.56
53	7.02	13.56
54	7.02	13.56
55	6.98	12.72
56	6.98	12.72
57	6.98	12.55
58	1.85	5.55
59	0.68	5.55
60	0.68	5.55
61	0.68	4.67
62	0.68	4.67
63	0.63	4.67
64	0.63	4.8
65	0.63	4.8
66	0.68	4.8
67	0.68	4.8
68	0.68	4.8
69	0.68	4.8
70	0.63	4.8
71	0.63	4.8
72	0.63	4.8
73	0.57	4.8
74	0.63	4.8
75	0.63	4.8
76	0.57	4.8
77	0.57	4.8
78	0.52	4.8
79	0.57	4.8
80	0.57	4.67
81	0.57	4.67
82	0.57	4.67
83	0.52	4.53
84	0.52	4.53
85	0.52	4.8
86	0.52	4.8
87	0.52	4.8
88	0.52	4.93
89	0.52	4.93
90	0.52	4.93
91	0.52	4.93
92	0.47	4.93
93	0.47	4.93
94	0.52	4.93
95	0.52	4.93
96	0.52	4.93
97	0.47	4.93
98	0.47	4.93
99	0.47	4.93
100	0.47	5.06
101	0.47	5.06
102	0.47	5.06
103	0.47	5.06
104	0.47	4.93
105	0.47	4.93
106	0.47	4.93
107	0.47	4.93
108	0.47	4.93
109	0.47	4.93
110	0.47	4.93
111	0.47	4.93
112	0.47	4.93
113	0.47	4.93
114	0.47	5.19
115	0.47	5.19
116	0.47	5.31
117	0.47	5.31
118	0.47	5.31
119	0.47	5.31
120	0.47	5.31
121	0.47	5.43
122	0.47	5.43
123	0.47	5.43
124	0.47	5.43
125	0.47	5.43
126	0.47	5.55
127	0.47	5.55
128	0.47	5.55
129	0.47	5.55
130	0.47	5.55
131	0.47	5.55
132	0.47	5.55
133	0.47	5.67
134	0.47	5.67
135	0.47	5.67
136	0.47	5.67
137	0.47	5.67
138	0.47	5.67
139	0.47	5.67
140	0.47	5.67
141	0.47	5.67
142	0.47	5.67
143	0.47	5.67
144	0.47	5.67
145	0.47	5.67
146	0.47	5.67
147	0.47	5.55
148	0.47	5.55
149	0.47	5.55
150	0.47	5.55
151	0.47	5.55
152	0.47	5.55
153	0.47	5.55
154	0.47	5.55
155	0.47	5.55
156	0.47	5.55
157	0.47	5.55
158	0.47	5.55
159	0.47	5.55
160	0.47	5.55
161	0.47	5.55
162	0.47	5.55
163	0.47	5.55
164	0.47	5.55
165	0.47	5.55
166	0.47	5.55
167	0.47	5.55
168	0.47	5.55
169	0.47	5.55
170	0.47	5.55
171	0.47	5.55
172	0.47	5.55
173	0.47	5.55
174	0.47	5.55
175	0.47	5.55
176	0.47	5.55
177	0.47	5.55
178	0.47	5.55
179	0.47	5.55
180	0.47	5.55
181	0.47	5.55
182	0.47	5.55
183	0.47	5.55
184	0.47	5.55
185	0.47	5.55
186	0.47	5.55
187	0.47	5.55
188	0.47	5.43
189	0.47	5.43
190	0.47	5.31
191	0.47	5.31
192	0.47	5.31
193	0	0
194	0	0
195	0	0
196	0.47	5.31
197	0	0
198	0	0
199	0	0
200	0.47	5.31
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
