Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	6.69	[0, 5.17, 5.96, 3.19, 2.23, 1.66, 1.33, 1.03, 0.88, 0.1, 0.07, 0.06, 0.06]	[0, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[0, 11.37, 13.11, 14.05, 14.71, 14.62, 14.62, 13.55, 13.55, 1.74, 1.41, 1.41, 1.41]	2.67
2	7.02	[0, 4.89, 6.87, 3.51, 2.34, 1.75, 1.4, 1.17, 1.0, 0.42, 0.38, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03]	[0, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]	[0, 10.75, 15.11, 15.44, 15.44, 15.37, 15.44, 15.44, 15.44, 7.48, 7.48, 1.63, 1.63, 1.63, 1.63, 1.52, 1.52, 1.52, 1.52, 1.52, 1.41]	3.17
3	7.06	[0, 6.42, 6.69, 3.48, 2.34, 1.75, 1.4, 1.17, 1.0, 0.88, 0.15, 0.09, 0.08, 0.06, 0.05, 0.05, 0.03, 0.03, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.05, 0.04, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.09, 0.09, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.01]	[0, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135]	[0, 14.12, 14.71, 15.28, 15.44, 15.44, 15.44, 15.44, 15.44, 15.53, 2.97, 1.96, 1.85, 1.52, 1.52, 1.52, 0.95, 0.95, 1.63, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 3.5, 3.5, 1.85, 1.85, 1.74, 1.74, 1.74, 1.74, 1.74, 1.74, 2.31, 1.85, 1.74, 1.74, 1.74, 1.74, 9.85, 9.85, 1.85, 1.74, 1.74, 1.74, 1.74, 1.74, 2.07, 2.07, 2.07, 2.07, 2.07]	10.52
4	6.87	[0, 6.23, 6.65, 3.44, 2.29, 1.72, 1.37, 0.32]	[0, 161, 162, 163, 164, 165, 166, 167]	[0, 13.7, 14.62, 15.11, 15.11, 15.11, 15.11, 4.16]	0
5	1.25	[0, 0.89, 1.0, 0.62, 0.31, 0.16, 0.12, 0.11]	[0, 171, 172, 173, 174, 175, 176, 177]	[0, 1.96, 2.2, 2.75, 2.07, 1.41, 1.28, 1.41]	0.42
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	5.17	2.67
11	5.96	2.67
12	6.39	2.67
13	6.69	0.65
14	6.65	0.38
15	6.65	0.38
16	6.16	0.38
17	6.16	1.34
18	0.79	1.34
19	0.64	1.34
20	0.64	1.34
21	0.64	1.34
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	4.89	0.92
41	6.87	3.17
42	7.02	2.89
43	7.02	2.89
44	6.99	2.89
45	7.02	2.89
46	7.02	2.89
47	7.02	2.89
48	3.4	1.59
49	3.4	1.59
50	0.74	1.34
51	0.74	1.34
52	0.74	1.18
53	0.74	-1.84
54	0.69	-1.84
55	0.69	-1.84
56	0.69	-1.36
57	0.69	-1.25
58	0.69	-1.25
59	0.64	-0.92
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	6.42	2.21
73	6.69	2.21
74	6.95	2.21
75	7.02	2.21
76	7.02	2.21
77	7.02	2.21
78	7.02	2.21
79	7.02	2.21
80	7.06	2.21
81	1.35	2.21
82	0.89	1.83
83	0.84	1.83
84	0.69	2.94
85	0.69	2.94
86	0.69	2.94
87	0.43	6.41
88	0.43	6.03
89	0.74	6.03
90	0.79	6.03
91	0.79	6.03
92	0.79	6.03
93	0.79	10.27
94	0.79	10.45
95	0.79	10.45
96	0.79	10.45
97	0.79	10.52
98	0.79	10.52
99	0.79	10.48
100	0.79	10.38
101	0.79	10.17
102	0.79	10.17
103	0.79	9.92
104	0.79	9.92
105	0.79	9.92
106	0.79	9.38
107	1.59	9.38
108	1.59	9.38
109	0.84	9.38
110	0.84	9.38
111	0.79	9.38
112	0.79	9.38
113	0.79	7.63
114	0.79	7.27
115	0.79	7.27
116	0.79	7.27
117	1.05	7.27
118	0.84	7.27
119	0.79	7.27
120	0.79	8.1
121	0.79	8.1
122	0.79	8.1
123	4.48	8.1
124	4.48	8.1
125	0.84	8.1
126	0.79	6.49
127	0.79	6.41
128	0.79	6.41
129	0.79	6.41
130	0.79	4.74
131	0.94	6.54
132	0.94	6.2
133	0.94	5.55
134	0.94	5.28
135	0.94	5.28
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	6.23	-0.96
162	6.65	-1.29
163	6.87	-2.6
164	6.87	-2.6
165	6.87	-2.6
166	6.87	-2.6
167	1.89	-4.55
168	0	0
169	0	0
170	0	0
171	0.89	-0.73
172	1.0	-0.73
173	1.25	0.34
174	0.94	0.42
175	0.64	-0.82
176	0.58	-0.54
177	0.64	-0.45
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
