Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	16.24	[0, -0.7, 16.0, 8.12, 5.41, 4.06, 3.25, 2.71, 1.44, 1.26, 1.12, 0.08, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.04]	[0, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]	[0, -1.54, 35.19, 35.71, 35.71, 35.71, 35.71, 35.71, 22.17, 22.17, 22.17, 1.83, 1.36, 1.36, 1.36, 1.36, 1.36, 1.36, 1.36, 1.36, 1.36, 1.61]	18.18
2	17.16	[0, 0.34, 16.9, 8.55, 5.7, 4.29, 3.43, 2.86, 2.41, 2.11, 0.53, 0.08, 0.02, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11, 0.11, 0.06]	[0, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85]	[0, 0.75, 37.17, 37.63, 37.63, 37.69, 37.74, 37.74, 37.1, 37.1, 10.53, 1.72, 0.37, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24, 0.24, 0.24]	22.89
3	16.8	[0, 0.39, 16.72, 8.36, 5.6, 4.2, 3.36, 0.2, 0.09, 0.06, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.01, 0.01, -0.01, -0.01]	[0, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117]	[0, 0.86, 36.77, 36.77, 36.95, 36.95, 36.95, 2.66, 1.36, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.37, 0.37, -0.51, -0.51]	56.02
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	-0.7	2.09
35	16.0	2.09
36	16.24	2.09
37	16.24	8.42
38	16.24	9.44
39	16.24	9.51
40	16.24	9.51
41	10.08	9.51
42	10.08	9.51
43	10.08	9.14
44	0.83	9.14
45	0.62	9.14
46	0.62	9.14
47	0.62	9.14
48	0.62	9.14
49	0.62	16.03
50	0.62	16.03
51	0.62	16.03
52	0.62	18.18
53	0.62	18.18
54	0.73	18.18
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0.34	2.83
64	16.9	2.42
65	17.11	2.42
66	17.11	2.42
67	17.14	5.13
68	17.16	5.13
69	17.16	5.13
70	16.87	6.8
71	16.87	8.07
72	4.79	9.78
73	0.78	8.55
74	0.17	8.55
75	0.06	8.55
76	0.0	11.3
77	0.0	11.3
78	0.0	11.3
79	0.0	15.19
80	0.0	15.19
81	0.0	15.19
82	0.0	15.19
83	0.11	15.19
84	0.11	22.89
85	0.11	22.89
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0.39	31.83
98	16.72	31.83
99	16.72	34.55
100	16.8	34.6
101	16.8	35.42
102	16.8	36.3
103	1.21	36.3
104	0.62	36.3
105	0.45	38.79
106	0.45	41.25
107	0.45	46.19
108	0.45	45.43
109	0.45	45.43
110	0.45	43.81
111	0.45	43.81
112	0.45	43.81
113	0.45	47.46
114	0.17	47.46
115	0.17	47.46
116	-0.23	56.02
117	-0.23	55.21
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
