Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	8.12	[0, 7.44, 7.96, 3.98, 2.65, 2.03, 1.62, 1.21]	[0, 11, 12, 13, 14, 15, 16, 17]	[0, 16.36, 17.5, 17.5, 17.5, 17.86, 17.86, 15.92]	5.73
2	12.45	[0, 12.16, 12.32, 6.22, 4.15, 3.11, 2.49, 2.07, 1.78]	[0, 34, 35, 36, 37, 38, 39, 40, 41]	[0, 26.74, 27.09, 27.38, 27.38, 27.38, 27.38, 27.38, 27.38]	12.13
3	20.38	[0, 2.18, 19.74, 10.07, 6.78, 5.09, 4.08, 3.4, 2.91, 1.99, 0.08, 0.02, 0.02, 0.01]	[0, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]	[0, 4.79, 43.41, 44.29, 44.71, 44.82, 44.82, 44.82, 44.82, 35.08, 1.65, 0.42, 0.42, 0.15]	20.62
4	18.77	[0, 0.19, 18.53, 9.38, 6.2, 4.65, 0.37, 0.1, 0.07]	[0, 80, 81, 82, 83, 84, 85, 86, 87]	[0, 0.42, 40.75, 41.28, 40.88, 40.93, 4.05, 1.39, 1.1]	9.25
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	7.44	5.39
12	7.96	5.31
13	7.96	5.64
14	7.96	5.64
15	8.12	5.64
16	8.12	5.73
17	7.24	4.21
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	12.16	11.3
35	12.32	11.24
36	12.45	11.56
37	12.45	11.82
38	12.45	11.97
39	12.45	12.13
40	12.45	12.08
41	12.45	12.08
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	2.18	-4.0
54	19.74	20.62
55	20.14	20.62
56	20.33	20.62
57	20.38	18.82
58	20.38	18.65
59	20.38	18.65
60	20.38	18.49
61	15.95	18.49
62	0.75	18.49
63	0.19	-2.91
64	0.19	-1.69
65	0.07	-0.53
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0.19	9.25
81	18.53	9.25
82	18.77	9.25
83	18.59	8.35
84	18.61	8.32
85	1.84	8.32
86	0.63	8.32
87	0.5	8.32
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
