Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	23.34	[0, 3.27, 22.36, 11.47, 7.74, 5.81, 4.67, 3.89, 3.27]	[0, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 7.19, 49.17, 50.47, 51.09, 51.13, 51.33, 51.33, 50.36]	15.94
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	3.27	1.03
4	22.36	15.27
5	22.95	15.65
6	23.23	15.94
7	23.25	15.89
8	23.34	15.89
9	23.34	15.89
10	22.9	15.33
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	22.55	[0, 21.5, 22.22, 11.28, 7.36, 5.54, 4.43, 3.61]	[0, 3, 4, 5, 6, 7, 8, 9]	[0, 47.28, 48.86, 49.59, 48.56, 48.71, 48.75, 47.61]	25.13
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	21.5	0.0
4	22.22	0.0
5	22.55	25.13
6	22.08	24.45
7	22.15	24.45
8	22.17	24.48
9	21.65	23.56
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
