Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	9.54	[0, 9.03, 9.19, 4.73, 3.15, 2.38, 1.91, 1.59, 1.36, 1.19, 1.06, 0.55]	[0, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]	[0, 19.86, 20.21, 20.8, 20.8, 20.98, 20.98, 20.98, 20.98, 20.98, 20.98, 12.05]	11.19
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	9.03	11.19
28	9.19	11.19
29	9.46	10.36
30	9.46	10.36
31	9.54	10.36
32	9.54	10.36
33	9.54	10.36
34	9.54	10.36
35	9.54	10.36
36	9.54	10.36
37	5.48	10.36
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
