Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	12.95	[0, 0.0, 12.83, 12.83, 6.47, 4.32, 3.24, 2.59, 2.16, 1.85, 1.62, 1.44, 1.29, 0.78]	[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[0, 0.0, 28.21, 28.21, 28.48, 28.48, 28.48, 28.48, 28.48, 28.41, 28.48, 28.48, 28.48, 18.8]	13.86
2	8.16	[0, 7.45, 7.86, 4.03, 2.68, 2.04, 1.63, 0.35, 0.13, 0.08]	[0, 25, 26, 27, 28, 29, 30, 31, 32, 33]	[0, 16.38, 17.29, 17.7, 17.7, 17.94, 17.94, 4.62, 1.98, 1.36]	6.94
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0.0	13.86
5	12.83	12.66
6	12.83	12.9
7	12.95	12.56
8	12.95	12.71
9	12.95	12.8
10	12.95	12.8
11	12.95	12.85
12	12.92	12.85
13	12.95	12.85
14	12.95	12.94
15	12.95	13.04
16	8.55	6.91
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	7.45	6.94
26	7.86	6.58
27	8.05	6.58
28	8.05	6.58
29	8.16	6.43
30	8.16	6.43
31	2.1	-2.2
32	0.9	-2.6
33	0.62	-2.6
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
