Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	18.3	[0, -0.78, -0.78, 9.02, 6.08, 4.58, 3.66, 3.03, 2.6, 0.17, -0.05, -0.05, -0.05]	[0, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[0, -1.72, -1.72, 39.67, 40.13, 40.24, 40.24, 40.0, 40.0, 2.9, -0.99, -1.12, -1.12]
2	23.27	[0, 1.55, 1.55, 0.78, 7.67, 5.75, 4.65, 3.86, 3.32, 2.91, 1.31, 0.13, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.19, 0.13, 0.07, 0.04, 0.03, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06, -0.06, -0.03, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.0, -0.06, -0.06, -0.03, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.0, -0.06, -0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197]	[0, 3.41, 3.41, 3.41, 50.58, 50.58, 51.09, 50.98, 51.13, 51.17, 25.95, 2.9, 0.81, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.29, 0.29, 0.29, 0.29, 0.29, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, -0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3	21.91	[0, 21.68, 21.68, 10.96, 7.3, 0.58, 0.15, 0.04, -0.05]	[0, 259, 260, 261, 262, 263, 264, 265, 266]	[0, 47.68, 47.68, 48.18, 48.18, 5.08, 1.63, 0.55, -0.84]
4	21.91	[0, 20.96, 21.91, 10.96, 7.3, 5.48, 1.14, 0.14, 0.12, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.13, 0.13, 0.07, 0.04, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.06, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06, -0.06, -0.03, 0.0, 0.0, 0.0, 0.06, 0.31, 0.15, 0.1]	[0, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378]	[0, 46.09, 48.18, 48.18, 48.18, 48.18, 12.58, 1.89, 1.89, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.29, 0.29, 0.29, 0.29, 0.29, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13, -0.13, -0.13, 0.0, 0.0, 0.0, 0.13, 0.68, 0.68, 0.68]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	-0.78
14	-0.78
15	18.04
16	18.25
17	18.3
18	18.3
19	18.19
20	18.19
21	1.32
22	-0.45
23	-0.51
24	-0.51
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1.55
42	1.55
43	1.55
44	23.0
45	23.0
46	23.23
47	23.18
48	23.25
49	23.27
50	11.8
51	1.32
52	0.37
53	0.31
54	0.31
55	0.31
56	0.31
57	0.31
58	0.31
59	0.31
60	0.25
61	0.25
62	0.25
63	0.25
64	0.25
65	0.25
66	0.25
67	0.25
68	0.19
69	0.19
70	0.19
71	0.19
72	0.19
73	0.19
74	0.19
75	0.19
76	0.19
77	0.19
78	0.19
79	0.19
80	0.19
81	0.19
82	0.13
83	0.13
84	0.13
85	0.13
86	0.13
87	0.06
88	0.06
89	0.06
90	0.06
91	0.06
92	0.06
93	0.06
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	-0.06
100	-0.06
101	-0.06
102	-0.06
103	-0.06
104	-0.06
105	-0.06
106	-0.06
107	-0.06
108	-0.06
109	-0.06
110	-0.06
111	-0.06
112	-0.06
113	-0.06
114	-0.06
115	-0.06
116	-0.06
117	-0.06
118	-0.06
119	-0.06
120	-0.06
121	-0.06
122	-0.06
123	-0.06
124	-0.06
125	-0.06
126	-0.06
127	-0.06
128	-0.06
129	0.0
130	0.0
131	0.0
132	0.0
133	0.0
134	0.0
135	0.0
136	0.0
137	0.0
138	0.0
139	0.0
140	0.0
141	0.0
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.0
161	0.0
162	0.0
163	0.0
164	0.0
165	0.0
166	0.0
167	0.0
168	0.0
169	0.0
170	0.0
171	0.0
172	0.0
173	0.0
174	0.0
175	0.0
176	0.0
177	0.0
178	0.0
179	0.0
180	0.0
181	0.0
182	0.0
183	0.0
184	0.0
185	0.0
186	0.0
187	0.0
188	0.0
189	0.0
190	0.0
191	0.0
192	0.0
193	0.0
194	0.0
195	0.0
196	0.0
197	0.0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	21.68
260	21.68
261	21.91
262	21.91
263	2.31
264	0.74
265	0.25
266	-0.38
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	20.96
278	21.91
279	21.91
280	21.91
281	21.91
282	5.72
283	0.86
284	0.86
285	0.25
286	0.25
287	0.25
288	0.25
289	0.25
290	0.25
291	0.25
292	0.25
293	0.25
294	0.25
295	0.25
296	0.25
297	0.25
298	0.19
299	0.19
300	0.19
301	0.19
302	0.19
303	0.19
304	0.19
305	0.19
306	0.19
307	0.19
308	0.19
309	0.19
310	0.19
311	0.19
312	0.19
313	0.13
314	0.13
315	0.13
316	0.13
317	0.13
318	0.06
319	0.06
320	0.06
321	0.06
322	0.06
323	0.06
324	0.06
325	0.06
326	0.06
327	0.06
328	0.06
329	0.06
330	0.0
331	0.0
332	0.0
333	0.0
334	0.0
335	0.0
336	0.0
337	0.0
338	0.0
339	0.0
340	0.0
341	0.0
342	0.0
343	0.0
344	0.0
345	0.0
346	0.0
347	0.0
348	0.0
349	0.0
350	0.0
351	0.0
352	0.0
353	0.0
354	0.0
355	0.0
356	0.0
357	0.0
358	0.0
359	0.0
360	0.0
361	0.0
362	0.0
363	0.0
364	0.0
365	0.0
366	0.0
367	0.0
368	0.0
369	-0.06
370	-0.06
371	-0.06
372	0.0
373	0.0
374	0.0
375	0.06
376	0.31
377	0.31
378	0.31
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	17.9
391	21.53
392	21.53
393	22.01
394	22.15
395	20.33
396	20.33
397	0.19
398	0.13
399	0.06
400	0.06
401	0.06
402	0.13
403	0.06
404	0.06
405	0.06
406	0.06
407	0.13
408	0.13
409	0.13
410	0.13
411	0.13
412	0.13
413	0.13
414	0.13
415	0.13
416	0.13
417	0.13
418	0.13
419	0.13
420	0.13
421	0.13
422	0.13
423	0.13
424	0.13
425	0.13
426	0.13
427	0.13
428	0.13
429	0.13
430	0.13
431	0.13
432	0.19
433	0.19
434	0.19
435	0.25
436	0.25
437	0.25
438	0.25
439	0.25
440	0.25
441	0.25
442	0.25
443	0.25
444	0.19
445	0.19
446	0.19
447	0.19
448	0.19
449	0.19
450	0.19
451	0.19
452	0.19
453	0.19
454	0.19
455	0.19
456	0.19
457	0.19
458	0.19
459	0.19
460	0.19
461	0.19
462	0.19
463	0.19
464	0.19
465	0.19
466	0.19
467	0.19
468	0.19
469	0.19
470	0.19
471	0.19
472	0.19
473	0.19
474	0.19
475	0.19
476	0.19
477	0.19
478	0.19
479	0.19
480	0.13
481	0.13
482	0.13
483	0.0
484	-0.06
485	-0.06
486	-0.06
487	-0.06
488	-0.06
489	-0.13
490	-0.13
491	-0.13
492	-0.13
493	-0.13
494	-0.13
495	-0.13
496	-0.13
497	-0.06
498	-0.06
499	-0.06
500	-0.06
501	0.06
502	0.13
503	0.19
504	0.25
505	0.25
506	0.25
507	0.31
508	0.31
509	0.37
510	0.37
511	0.37
512	0.43
513	0.43
514	0.43
515	0.43
516	0.43
517	0.43
518	0.43
519	0.43
520	0.43
521	0.43
522	0.43
523	0.43
524	0.43
525	0.43
526	0.43
527	0.43
528	0.43
529	0.43
530	0.43
531	0.43
532	0.43
533	0.43
534	0.43
535	0.43
536	0.37
537	0.37
538	0.37
539	0.37
540	0.37
541	0.37
542	0.37
543	0.37
544	0.37
545	0.37
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
