Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=6.35
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	8.37
8	9.45
9	9.66
10	9.73
11	9.73
12	0.58
13	0.87
14	0.7
15	0.58
16	0.58
17	0.58
18	0.58
19	0.58
20	0.58
21	0.58
22	0.58
23	0.58
24	0.58
25	0.58
26	0.58
27	0.58
28	0.58
29	0.58
30	0.58
31	0.58
32	0.58
33	0.58
34	0.58
35	0.58
36	0.58
37	0.58
38	0.58
39	0.58
40	0.58
41	0.58
42	0.58
43	0.58
44	0.58
45	0.58
46	0.58
47	0.58
48	0.58
49	0.58
50	0.58
51	0.58
52	0.58
53	0.58
54	0.58
55	0.58
56	0.58
57	0.58
58	0.58
59	0
60	0
61	0
62	0
63	0.58
64	0
65	0
66	0
67	0
68	0.58
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
