Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	7.17	[0, 5.78, 6.8, 3.53, 2.39, 1.79, 1.43, 1.2, 1.02, 0.47, 0.1, 0.09, 0.04, 0.03, 0.03]	[0, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]	[0, 12.71, 14.95, 15.53, 15.77, 15.77, 15.77, 15.77, 15.77, 8.2, 2.07, 2.07, 0.92, 0.92, 0.92]	6.47
2	7.42	[0, 7.42, 7.42, 3.58, 2.41, 1.8, 1.44, 1.22, 1.04, 0.24, 0.09, 0.08]	[0, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]	[0, 16.32, 16.32, 15.77, 15.92, 15.86, 15.86, 16.08, 16.08, 4.22, 1.72, 1.72]	5.01
3	7.17	[0, 4.7, 6.65, 3.53, 2.39, 1.79, 1.43, 1.2, 1.02, 0.9, 0.8, 0.32, 0.08, 0.04, 0.03, 0.03]	[0, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107]	[0, 10.34, 14.62, 15.53, 15.77, 15.77, 15.77, 15.77, 15.77, 15.77, 15.77, 7.06, 1.96, 1.17, 0.92, 0.92]	8.15
4	10.4	[0, 9.06, 9.06, 5.01, 3.41, 2.55, 2.04, 1.72, 1.49, 1.17, 0.19, 0.07, 0.07, 0.03]	[0, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131]	[0, 19.92, 19.92, 22.04, 22.52, 22.45, 22.45, 22.67, 22.87, 20.52, 3.69, 1.61, 1.61, 0.92]	8.73
5	10.66	[0, 7.21, 9.43, 5.04, 3.36, 2.58, 2.07, 1.73, 1.5, 1.33, 0.45, 0.11, 0.06]	[0, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156]	[0, 15.86, 20.74, 22.17, 22.17, 22.67, 22.8, 22.8, 23.16, 23.44, 8.95, 2.4, 1.5]	8.87
6	11.8	[0, 10.4, 10.4, 5.68, 3.84, 2.9, 2.33, 1.95, 1.67, 1.48, 1.31, 1.18, 1.07, 0.95, 0.14, 0.06, 0.04, 0.03, 0.03, 0.03, 0.03]	[0, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187]	[0, 22.87, 22.87, 25.0, 25.33, 25.55, 25.62, 25.69, 25.75, 25.95, 25.88, 25.88, 25.82, 25.14, 3.91, 1.83, 1.17, 1.17, 1.17, 1.17, 1.17]	6.77
7	13.44	[0, 12.22, 12.22, 6.62, 4.48, 3.36, 2.67, 2.21, 1.9, 1.66, 1.48, 0.63, 0.57, 0.08, 0.06, 0.06]	[0, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214]	[0, 26.87, 26.87, 29.12, 29.56, 29.56, 29.38, 29.18, 29.18, 29.18, 29.25, 13.81, 13.81, 2.18, 1.72, 1.72]	14.38
8	11.77	[0, 9.36, 10.62, 5.51, 3.68, 2.84, 2.31, 1.94, 1.67, 1.47]	[0, 225, 226, 227, 228, 229, 230, 231, 232, 233]	[0, 20.58, 23.35, 24.26, 24.26, 25.0, 25.42, 25.55, 25.75, 25.88]	11.61
9	13.13	[0, 8.72, 12.34, 6.41, 4.38, 3.28, 2.6, 2.16, 1.86, 1.63, 1.33]	[0, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256]	[0, 19.18, 27.14, 28.17, 28.87, 28.87, 28.54, 28.54, 28.61, 28.61, 26.35]	12.66
10	14.31	[0, 1.24, 1.24, 6.91, 4.7, 3.52, 2.82, 2.35, 2.03, 1.79, 1.58, 1.42, 1.29, 0.13, 0.11, 0.1]	[0, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285]	[0, 2.73, 2.73, 30.37, 30.99, 30.99, 30.99, 30.99, 31.29, 31.47, 31.29, 31.29, 31.29, 3.36, 3.17, 3.17]	10.89
11	14.81	[0, 12.95, 12.95, 6.47, 4.82, 3.61, 2.89, 2.41, 2.06, 1.81, 1.64, 1.48, 1.35]	[0, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309]	[0, 28.48, 28.48, 28.48, 31.78, 31.78, 31.78, 31.78, 31.78, 31.78, 32.39, 32.57, 32.57]	14.73
12	6.8	[0, 6.12, 6.58, 3.4]	[0, 317, 318, 319]	[0, 13.46, 14.47, 14.95]	3.54
13	14.06	[0, 1.34, 1.34, 6.75, 4.64, 3.51, 2.81, 2.34, 2.01, 1.75, 1.55, 1.39]	[0, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342]	[0, 2.95, 2.95, 29.69, 30.61, 30.88, 30.92, 30.92, 30.88, 30.81, 30.68, 30.61]	7.72
14	14.26	[0, 0.78, 0.78, 7.02, 4.68, 3.56, 2.85, 2.38, 2.04, 1.77, 1.56, 1.4, 1.26, 1.14, 1.06]	[0, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380]	[0, 1.72, 1.72, 30.88, 30.88, 31.36, 31.36, 31.36, 31.36, 31.12, 30.81, 30.81, 30.44, 30.19, 30.19]	10.4
15	15.11	[0, 12.87, 12.87, 7.21, 4.87, 3.67, 2.96, 2.48, 2.13, 1.87, 1.67, 1.51, 1.37]	[0, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409]	[0, 28.3, 28.3, 31.71, 32.15, 32.33, 32.5, 32.68, 32.85, 32.92, 33.05, 33.23, 33.23]	9.12
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	5.78	-3.88
18	6.8	-3.88
19	7.06	6.47
20	7.17	6.34
21	7.17	6.34
22	7.17	6.08
23	7.17	6.01
24	7.17	6.01
25	3.73	-0.27
26	0.94	-0.27
27	0.94	-1.33
28	0.42	-1.33
29	0.42	-0.7
30	0.42	-1.01
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	7.42	-0.66
55	7.42	-0.66
56	7.17	5.01
57	7.24	5.01
58	7.21	5.01
59	7.21	5.01
60	7.31	4.94
61	7.31	4.87
62	1.92	-3.63
63	0.78	-3.63
64	0.78	-3.63
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	4.7	-0.45
94	6.65	8.01
95	7.06	8.01
96	7.17	7.74
97	7.17	7.74
98	7.17	7.74
99	7.17	7.81
100	7.17	7.81
101	7.17	8.15
102	7.17	8.15
103	3.21	0.77
104	0.89	0.77
105	0.53	5.33
106	0.42	5.33
107	0.42	5.33
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	9.06	1.2
120	9.06	1.2
121	10.02	8.73
122	10.24	8.73
123	10.21	8.42
124	10.21	8.42
125	10.31	8.05
126	10.4	7.93
127	9.33	7.93
128	1.68	-2.55
129	0.73	3.07
130	0.73	3.07
131	0.42	3.85
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	7.21	-1.68
146	9.43	-1.68
147	10.08	8.21
148	10.08	8.21
149	10.31	8.37
150	10.37	8.15
151	10.37	8.15
152	10.53	8.87
153	10.66	8.71
154	4.07	-2.27
155	1.09	-2.27
156	0.68	1.53
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	10.4	0.46
169	10.4	0.46
170	11.37	6.77
171	11.52	6.77
172	11.62	6.77
173	11.65	6.77
174	11.68	6.77
175	11.71	6.61
176	11.8	6.61
177	11.77	6.39
178	11.77	6.39
179	11.74	6.55
180	11.43	6.55
181	1.78	6.55
182	0.83	2.7
183	0.53	2.7
184	0.53	2.7
185	0.53	2.7
186	0.53	4.11
187	0.53	4.8
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	12.22	14.38
201	12.22	13.35
202	13.24	13.3
203	13.44	13.3
204	13.44	13.3
205	13.36	13.5
206	13.27	13.04
207	13.27	13.04
208	13.27	13.19
209	13.3	13.19
210	6.28	2.37
211	6.28	-0.74
212	0.99	-0.74
213	0.78	0.3
214	0.78	-0.34
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	9.36	3.58
226	10.62	11.61
227	11.03	11.08
228	11.03	11.08
229	11.37	11.3
230	11.56	11.08
231	11.62	11.08
232	11.71	11.08
233	11.77	10.81
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	8.72	1.46
248	12.34	12.18
249	12.81	12.42
250	13.13	12.66
251	13.13	12.32
252	12.98	12.32
253	12.98	12.08
254	13.01	12.13
255	13.01	11.78
256	11.98	11.78
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	1.24	10.89
272	1.24	10.89
273	13.81	10.89
274	14.09	10.89
275	14.09	10.89
276	14.09	10.85
277	14.09	10.85
278	14.23	10.85
279	14.31	10.62
280	14.23	10.53
281	14.23	10.53
282	14.23	-5.15
283	1.53	-5.15
284	1.44	0.11
285	1.44	-2.94
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	12.95	10.66
299	12.95	14.73
300	12.95	14.73
301	14.45	14.18
302	14.45	13.9
303	14.45	13.9
304	14.45	13.9
305	14.45	13.9
306	14.45	13.28
307	14.73	13.28
308	14.81	14.14
309	14.81	14.04
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	6.12	3.54
318	6.58	3.26
319	6.8	3.12
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	0	0
327	0	0
328	0	0
329	0	0
330	0	0
331	0	0
332	1.34	-4.58
333	1.34	5.68
334	13.5	5.68
335	13.92	5.68
336	14.04	5.43
337	14.06	5.43
338	14.06	5.43
339	14.04	5.43
340	14.01	5.43
341	13.95	6.61
342	13.92	7.72
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
