Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	11.02	[0, 9.77, 9.77, 5.33, 3.67, 2.63, 2.1, 1.78, 1.53, 1.33, 1.19, 1.06, 0.44]	[0, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[0, 21.49, 21.49, 23.46, 24.23, 23.11, 23.11, 23.46, 23.53, 23.46, 23.53, 23.33, 10.67]	4.52
2	13.15	[0, 4.89, 12.33, 6.36, 4.34, 3.26, 2.62, 2.18, 1.87, 1.64, 1.46, 1.31, 1.2]	[0, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]	[0, 10.75, 27.12, 27.95, 28.65, 28.65, 28.79, 28.79, 28.85, 28.92, 28.92, 28.92, 28.92]	6.66
3	12.51	[0, 11.7, 12.18, 6.21, 4.16, 3.13, 2.5, 2.08, 1.78, 1.56, 1.34, 1.23, 1.12, 1.02, 0.05, 0.03, 0.02, 0.02, 0.02, 0.02]	[0, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]	[0, 25.73, 26.79, 27.31, 27.44, 27.51, 27.51, 27.44, 27.44, 27.44, 26.52, 26.98, 26.98, 26.98, 1.41, 0.81, 0.81, 0.81, 0.81, 0.59]	10.29
4	11.7	[0, 10.64, 11.57, 5.68, 3.84, 2.88, 2.34, 1.92, 1.64, 1.44, 1.27, 1.14, 0.32, 0.1, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02]	[0, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107]	[0, 23.4, 25.44, 24.98, 25.31, 25.38, 25.73, 25.31, 25.31, 25.31, 25.11, 24.98, 7.78, 2.53, 1.06, 1.06, 1.06, 1.06, 1.06, 1.06, 1.06, 1.06]	8.3
5	13.24	[0, 12.06, 12.54, 6.4, 4.3, 3.25, 2.62, 2.21, 1.88, 1.64, 1.45, 1.3, 1.18, 0.2, 0.06, 0.04, 0.04, 0.03, 0.03, 0.03]	[0, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146]	[0, 26.52, 27.58, 28.15, 28.35, 28.54, 28.79, 29.12, 28.98, 28.92, 28.79, 28.61, 28.61, 5.3, 1.74, 1.17, 1.17, 1.17, 1.17, 1.17]	5.0
6	14.01	[0, 0.84, 13.09, 6.71, 4.47, 3.4, 2.73, 2.28, 1.95, 1.72, 1.53, 1.39, 1.27, 1.17, 0.62, 0.1, 0.1, 0.03, 0.03, 0.03, 0.03, 0.02, 0.03, 0.6, 0.6, 0.58, 0.55, 0.53, 0.51, 0.49, 0.03, 0.01, 0.01]	[0, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196]	[0, 1.85, 28.79, 29.49, 29.49, 29.86, 30.06, 30.11, 30.06, 30.17, 30.37, 30.48, 30.68, 30.81, 17.75, 3.19, 3.19, 1.06, 1.06, 1.06, 1.06, 1.06, 1.17, 29.12, 30.24, 30.37, 30.44, 30.55, 30.48, 30.48, 1.63, 0.7, 0.46]	5.87
7	14.78	[0, 14.26, 14.53, 7.39, 4.92, 3.69, 2.96, 2.43, 0.38, 0.14, 0.08]	[0, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215]	[0, 31.36, 31.95, 32.5, 32.44, 32.5, 32.5, 32.09, 5.81, 2.42, 1.63]	1.04
8	14.06	[0, 14.06, 13.98, 6.91, 4.64, 3.42, 2.73, 2.28, 1.96, 1.72, 1.53, 1.38, 0.21, 0.07, 0.05, 0.05, 0.22, 0.03, 0.03, 0.04, 0.03, 0.04, 0.03, 0.02]	[0, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248]	[0, 30.92, 30.74, 30.37, 30.61, 30.06, 30.06, 30.06, 30.24, 30.3, 30.3, 30.3, 4.99, 1.74, 1.41, 1.41, 7.39, 1.17, 1.17, 1.41, 1.41, 1.63, 1.17, 1.17]	2.74
9	16.95	[0, 5.53, 16.61, 8.4, 5.62, 4.22, 3.38, 2.82, 2.42, 2.11, 1.88, 1.69, 1.53, 0.55]	[0, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271]	[0, 12.16, 36.53, 36.95, 37.1, 37.17, 37.17, 37.21, 37.27, 37.17, 37.17, 37.21, 37.1, 14.38]	0.74
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	9.77	4.52
14	9.77	4.52
15	10.67	4.52
16	11.02	4.52
17	10.51	4.24
18	10.51	4.24
19	10.67	4.24
20	10.7	4.0
21	10.67	4.0
22	10.7	4.12
23	10.61	3.46
24	4.85	-2.37
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	4.89	-6.66
38	12.33	6.13
39	12.71	6.13
40	13.03	6.66
41	13.03	6.66
42	13.09	5.63
43	13.09	5.63
44	13.12	5.63
45	13.15	4.88
46	13.15	4.4
47	13.15	4.4
48	13.15	5.22
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	11.7	10.29
60	12.18	10.29
61	12.42	10.29
62	12.48	10.29
63	12.51	10.29
64	12.51	8.43
65	12.48	8.43
66	12.48	8.39
67	12.48	8.39
68	12.06	8.39
69	12.27	8.25
70	12.27	2.86
71	12.27	0.51
72	0.64	0.51
73	0.37	2.46
74	0.37	2.11
75	0.37	2.11
76	0.37	2.11
77	0.27	2.11
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	10.64	2.49
88	11.57	8.3
89	11.36	8.3
90	11.51	7.1
91	11.54	7.05
92	11.7	7.05
93	11.51	7.55
94	11.51	7.78
95	11.51	7.78
96	11.42	7.78
97	11.36	7.6
98	3.54	7.6
99	1.15	1.91
100	0.48	2.55
101	0.48	2.79
102	0.48	2.79
103	0.48	4.41
104	0.48	4.41
105	0.48	4.41
106	0.48	4.35
107	0.48	4.3
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	12.06	-3.45
129	12.54	5.0
130	12.8	5.0
131	12.89	5.0
132	12.98	2.27
133	13.09	2.27
134	13.24	4.33
135	13.18	4.33
136	13.15	3.04
137	13.09	3.04
138	13.01	2.93
139	13.01	3.54
140	2.41	3.54
141	0.79	3.54
142	0.53	-1.69
143	0.53	-0.67
144	0.53	-0.67
145	0.53	-0.67
146	0.53	-0.21
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0.84	-3.2
166	13.09	-3.2
167	13.41	2.33
168	13.41	1.84
169	13.58	1.84
170	13.67	1.84
171	13.69	2.36
172	13.67	2.36
173	13.72	3.01
174	13.81	2.45
175	13.86	2.36
176	13.95	1.81
177	14.01	1.81
178	8.07	1.81
179	1.45	-4.57
180	1.45	-4.57
181	0.48	-4.57
182	0.48	0.1
183	0.48	0.1
184	0.48	-0.9
185	0.48	-0.9
186	0.53	0.78
187	13.24	5.87
188	13.75	5.87
189	13.81	4.16
190	13.84	4.16
191	13.89	4.16
192	13.86	4.16
193	13.86	4.16
194	0.74	-3.2
195	0.32	2.63
196	0.21	-1.42
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	14.26	-4.94
207	14.53	-4.94
208	14.78	-4.94
209	14.75	1.04
210	14.78	0.71
211	14.78	0.71
212	14.59	0.2
213	2.64	-2.66
214	1.1	-6.48
215	0.74	-0.37
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	14.06	-2.12
227	13.98	2.74
228	13.81	2.74
229	13.92	1.22
230	13.67	1.41
231	13.67	0.76
232	13.67	0.76
233	13.75	0.76
234	13.78	0.76
235	13.78	2.3
236	13.78	0.61
237	2.27	-6.87
238	0.79	-2.55
239	0.64	-2.55
240	0.64	-2.55
241	3.36	-3.89
242	0.53	0.27
243	0.53	0.27
244	0.64	1.69
245	0.64	-0.8
246	0.74	-0.8
247	0.53	-0.8
248	0.53	1.26
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	5.53	-3.21
260	16.61	0.74
261	16.8	0.74
262	16.87	0.74
263	16.9	0.74
264	16.9	-0.98
265	16.92	-0.98
266	16.95	-0.55
267	16.9	0.0
268	16.9	0.0
269	16.92	-0.27
270	16.87	0.28
271	6.54	0.28
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
