Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	13.13	[0, 11.5, 12.52, 6.41, 4.27, 3.27, 2.61, 2.19]	[0, 11, 12, 13, 14, 15, 16, 17]	[0, 25.29, 27.53, 28.17, 28.17, 28.74, 28.74, 28.87]	25.8
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	11.5	25.8
12	12.52	24.89
13	12.81	24.89
14	12.81	24.89
15	13.07	24.89
16	13.07	24.89
17	13.13	24.89
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
