Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	9.84	3.12
11	10.9	18.57
12	11.15	18.57
13	11.22	18.57
14	11.22	18.69
15	11.22	18.69
16	11.22	18.69
17	11.22	18.69
18	1.35	18.69
19	0.85	18.69
20	0.33	0.52
21	0.33	0.52
22	0.47	2.08
23	0.47	2.73
24	0.47	2.73
25	0.47	2.31
26	0.47	3.47
27	0.47	2.53
28	0.47	3.12
29	0.47	3.12
30	0.47	3.12
31	0.47	2.53
32	0.47	1.56
33	0.47	0.0
34	0.47	0.0
35	0.47	0.0
36	0.47	0.0
37	0.47	1.26
38	0.47	1.26
39	0.47	1.26
40	0.47	0.92
41	0.47	0.92
42	0.47	0.92
43	0.47	0.92
44	0.47	0.92
