Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	10.08	[0, 9.4, 9.9, 5.03, 3.36, 2.52, 2.02, 1.68, 1.44]	[0, 11, 12, 13, 14, 15, 16, 17, 18]	[0, 20.67, 21.77, 22.1, 22.17, 22.17, 22.17, 22.17, 22.17]	11.89
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	9.4	5.31
12	9.9	5.31
13	10.05	5.31
14	10.08	11.59
15	10.08	11.59
16	10.08	11.59
17	10.08	11.89
18	10.08	11.89
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
