Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	18.7	[0, 0.0, -0.91, 16.35, 9.16, 6.17, 4.66, 3.74, 1.83, 0.18, 0.0, -0.29, -0.41, -0.2, -0.14, -0.1, -0.08, -0.07, -0.01, 0.69, 0.06, 0.02]	[0, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]	[0, 0.0, -2.0, 35.96, 40.29, 40.73, 41.01, 41.12, 24.1, 2.73, 0.0, -0.64, -0.9, -0.9, -0.9, -0.9, -0.9, -0.9, -0.11, 12.1, 1.28, 0.4]
2	14.28	[0, 0.0, 4.55, 13.84, 7.08, 4.76, 0.31, 0.08]	[0, 97, 98, 99, 100, 101, 102, 103]	[0, 0.0, 10.01, 30.44, 31.16, 31.4, 2.73, 0.9]
3	14.97	[0, 0.0, 2.83, 13.79, 7.12, 4.99, 0.33, 0.09, 0.03, 0.01, 0.0, -0.23, -0.03]	[0, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 160, 165]	[0, 0.0, 6.22, 30.33, 31.34, 32.92, 2.86, 1.03, 0.4, 0.13, 0.0, -0.51, -0.37]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	-0.91
53	16.35
54	18.32
55	18.52
56	18.65
57	18.7
58	10.96
59	1.24
60	0.0
61	-0.29
62	-0.41
63	-0.41
64	-0.41
65	-0.41
66	-0.41
67	-0.41
68	-0.05
69	5.5
70	0.58
71	0.18
72	0.0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	4.55
99	13.84
100	14.17
101	14.28
102	1.24
103	0.41
104	0.12
105	0
106	0
107	0
108	2.83
109	13.79
110	14.25
111	14.97
112	1.3
113	0.47
114	0.18
115	0.06
116	0.0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	-0.23
161	0
162	0
163	0
164	0
165	-0.17
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
