Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	16.73	[0, 0.0, 16.32, 16.54, 8.35, 5.58, 4.14, 0.16, 0.09, 0.03, 0.03, -0.01, 0.02]	[0, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[0, 0.0, 35.89, 36.37, 36.73, 36.79, 36.42, 1.76, 1.14, 0.51, 0.51, -0.13, 0.37]
2	21.7	[0, 0.0, 19.1, 20.86, 10.85, 7.08, 5.35, 0.41, 0.16, 0.07, 0.02, -0.01, -0.02, 0.04]	[0, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]	[0, 0.0, 42.0, 45.87, 47.72, 46.71, 47.06, 4.46, 2.13, 1.14, 0.37, -0.26, -0.53, 1.01]
3	10.27	[0, 0.0, 4.99, 10.0, 5.13, 2.79, 0.34, 0.29, 0.2]	[0, 75, 76, 77, 78, 79, 80, 81, 82]	[0, 0.0, 10.97, 21.99, 22.58, 18.41, 2.97, 3.19, 2.62]
4	21.98	[0, 0.0, 3.08, 21.98, 10.91, 7.31, 5.49, 2.78, 2.32, 0.16, 0.14]	[0, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]	[0, 0.0, 6.77, 48.34, 47.98, 48.23, 48.29, 30.61, 30.61, 2.48, 2.48]
5	8.34	[0, 0.0, 8.34, 7.7]	[0, 125, 126, 127]	[0, 0.0, 18.34, 16.93]
6	20.51	[0, 0.0, 10.48, 20.44, 10.22, 6.84, 5.08, 0.38, 0.24, 0.15, 0.14, 0.08, 0.12]	[0, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172]	[0, 0.0, 23.05, 44.95, 44.95, 45.1, 44.73, 4.13, 3.19, 2.24, 2.48, 1.63, 2.73]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	16.32
15	16.54
16	16.7
17	16.73
18	16.56
19	0.8
20	0.52
21	0.23
22	0.23
23	-0.06
24	0.17
25	0.17
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	19.1
45	20.86
46	21.7
47	21.24
48	21.4
49	2.03
50	0.97
51	0.52
52	0.17
53	-0.12
54	-0.24
55	0.46
56	-0.3
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	4.99
77	10.0
78	10.27
79	8.37
80	1.35
81	1.45
82	1.19
83	0.97
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	3.08
94	21.98
95	21.82
96	21.93
97	21.96
98	13.92
99	13.92
100	1.13
101	1.13
102	1.13
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	8.34
127	7.7
128	7.93
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	10.48
163	20.44
164	20.44
165	20.51
166	20.34
167	1.88
168	1.45
169	1.02
170	1.13
171	0.74
172	1.24
173	1.02
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
