Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	8.23	[0, 0.0, 7.68, 8.12, 4.09, 2.74, 2.06, 1.65, 1.21, 0.17, 0.06, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01]	[0, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]	[0, 0.0, 16.89, 17.86, 18.01, 18.1, 18.1, 18.1, 15.92, 2.68, 1.1, 0.7, 0.7, 0.84, 0.84, 0.84, 0.84, 0.84, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57]
2	9.03	[0, 0.0, 2.07, 8.54, 4.46, 3.01, 2.26, 1.4, 0.14, 0.09, 0.08, 0.07, 0.06, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.04, 0.02, 0.02, 0.01, 0.01]	[0, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110]	[0, 0.0, 4.55, 18.78, 19.62, 19.86, 19.86, 15.39, 1.78, 1.39, 1.39, 1.39, 1.23, 0.84, 0.84, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 1.52, 0.97, 0.7, 0.7, 0.7]
3	10.51	[0, 0.0, 9.69, 10.33, 5.25, 0.94, 0.42, 0.24]	[0, 121, 122, 123, 124, 125, 126, 127]	[0, 0.0, 21.31, 22.72, 23.11, 6.18, 3.69, 2.68]
4	9.4	[0, 0.0, 8.04, 9.1, 4.68, 3.13, 1.66, 0.96, 0.73, 0.62, 0.54, 0.48, 0.43, 0.18, 0.14, 0.11, 0.1]	[0, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159]	[0, 0.0, 17.68, 20.01, 20.58, 20.67, 14.56, 10.6, 9.68, 9.57, 9.57, 9.57, 9.57, 4.31, 3.56, 3.19, 3.19]
5	10.92	[0, 0.0, 9.62, 10.65, 5.42, 3.64, 1.0, 0.22, 0.12, 0.1, 0.1, 0.13, 0.13, 0.12]	[0, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208]	[0, 0.0, 21.16, 23.42, 23.86, 24.01, 8.84, 2.42, 1.65, 1.52, 1.78, 2.55, 2.81, 2.95]
6	11.6	[0, 0.0, 11.6, 11.47, 5.74]	[0, 225, 226, 227, 228]	[0, 0.0, 25.51, 25.22, 25.22]
7	11.33	[0, 0.0, 8.15, 11.33, 5.65, 3.75]	[0, 248, 249, 250, 251, 252]	[0, 0.0, 17.92, 24.92, 24.85, 24.76]
8	15.38	[0, 0.0, 7.24, 14.83, 7.64, 5.09, 3.85, 0.45]	[0, 270, 271, 272, 273, 274, 275, 276]	[0, 0.0, 15.92, 32.61, 33.62, 33.56, 33.82, 4.9]
9	15.44	[0, 0.0, 8.31, 14.62, 7.58, 5.13, 3.86]	[0, 324, 325, 326, 327, 328, 329]	[0, 0.0, 18.27, 32.15, 33.32, 33.82, 33.95]
10	15.52	[0, 0.0, 9.55, 14.88, 7.69, 5.16, 3.88, 3.1]	[0, 357, 358, 359, 360, 361, 362, 363]	[0, 0.0, 21.0, 32.72, 33.82, 34.02, 34.13, 34.09]
11	17.23	[0, 0.0, 15.81, 17.18, 8.6, 5.74]	[0, 399, 400, 401, 402, 403]	[0, 0.0, 34.77, 37.78, 37.82, 37.89]
12	18.79	[0, 0.0, 18.61, 18.79, 9.15, 6.05]	[0, 428, 429, 430, 431, 432]	[0, 0.0, 40.93, 41.32, 40.24, 39.89]
13	17.96	[0, 0.0, 11.63, 17.8, 8.98, 5.89, 4.48, 0.69, 0.28, 0.31, 0.2, 0.14]	[0, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465]	[0, 0.0, 25.58, 39.14, 39.5, 38.84, 39.43, 7.54, 3.69, 4.79, 3.43, 2.81]
14	17.9	[0, 0.0, 16.46, 17.72, 8.9, 5.97, 4.43]	[0, 483, 484, 485, 486, 487, 488]	[0, 0.0, 36.2, 38.97, 39.14, 39.36, 39.01]
15	20.21	[0, 0.0, 17.42, 19.89, 10.08, 6.74]	[0, 513, 514, 515, 516, 517]	[0, 0.0, 38.31, 43.74, 44.33, 44.44]
16	20.09	[0, 0.0, 18.69, 19.89, 9.98, 6.7]	[0, 538, 539, 540, 541, 542]	[0, 0.0, 41.1, 43.74, 43.89, 44.18]
17	19.05	[0, 0.0, 15.26, 19.05, 8.96, 6.07]	[0, 559, 560, 561, 562, 563]	[0, 0.0, 33.56, 41.89, 39.43, 40.07]
18	18.77	[0, 0.0, 17.72, 18.43, 9.33, 6.26]	[0, 582, 583, 584, 585, 586]	[0, 0.0, 38.97, 40.53, 41.04, 41.28]
19	22.86	[0, 0.0, 2.28, 22.02, 11.22, 7.51, 5.65, 4.57]	[0, 611, 612, 613, 614, 615, 616, 617]	[0, 0.0, 5.01, 48.42, 49.35, 49.55, 49.7, 50.27]
20	22.18	[0, 0.0, 4.16, 21.4, 10.76, 7.3, 5.54]	[0, 659, 660, 661, 662, 663, 664]	[0, 0.0, 9.15, 47.06, 47.32, 48.16, 48.78]
21	20.14	[0, 0.0, 7.24, 19.18, 9.77, 6.62, 5.04]	[0, 689, 690, 691, 692, 693, 694]	[0, 0.0, 15.92, 42.18, 42.95, 43.67, 44.29]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	7.68
19	8.12
20	8.19
21	8.23
22	8.23
23	8.23
24	7.24
25	1.22
26	0.5
27	0.32
28	0.32
29	0.38
30	0.38
31	0.38
32	0.38
33	0.38
34	0.26
35	0.26
36	0.26
37	0.26
38	0.26
39	0.26
40	0.26
41	0.38
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	2.07
88	8.54
89	8.92
90	9.03
91	9.03
92	7.0
93	0.81
94	0.63
95	0.63
96	0.63
97	0.56
98	0.38
99	0.38
100	0.32
101	0.32
102	0.32
103	0.32
104	0.32
105	0.32
106	0.69
107	0.44
108	0.32
109	0.32
110	0.32
111	0.32
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	9.69
123	10.33
124	10.51
125	2.81
126	1.68
127	1.22
128	1.1
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	8.04
146	9.1
147	9.36
148	9.4
149	6.62
150	4.82
151	4.4
152	4.35
153	4.35
154	4.35
155	4.35
156	1.96
157	1.62
158	1.45
159	1.45
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	9.62
198	10.65
199	10.85
200	10.92
201	4.02
202	1.1
203	0.75
204	0.69
205	0.81
206	1.16
207	1.28
208	1.34
209	1.34
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	11.6
227	11.47
228	11.47
229	11.5
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	8.15
250	11.33
251	11.3
252	11.26
253	11.2
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	7.24
272	14.83
273	15.29
274	15.26
275	15.38
276	2.23
277	1.1
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	8.31
326	14.62
327	15.15
328	15.38
329	15.44
330	9.25
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	9.55
359	14.88
360	15.38
361	15.47
362	15.52
363	15.5
364	15.35
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	15.81
401	17.18
402	17.2
403	17.23
404	17.26
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	18.61
430	18.79
431	18.3
432	18.14
433	18.11
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	11.63
457	17.8
458	17.96
459	17.66
460	17.93
461	3.43
462	1.68
463	2.18
464	1.56
465	1.28
466	1.28
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	16.46
485	17.72
486	17.8
487	17.9
488	17.74
489	8.31
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	17.42
515	19.89
516	20.16
517	20.21
518	19.86
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	18.69
540	19.89
541	19.96
542	20.09
543	20.19
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	15.26
561	19.05
562	17.93
563	18.22
564	18.43
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	17.72
584	18.43
585	18.66
586	18.77
587	12.52
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	2.28
613	22.02
