Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=8.2
1	16.85	[0, 0.0, 4.69, 11.71, 3.36, 2.24, 1.98, 1.39, 1.42, 0.99, 1.11, 0.71, 0.93]	[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[0, 0.0, 10.31, 36.07, 36.7, 36.95, 37.06, 37.06, 37.06, 37.06, 37.06, 36.02, 36.07]
2	14.67	[0, 0.0, 13.66, 0.81, 6.52, 1.63, 2.03, 0.9, 1.54, 0.55, 1.28, 0.35, 1.12, 0.22, 1.01, 0.12, 0.93]	[0, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]	[0, 0.0, 30.04, 31.82, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26, 32.26]
3	18.32	[0, 0.0, 17.14, 0.0, 18.22, 0.1, 9.06, 2.95, 1.63, 2.04, 1.02]	[0, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	[0, 0.0, 37.69, 37.69, 40.07, 40.29, 40.29, 40.29, 40.29, 40.29, 40.29]
4	16.08	[0, 0.0, 3.01, 12.69, 4.73, 0.62, 3.4, 0.18, 2.5, 0.2, 1.81, 0.02, 1.58, 0.12, 1.22, 0.15, 0.03, 0.03]	[0, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]	[0, 0.0, 6.62, 34.53, 35.01, 35.3, 35.36, 35.36, 35.36, 35.36, 35.36, 35.36, 35.36, 35.36, 35.36, 30.44, 3.91, 1.85]
5	14.27	[0, 0.0, 13.57, 0.47, 6.67, 1.91]	[0, 85, 86, 87, 88, 89]	[0, 0.0, 29.84, 30.88, 31.38, 31.38]
6	10.03	[0, 0.0, 8.85, 0.94, 4.08, 0.78, 0.29, 0.09, 0.04]	[0, 93, 94, 95, 96, 97, 98, 99, 100]	[0, 0.0, 19.46, 21.53, 22.06, 21.75, 4.27, 2.2, 1.72]
7	9.31	[0, 0.0, 8.53, 0.6, 4.03, 0.93, 1.35, 0.48, 1.05, 0.26, 0.88, 0.14, 0.78, 0.05, 0.71, 0.0, 9.17, 0.0, 9.17, 0.0, 9.17, 0.0, 9.17, 0.0, 9.17, 4.48, 4.03, 3.73, 3.61, 3.51, 3.43, 3.38, 3.33, 3.29, 3.25]	[0, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139]	[0, 0.0, 18.76, 20.08, 20.39, 20.47, 20.08, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 20.17, 10.31, 1.96, 1.96, 1.1, 1.1, 0.99, 0.86, 0.86, 0.86, 0.86]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	4.69
5	16.4
6	16.69
7	16.8
8	16.85
9	16.85
10	16.85
11	16.85
12	16.85
13	16.38
14	16.4
15	15.84
16	0
17	0
18	0
19	0
20	0
21	13.66
22	14.47
23	14.67
24	14.67
25	14.67
26	14.67
27	14.67
28	14.67
29	14.67
30	14.67
31	14.67
32	14.67
33	14.67
34	14.67
35	14.67
36	8.1
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	17.14
46	17.14
47	18.22
48	18.32
49	18.32
50	18.32
51	18.32
52	18.32
53	18.32
54	15.56
55	0
56	0
57	0
58	0
59	0
60	0
61	3.01
62	15.7
63	15.92
64	16.05
65	16.08
66	16.08
67	16.08
68	16.08
69	16.08
70	16.08
71	16.08
72	16.08
73	16.08
74	13.84
75	1.78
76	0.84
77	0.34
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	13.57
87	14.04
88	14.27
89	14.27
90	14.04
91	0
92	0
93	0
94	8.85
95	9.79
96	10.03
97	9.89
98	1.94
99	1.0
100	0.78
101	0.78
102	0
103	0
104	0
105	0
106	0
107	8.53
108	9.13
109	9.27
110	9.31
111	9.13
112	9.17
113	9.17
114	9.17
115	9.17
116	9.17
117	9.17
118	9.17
119	9.17
120	9.17
121	9.17
122	9.17
123	9.17
124	9.17
125	9.17
126	9.17
127	9.17
128	9.17
129	9.17
130	4.69
131	0.89
132	0.89
133	0.5
134	0.5
135	0.45
136	0.39
137	0.39
138	0.39
139	0.39
140	0.39
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
