Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	15.23	[0, 2.43, 14.51, 7.5, 5.06, 3.81, 3.05, 2.52, 2.16, 1.89, 1.68, 1.5, 1.36, 0.18, 0.08, 0.04, 0.03]	[0, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]	[0, 5.34, 31.91, 33.01, 33.36, 33.49, 33.49, 33.18, 33.18, 33.18, 33.18, 33.05, 32.81, 4.82, 2.27, 1.21, 0.86]	11.79
2	1.75	[0, 1.75, 1.75, 0.88, 0.58]	[0, 40, 41, 42, 43]	[0, 3.85, 3.85, 3.85, 3.85]	5.1
3	15.72	[0, 0.23, 15.06, 7.53, 5.18, 3.9, 3.12, 2.59, 2.23, 1.96, 1.74, 1.57, 1.42, 1.31, 1.21, 1.12, 0.1, 0.07, 0.06, 0.06, 0.05, 0.05, 0.05, 0.06]	[0, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]	[0, 0.51, 33.12, 33.12, 34.15, 34.26, 34.26, 34.2, 34.26, 34.39, 34.44, 34.44, 34.39, 34.57, 34.57, 34.57, 3.17, 2.62, 2.27, 2.27, 2.27, 2.27, 2.27, 2.73]	7.33
4	20.55	[0, 20.52, 19.5, 10.01, 6.77, 5.08, 4.08, 3.41, 2.93, 2.56, 2.28, 2.06, 1.24]	[0, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97]	[0, 45.13, 42.88, 44.0, 44.66, 44.66, 44.88, 45.04, 45.08, 45.13, 45.13, 45.19, 29.89]	15.59
5	20.34	[0, 20.05, 20.31, 10.07, 6.72, 5.05, 4.07, 3.34, 2.87, 2.52, 2.24, 2.03, 1.84, 0.33, 0.15, 0.12, 0.1, 0.1, 0.09, 0.09, 0.08, 0.08, 0.21, 0.05, 0.05, 0.05, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.29, 0.02, 0.02, 0.02, 0.02]	[0, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163]	[0, 44.09, 44.66, 44.31, 44.31, 44.4, 44.73, 44.09, 44.2, 44.31, 44.4, 44.58, 44.4, 8.58, 4.29, 3.63, 3.41, 3.41, 3.41, 3.41, 3.52, 3.63, 9.92, 2.62, 2.51, 2.38, 2.38, 1.91, 1.8, 1.8, 1.21, 1.34, 1.34, 20.36, 1.45, 1.69, 1.69, 1.69]	16.21
6	20.45	[0, 19.82, 20.31, 10.22, 6.8, 5.11, 4.09, 0.86, 0.33, 0.24, 0.19, 0.84, 0.15, 0.14, 0.13]	[0, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189]	[0, 43.59, 44.66, 44.97, 44.88, 44.93, 44.93, 11.39, 5.15, 4.29, 3.74, 18.54, 3.63, 3.63, 3.63]	5.85
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	2.43	-6.33
11	14.51	-6.33
12	15.01	11.79
13	15.17	11.67
14	15.23	10.9
15	15.23	10.94
16	15.09	10.94
17	15.09	10.81
18	15.09	10.81
19	15.09	10.9
20	15.03	10.9
21	14.92	10.9
22	2.19	2.21
23	1.03	-1.8
24	0.55	-1.8
25	0.39	-2.08
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	1.75	5.1
41	1.75	-3.56
42	1.75	-4.09
43	1.75	5.05
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0.23	4.44
56	15.06	7.33
57	15.06	7.33
58	15.53	6.34
59	15.58	5.45
60	15.58	5.45
61	15.55	5.45
62	15.58	5.45
63	15.64	5.97
64	15.66	6.16
65	15.66	6.16
66	15.64	6.16
67	15.72	6.16
68	15.72	7.09
69	15.72	7.09
70	1.44	7.09
71	1.19	7.09
72	1.03	7.09
73	1.03	-6.32
74	1.03	-6.32
75	1.03	-6.75
76	1.03	-6.75
77	1.24	-6.75
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	20.52	15.59
87	19.5	12.5
88	20.01	11.79
89	20.31	11.79
90	20.31	11.79
91	20.41	11.79
92	20.48	12.0
93	20.5	12.06
94	20.52	12.12
95	20.52	12.12
96	20.55	12.12
97	13.59	12.12
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	20.05	15.42
128	20.31	15.42
129	20.15	15.42
130	20.15	15.26
131	20.19	15.72
132	20.34	15.72
133	20.05	15.72
134	20.1	16.21
135	20.15	16.21
136	20.19	15.8
137	20.27	15.95
138	20.19	15.95
139	3.9	7.61
140	1.95	7.61
141	1.65	7.61
142	1.55	1.53
143	1.55	1.53
144	1.55	1.53
145	1.55	1.93
146	1.6	1.02
147	1.65	1.02
148	4.51	6.99
149	1.19	6.99
150	1.14	6.99
151	1.08	6.99
152	1.08	6.99
153	0.87	6.99
154	0.82	1.02
155	0.82	1.02
156	0.55	1.02
157	0.61	1.02
158	0.61	1.02
159	9.26	1.02
160	0.66	1.02
161	0.77	1.02
162	0.77	1.02
163	0.77	1.02
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	19.82	-10.06
177	20.31	-10.06
178	20.45	5.76
179	20.41	5.85
180	20.43	5.22
181	20.43	5.22
182	5.18	5.22
183	2.34	5.22
184	1.95	5.22
185	1.7	5.22
186	8.43	2.69
187	1.65	2.69
188	1.65	2.69
189	1.65	-6.82
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	1.44	-10.08
201	19.89	6.2
202	20.24	6.2
203	20.38	6.85
204	20.19	5.14
205	20.1	5.14
206	20.17	4.8
207	20.17	4.8
208	20.12	4.8
209	20.15	5.33
210	20.17	5.16
211	20.17	5.33
212	3.68	5.33
213	2.05	5.33
214	1.8	-4.18
215	1.75	-8.3
216	1.75	-8.3
217	1.75	-7.43
