Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	14.18	[0, 0.0, 13.25, 13.73, 7.0, 4.7, 3.52, 2.82, 2.36, 1.52, 0.26, 0.12, 0.11, 0.06, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.04]	[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]	[0, 0.0, 29.14, 30.19, 30.81, 31.01, 31.01, 31.01, 31.18, 23.4, 4.64, 2.4, 2.4, 1.5, 1.5, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 1.39, 2.18]	16.34
2	14.37	[0, 0.53, 13.79, 7.11, 4.79, 3.59, 2.86, 2.39, 2.05, 1.79, 0.18, 0.06, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02]	[0, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]	[0, 1.17, 30.33, 31.25, 31.6, 31.6, 31.49, 31.49, 31.49, 31.49, 3.47, 1.28, 0.7, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92]	18.47
3	14.1	[0, 5.29, 13.65, 6.83, 4.7, 3.52, 2.81, 2.35, 2.01, 1.71, 1.53, 0.23, 0.08, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01]	[0, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107]	[0, 11.63, 30.02, 30.02, 31.01, 30.94, 30.94, 30.94, 30.88, 30.13, 30.19, 5.04, 1.96, 0.92, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 0.81, 1.06, 1.06, 1.06, 1.06, 1.06, 1.06, 1.06, 1.06, 1.06, 0.59, 0.46, 0.46, 0.46, 0.46]	18.8
4	17.07	[0, 13.05, 16.25, 8.4, 5.69, 4.26, 3.38, 2.81, 2.41, 0.36, 0.1, 0.09, 0.03, 0.03, 0.02, 0.02, 0.02, 0.33, 0.31, 0.03, 0.03, 0.03, 0.03, 0.03, 0.21, 0.02, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.05]	[0, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148]	[0, 28.7, 35.74, 36.97, 37.54, 37.47, 37.21, 37.14, 37.14, 6.36, 2.07, 2.07, 0.7, 0.7, 0.7, 0.7, 0.7, 11.72, 11.72, 1.17, 1.17, 1.28, 1.28, 1.28, 10.84, 0.92, 0.7, 0.7, 0.7, 0.81, 1.06, 1.28, 3.36]	14.13
5	17.99	[0, 16.3, 16.3, 8.92, 5.99, 4.5, 3.6, 3.0, 2.24, 0.23, 0.11, 0.08]	[0, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176]	[0, 35.85, 35.85, 39.23, 39.52, 39.56, 39.56, 39.56, 34.46, 4.0, 2.18, 1.85]	3.33
6	16.87	[0, 15.83, 15.83, 8.37, 5.58, 4.2, 3.37, 2.81, 2.41, 2.11, 0.17, 0.09]	[0, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208]	[0, 34.81, 34.81, 36.81, 36.81, 36.97, 37.03, 37.03, 37.1, 37.1, 3.36, 2.07]	8.98
7	16.53	[0, 15.64, 16.12, 8.2, 5.48, 4.13, 3.31, 2.76, 2.36, 0.3, 0.08, 0.02, 0.02, 0.02, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	[0, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250]	[0, 34.39, 35.45, 36.07, 36.18, 36.35, 36.35, 36.35, 36.31, 5.26, 1.5, 0.46, 0.59, 0.46, 0.92, 0.92, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.81]	11.29
8	19.82	[0, 0.42, 19.49, 9.85, 6.61, 4.91, 3.92, 3.27, 2.8, 2.46, 0.36, 0.15, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	[0, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298]	[0, 0.92, 42.86, 43.32, 43.59, 43.21, 43.12, 43.12, 43.17, 43.28, 7.13, 3.36, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.61, 1.61, 1.61, 1.61, 1.61]	8.18
9	4.15	[0, 4.15, 0.99, 0.49, 0.33, 0.25, 0.2, 0.17]	[0, 308, 309, 310, 311, 312, 313, 314]	[0, 9.13, 2.18, 2.18, 2.18, 2.18, 2.18, 2.18]	0
10	20.17	[0, 6.15, 19.53, 9.77, 6.68, 5.02, 4.01, 3.36, 2.88, 2.52, 2.24, 0.14, 0.13]	[0, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338]	[0, 13.52, 42.95, 42.95, 44.09, 44.14, 44.14, 44.29, 44.36, 44.36, 44.36, 3.06, 3.06]	12.04
11	20.9	[0, 0.53, 20.65, 10.32, 6.96, 5.22, 4.18, 3.48, 2.98, 0.43, 0.38, 0.06, 0.04, 0.11]	[0, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368]	[0, 1.17, 45.41, 45.41, 45.92, 45.96, 45.96, 45.92, 45.81, 7.61, 7.61, 1.28, 1.06, 2.95]	12.93
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0.0	1.32
5	13.25	1.32
6	13.73	1.32
7	14.01	16.1
8	14.1	16.34
9	14.1	16.18
10	14.1	16.18
11	14.18	16.18
12	10.64	16.18
13	2.11	0.0
14	1.09	-0.75
15	1.09	-0.75
16	0.68	0.42
17	0.68	1.16
18	0.63	1.16
19	0.63	1.16
20	0.63	1.16
21	0.63	1.16
22	0.63	1.16
23	0.63	1.16
24	0.63	-0.75
25	0.63	-0.75
26	0.63	-0.75
27	0.63	-0.75
28	0.99	-0.75
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0.53	-3.95
41	13.79	-3.95
42	14.21	-3.95
43	14.37	-3.95
44	14.37	-3.95
45	14.32	-3.95
46	14.32	-3.95
47	14.32	18.47
48	14.32	16.07
49	1.58	-3.95
50	0.58	-3.95
51	0.32	-3.95
52	0.42	-3.95
53	0.42	-3.95
54	0.42	-3.95
55	0.42	-3.95
56	0.42	-3.95
57	0.42	-3.95
58	0.42	-3.95
59	0.42	-3.95
60	0.42	-3.95
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	5.29	6.03
74	13.65	6.03
75	13.65	18.69
76	14.1	18.69
77	14.07	18.8
78	14.07	18.8
79	14.07	18.76
80	14.04	18.76
81	13.7	18.76
82	13.73	18.76
83	2.29	18.76
84	0.89	18.76
85	0.42	18.76
86	0.37	3.75
87	0.37	0.97
88	0.37	0.52
89	0.37	0.52
90	0.37	-0.3
91	0.37	-2.83
92	0.37	-2.83
93	0.37	-2.83
94	0.48	-2.83
95	0.48	-1.56
96	0.48	-1.56
97	0.48	-1.56
98	0.48	-2.83
99	0.48	-2.83
100	0.48	-2.83
101	0.48	-2.83
102	0.48	-2.83
103	0.27	-2.83
104	0.21	-2.83
105	0.21	-2.83
106	0.21	-2.83
107	0.21	-1.56
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	13.05	-6.4
118	16.25	13.81
119	16.81	13.7
120	17.07	13.7
121	17.04	14.1
122	16.92	14.1
123	16.89	14.13
124	16.89	14.13
125	2.89	-3.07
126	0.94	-6.4
127	0.94	-6.4
128	0.32	-6.4
129	0.32	-4.79
130	0.32	-4.39
131	0.32	-4.39
132	0.32	-4.39
133	5.33	0.89
134	5.33	-1.32
135	0.53	-2.26
136	0.53	-2.26
137	0.58	-2.26
138	0.58	-2.26
139	0.58	-2.52
140	4.93	3.56
141	0.42	0.45
142	0.32	0.45
143	0.32	-3.69
144	0.32	-1.32
145	0.37	-1.43
146	0.48	-1.43
147	0.58	-1.77
148	1.53	-1.77
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	16.3	-8.89
167	16.3	2.61
168	17.84	3.33
169	17.97	3.33
170	17.99	3.33
171	17.99	3.33
172	17.99	3.33
173	15.67	3.33
174	1.82	3.33
175	0.99	-5.31
176	0.84	-7.55
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	15.83	-1.21
199	15.83	8.98
200	16.74	8.98
201	16.74	7.58
202	16.81	7.58
203	16.84	7.14
204	16.84	7.14
205	16.87	7.14
206	16.87	7.14
207	1.53	7.14
208	0.94	-2.73
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	15.64	10.86
230	16.12	6.54
231	16.4	6.54
232	16.45	7.52
233	16.53	5.81
234	16.53	5.81
235	16.53	7.09
236	16.51	7.09
237	2.39	7.09
238	0.68	7.09
239	0.21	6.38
240	0.27	11.29
241	0.21	5.52
242	0.42	7.09
243	0.42	7.09
244	0.32	10.06
245	0.32	10.06
246	0.32	10.06
247	0.32	10.5
248	0.32	10.5
249	0.32	11.09
250	0.37	11.09
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0.42	-1.96
264	19.49	-1.96
265	19.7	-1.96
266	19.82	-1.96
267	19.65	6.9
268	19.61	6.9
269	19.61	8.18
270	19.63	4.92
271	19.68	4.92
272	3.24	0.42
273	1.53	0.42
274	0.68	-0.66
275	0.68	0.27
276	0.68	0.27
277	0.68	0.38
278	0.68	0.38
279	0.68	0.38
280	0.68	0.46
281	0.68	0.46
282	0.68	0.35
283	0.68	0.35
284	0.68	0.35
285	0.68	1.16
286	0.68	2.33
287	0.68	3.01
288	0.68	1.05
289	0.68	1.05
290	0.68	1.05
291	0.68	1.05
292	0.68	0.91
293	0.68	0.91
294	0.73	0.91
295	0.73	0.31
296	0.73	0.31
297	0.73	0.65
298	0.73	0.65
299	0	0
300	0	0
301	0	0
302	0	0
303	0	0
304	0	0
305	0	0
306	0	0
307	0	0
308	4.15	-1.72
309	0.99	-1.42
310	0.99	-1.42
311	0.99	-0.19
312	0.99	-0.51
313	0.99	-0.51
314	0.99	-0.84
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	0	0
327	6.15	-0.56
328	19.53	11.79
329	19.53	11.79
330	20.05	10.63
331	20.07	9.1
332	20.07	12.04
333	20.14	9.7
334	20.17	9.7
335	20.17	9.7
336	20.17	-4.37
337	1.39	-4.37
338	1.39	-2.7
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0.53	-0.28
357	20.65	12.91
358	20.65	12.93
359	20.88	12.93
360	20.9	12.66
361	20.9	12.66
362	20.88	11.5
363	20.83	10.26
364	3.46	10.26
365	3.46	10.26
366	0.58	-1.78
367	0.48	-1.78
368	1.34	-5.06
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
