Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	6.93	[0, 5.44, 6.47, 3.23, 2.31, 1.73, 1.39, 1.16]	[0, 1, 2, 3, 4, 5, 6, 7]	[0, 11.96, 14.23, 14.23, 15.24, 15.24, 15.24, 15.24]	5.66
2	7.3	[0, 6.81, 7.15, 3.65, 2.43, 1.82, 1.46, 1.19, 1.03]	[0, 18, 19, 20, 21, 22, 23, 24, 25]	[0, 14.98, 15.72, 16.05, 16.05, 16.05, 16.05, 15.72, 15.81]	6.78
3	7.45	[0, 0.34, 0.34, 3.69, 2.46, 1.85, 1.48, 1.24, 0.75, 0.12, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03]	[0, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]	[0, 0.75, 0.75, 16.23, 16.23, 16.3, 16.3, 16.38, 11.52, 2.13, 1.32, 1.21, 1.21, 1.21, 1.21, 1.21, 1.21, 1.21, 1.21, 1.21, 1.21, 1.21]	6.23
4	6.7	[0, 6.7, 0.87, 0.41, 0.27, 0.2, 0.16, 0.14, 0.12, 0.1, 0.09, 0.08, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.04]	[0, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112]	[0, 14.73, 1.91, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.67, 1.67, 1.67, 1.8, 1.8, 1.8, 2.02, 2.27, 2.27, 5.21]	5.38
5	10.03	[0, 5.03, 9.05, 4.76, 3.29, 2.5, 1.99, 1.67, 1.43, 0.26, 0.08, 0.02, 0.02, 0.01, 0.01]	[0, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265]	[0, 11.06, 19.9, 20.96, 21.68, 21.97, 21.9, 22.06, 22.06, 4.57, 1.56, 0.51, 0.37, 0.37, 0.37]	29.22
6	0.28	[0, 0.28, 0.23, 0.12, 0.08, 0.06, 0.05, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.23, 0.23, 0.12, 0.08, 0.06, 0.05, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.23, 0.23, 0.12, 0.08, 0.06, 0.05, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	[0, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402]	[0, 0.62, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51, 0.51]	2.13
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	5.44	-5.55
2	6.47	5.66
3	6.47	5.66
4	6.93	4.72
5	6.93	4.29
6	6.93	4.29
7	6.93	4.15
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	6.81	6.78
19	7.15	6.38
20	7.3	6.38
21	7.3	6.38
22	7.3	6.38
23	7.3	6.38
24	7.15	6.38
25	7.19	6.38
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0.34	-4.25
37	0.34	-4.25
38	7.38	6.16
39	7.38	6.16
40	7.41	6.09
41	7.41	6.23
42	7.45	5.81
43	5.24	2.88
44	0.97	-4.25
45	0.6	-5.52
46	0.55	-4.25
47	0.55	-5.52
48	0.55	-5.52
49	0.55	-4.25
50	0.55	-4.25
51	0.55	-4.25
52	0.55	-4.25
53	0.55	-4.25
54	0.55	-4.25
55	0.55	-4.25
56	0.55	-4.25
57	0	0
58	6.7	5.38
59	0.87	-2.69
60	0.82	-2.69
61	0.82	-3.03
62	0.82	-3.03
63	0.82	-3.03
64	0.82	-3.03
65	0.82	-3.03
66	0.82	-3.03
67	0.82	-3.03
68	0.82	-3.03
69	0.82	-3.03
70	0.82	-3.03
71	0.82	-3.03
72	0.82	-3.03
73	0.82	-3.03
74	0.82	-3.03
75	0.82	-3.03
76	0.82	-3.03
77	0.82	-3.03
78	0.82	-3.03
79	0.82	-3.03
80	0.82	-3.03
81	0.82	-3.03
82	0.82	-3.03
83	0.82	-3.03
84	0.82	-3.03
85	0.82	-3.03
86	0.82	-3.03
87	0.82	-3.03
88	0.82	-3.03
89	0.82	-3.03
90	0.82	-3.03
91	0.82	-3.03
92	0.82	-3.03
93	0.82	-3.03
94	0.82	-3.03
95	0.82	-3.03
96	0.82	-3.03
97	0.82	-3.03
98	0.82	-3.03
99	0.82	-3.03
100	0.82	-3.03
101	0.82	-3.03
102	0.82	-2.69
103	0.76	-2.69
104	0.76	-2.39
105	0.76	-2.39
106	0.82	-2.39
107	0.82	-2.39
108	0.82	-2.39
109	0.92	-2.39
110	1.03	-0.83
111	1.03	-0.16
112	2.37	0.76
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	5.03	24.77
253	9.05	28.16
254	9.53	28.16
255	9.86	28.62
256	9.99	28.62
257	9.96	28.62
258	10.03	29.2
259	10.03	29.22
260	2.08	29.22
261	0.71	26.31
262	0.23	26.16
263	0.17	26.16
264	0.17	26.13
265	0.17	26.13
266	0	0
267	0.28	-0.21
268	0.23	0.66
269	0.23	0.66
270	0.23	0.83
271	0.23	0.91
272	0.23	0.91
273	0.23	0.96
274	0.23	0.96
275	0.23	0.96
276	0.23	0.96
277	0.23	0.98
278	0.23	0.98
279	0.23	0.98
280	0.23	0.98
281	0.23	0.98
282	0.23	0.98
283	0.23	0.96
284	0.23	0.96
285	0.23	0.96
286	0.23	0.78
287	0.23	0.78
288	0.23	0.61
289	0.23	0.61
290	0.23	0.43
291	0.23	0.33
292	0.23	0.2
293	0.23	0.07
294	0.23	0.07
295	0.23	-0.08
296	0.23	-0.08
297	0.23	-0.08
298	0.23	-0.18
299	0.23	-0.18
300	0.23	-0.21
301	0.23	-0.21
302	0.23	-0.21
303	0.23	-0.18
304	0.23	-0.18
305	0.23	-0.18
306	0.23	-0.1
307	0.23	-0.05
308	0.23	0.07
309	0.23	0.07
310	0.23	0.2
311	0.23	0.23
312	0.23	0.23
313	0.23	0.28
314	0.23	0.28
315	0.23	0.28
316	0.23	0.25
317	0.23	0.25
318	0.23	0.25
319	0.23	0.28
320	0.23	0.3
321	0.23	0.33
322	0.23	0.38
323	0.23	0.38
324	0.23	0.38
325	0.23	0.38
326	0.23	0.38
327	0.23	0.78
328	0.23	0.78
329	0.23	1.01
330	0.23	1.01
331	0.23	1.08
332	0.23	1.08
333	0.23	1.08
334	0.23	1.18
335	0.23	1.18
336	0.23	1.38
337	0.23	1.38
338	0.23	1.38
339	0.23	1.38
340	0.23	1.38
341	0.23	1.33
342	0.23	1.25
343	0.23	1.25
344	0.23	1.2
345	0.23	1.2
346	0.23	1.1
347	0.23	1.1
348	0.23	1.1
349	0.23	1.1
350	0.23	1.1
351	0.23	1.23
352	0.23	1.23
353	0.23	1.3
354	0.23	1.35
355	0.23	1.35
356	0.23	1.4
357	0.23	1.4
358	0.23	1.42
359	0.23	1.42
360	0.23	1.42
361	0.23	1.47
362	0.23	1.47
363	0.23	1.5
364	0.23	1.5
365	0.23	1.5
366	0.23	1.69
367	0.23	1.72
368	0.23	1.74
369	0.23	1.77
370	0.23	1.77
371	0.23	1.77
372	0.23	1.77
373	0.23	1.77
374	0.23	1.77
375	0.23	1.79
376	0.23	1.79
377	0.23	1.86
378	0.23	1.89
379	0.23	1.91
380	0.23	1.94
381	0.23	1.96
382	0.23	1.98
383	0.23	2.03
384	0.23	2.03
385	0.23	2.03
386	0.23	2.06
387	0.23	2.06
388	0.23	2.08
389	0.23	2.08
390	0.23	2.1
391	0.23	2.1
