Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	11.47	[0, 10.82, 11.27, 5.74, 3.82, 2.87, 2.29, 1.91, 1.63]	[0, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 23.79, 24.78, 25.22, 25.22, 25.22, 25.22, 25.22, 25.09]	10.46
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	10.82	-3.63
4	11.27	-3.63
5	11.47	-3.63
6	11.47	10.46
7	11.47	10.46
8	11.47	10.46
9	11.47	10.46
10	11.41	10.46
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	10.43	[0, 0.0, 10.36, 10.43, 5.21, 3.48, 2.61, 2.09]	[0, 3, 4, 5, 6, 7, 8, 9]	[0, 0.0, 22.78, 22.94, 22.94, 22.94, 22.94, 22.94]	7.28
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0.0	7.17
4	10.36	7.12
5	10.43	7.17
6	10.43	7.28
7	10.43	7.28
8	10.43	7.28
9	10.43	3.36
10	0	0
11	0	0
12	0	0
