Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5
1	11.3	[0, 11.3, 11.3, 5.32, 3.56, 2.67, 2.15, 1.79, 1.53]	[0, 18, 19, 20, 21, 22, 23, 24, 25]	[0, 24.85, 24.85, 23.38, 23.46, 23.46, 23.62, 23.62, 23.62]
2	13.23	[0, 10.45, 12.61, 6.3, 4.39, 3.3, 2.65, 2.21, 1.88, 1.02]	[0, 67, 68, 69, 70, 71, 72, 73, 74, 75]	[0, 22.98, 27.73, 27.73, 28.94, 29.01, 29.09, 29.09, 28.94, 17.9]
3	13.98	[0, 4.55, 13.98, 6.64, 4.51, 3.4, 2.72, 2.26, 1.95, 1.71, 1.52]	[0, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113]	[0, 10.01, 30.74, 29.23, 29.78, 29.86, 29.86, 29.86, 30.06, 30.13, 30.13]
4	14.84	[0, 0.13, 0.13, 0.07, 4.95, 3.7, 2.96, 2.44, 2.1, 1.84, 0.58]	[0, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150]	[0, 0.29, 0.29, 0.29, 32.63, 32.57, 32.5, 32.24, 32.3, 32.3, 11.57]
5	16.67	[0, 8.46, 8.46, 4.23, 5.55, 4.17, 3.33, 2.77, 2.37, 2.08, 1.85]	[0, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181]	[0, 18.6, 18.6, 18.6, 36.62, 36.66, 36.62, 36.55, 36.55, 36.55, 36.55]
6	16.59	[0, 6.04, 15.35, 8.14, 5.49, 4.12, 3.3, 2.77, 2.35, 2.06]	[0, 205, 206, 207, 208, 209, 210, 211, 212, 213]	[0, 13.28, 33.76, 35.8, 36.24, 36.24, 36.24, 36.48, 36.24, 36.24]
7	16.98	[0, 6.21, 15.64, 7.82, 5.61, 4.21, 3.4, 2.83, 2.42, 2.12]	[0, 240, 241, 242, 243, 244, 245, 246, 247, 248]	[0, 13.66, 34.39, 34.39, 37.03, 37.03, 37.34, 37.34, 37.23, 37.23]
8	20.11	[0, 0.52, 0.52, 10.02, 6.69, 5.03, 3.87, 3.21, 2.75, 2.41]	[0, 282, 283, 284, 285, 286, 287, 288, 289, 290]	[0, 1.14, 1.14, 44.07, 44.11, 44.22, 42.55, 42.38, 42.38, 42.38]
9	20.44	[0, 19.91, 20.09, 10.12, 6.75, 5.11, 4.09, 3.4, 2.91, 1.19]	[0, 314, 315, 316, 317, 318, 319, 320, 321, 322]	[0, 43.78, 44.18, 44.51, 44.51, 44.95, 44.95, 44.91, 44.84, 20.96]
10	20.96	[0, 1.27, 20.96, 9.77, 6.57, 4.93, 3.94, 3.29, 2.82, 2.53, 2.26, 1.11]	[0, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356]	[0, 2.79, 46.09, 42.95, 43.34, 43.34, 43.34, 43.34, 43.34, 44.51, 44.8, 24.39]
11	23.87	[0, 4.79, 20.24, 10.12, 6.75, 5.06, 4.71, 3.93, 3.39, 2.98, 1.54]	[0, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388]	[0, 10.53, 44.51, 44.51, 44.51, 44.51, 51.75, 51.83, 52.14, 52.49, 30.55]
12	23.91	[0, 22.32, 23.66, 11.88, 7.97, 5.98, 4.77, 3.98, 1.78]	[0, 419, 420, 421, 422, 423, 424, 425, 426]	[0, 49.08, 52.03, 52.25, 52.58, 52.58, 52.45, 52.45, 27.44]
13	23.73	[0, 20.94, 22.46, 11.41, 7.77, 5.83, 4.66, 3.96, 3.39, 2.29]	[0, 451, 452, 453, 454, 455, 456, 457, 458, 459]	[0, 46.05, 49.39, 50.21, 51.24, 51.24, 51.24, 52.18, 52.14, 40.29]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	11.3
19	11.3
20	10.63
21	10.67
22	10.67
23	10.74
24	10.74
25	10.74
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	10.45
68	12.61
69	12.61
70	13.16
71	13.19
72	13.23
73	13.23
74	13.16
75	8.14
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	4.55
105	13.98
106	13.29
107	13.54
108	13.58
109	13.58
110	13.58
111	13.67
112	13.7
113	13.7
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0.13
142	0.13
143	0.13
144	14.84
145	14.81
146	14.78
147	14.66
148	14.69
149	14.69
150	5.26
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	8.46
173	8.46
174	8.46
175	16.65
176	16.67
177	16.65
178	16.62
179	16.62
180	16.62
181	16.62
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	6.04
206	15.35
207	16.28
208	16.48
209	16.48
210	16.48
211	16.59
212	16.48
213	16.48
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	6.21
241	15.64
242	15.64
243	16.84
244	16.84
245	16.98
246	16.98
247	16.93
248	16.93
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0.52
283	0.52
284	20.04
285	20.06
286	20.11
287	19.35
288	19.27
289	19.27
290	19.27
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	19.91
315	20.09
316	20.24
317	20.24
318	20.44
319	20.44
320	20.42
321	20.39
322	9.53
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	1.27
347	20.96
348	19.53
349	19.71
350	19.71
351	19.71
352	19.71
353	19.71
354	20.24
355	20.37
356	11.09
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	4.79
380	20.24
381	20.24
382	20.24
383	20.24
384	23.53
385	23.57
386	23.71
387	23.87
388	13.89
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
