Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	7.92	[0, 0.0, 3.97, 6.83, 3.83, 2.63, 1.98, 0.86, 0.0, -0.37, -0.49, -0.21, -0.16, -0.12, -0.09, -0.07, -0.06, -0.05, -0.05, -0.04, -0.04, -0.03, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01]	[0, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98]	[0, 0.0, 8.73, 15.02, 16.82, 17.33, 17.42, 9.43, 0.0, -0.81, -1.08, -0.95, -1.08, -1.08, -0.95, -0.95, -0.95, -0.95, -0.95, -0.95, -0.95, -0.81, -0.68, -0.68, -0.68, -0.68, -0.68, -0.68, -0.68, -0.68, -0.68]
2	7.11	[0, 0.0, 3.83, 6.19, 3.44, 2.36, 1.78, 0.32, 0.02, -0.01, -0.02, -0.03, -0.03, -0.03, -0.03, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02]	[0, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129]	[0, 0.0, 8.42, 13.61, 15.11, 15.55, 15.64, 3.47, 0.26, -0.13, -0.4, -0.55, -0.55, -0.68, -0.68, -0.68, -0.68, -0.68, -0.68, -0.68, -0.68, -0.95]
3	7.88	[0, 0.0, 6.35, 7.61, 3.94, 2.55, 1.92, 0.22, -0.01, -0.05, -0.05, -0.01, -0.03, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01]	[0, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159]	[0, 0.0, 13.96, 16.74, 17.33, 16.82, 16.91, 2.4, -0.13, -0.81, -0.95, -0.26, -0.68, -0.55, -0.55, -0.55, -0.55, -0.55, -0.55, -0.55]
4	10.39	[0, 0.0, 7.81, 9.73, 5.08, 3.45, 2.6, 0.45, 0.05, -0.01, 0.0, 0.0]	[0, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189]	[0, 0.0, 17.18, 21.4, 22.32, 22.76, 22.85, 4.97, 0.64, -0.13, 0.0, 0.0]
5	9.94	[0, 0.0, 5.39, 8.81, 4.82, 3.28, 2.48, 1.99, 0.3, 0.03, -0.01, -0.02, -0.02, -0.02, -0.04, -0.02, -0.02, -0.02, -0.02, -0.03, -0.01, -0.01, -0.01, -0.01, -0.01, -0.02, -0.01, -0.01, -0.01]	[0, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257]	[0, 0.0, 11.85, 19.37, 21.18, 21.64, 21.86, 21.86, 3.94, 0.51, -0.26, -0.4, -0.4, -0.55, -0.95, -0.68, -0.68, -0.68, -0.68, -0.95, -0.4, -0.4, -0.55, -0.55, -0.55, -0.81, -0.68, -0.68, -0.68]
6	10.62	[0, 0.0, 9.56, 10.32, 5.26, 3.54, 2.27, 0.17, -0.03, -0.04, -0.02, -0.01, -0.02, -0.02, -0.01, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01]	[0, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299]	[0, 0.0, 21.02, 22.69, 23.13, 23.35, 20.01, 1.91, -0.4, -0.55, -0.4, -0.13, -0.4, -0.4, -0.4, -0.55, -0.55, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4]
7	13.6	[0, 0.0, 5.81, 11.64, 6.53, 4.46, 3.39, 2.72, 0.96, 0.82, 0.01, 0.01, 0.01, 0.01, -0.01, -0.0, 0.0, 0.0, -0.12, 3.01, 0.27, -0.18, -0.18]	[0, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370]	[0, 0.0, 12.78, 25.6, 28.7, 29.45, 29.84, 29.91, 12.69, 12.69, 0.26, 0.26, 0.13, 0.13, -0.26, -0.13, 0.0, 0.0, -0.26, 6.62, 1.17, -1.21, -1.63]
8	13.72	[0, 0.0, 7.31, 12.78, 6.61, 4.52, 3.43, 1.95, 0.24, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.06, 0.06, 0.03, 0.02]	[0, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402]	[0, 0.0, 16.08, 28.1, 29.05, 29.84, 30.17, 21.4, 3.23, 0.51, 0.26, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13]
9	13.99	[0, 0.0, 6.47, 12.9, 6.77, 4.45, 3.49, 2.8, 0.43, 0.08, 0.0, -0.06, -0.06, -0.09, 2.2, 0.13, 0.04]	[0, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429]	[0, 0.0, 14.23, 28.37, 29.78, 29.38, 30.7, 30.77, 5.65, 1.28, 0.0, -0.13, -0.13, -0.4, 14.49, 1.17, 0.4]
10	16.56	[0, 0.0, 12.78, 16.15, 8.21, 5.52, 3.67, 0.29, 0.02, -0.02, -0.03, -0.04, -0.04, -0.02, -0.09]	[0, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463]	[0, 0.0, 28.1, 35.52, 36.11, 36.42, 32.24, 3.23, 0.26, -0.26, -0.55, -0.81, -0.95, -0.4, -2.48]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	3.97
71	6.83
72	7.65
73	7.88
74	7.92
75	4.29
76	0.0
77	-0.37
78	-0.49
79	-0.43
80	-0.49
81	-0.49
82	-0.43
83	-0.43
84	-0.43
85	-0.43
86	-0.43
87	-0.43
88	-0.43
89	-0.37
90	-0.31
91	-0.31
92	-0.31
93	-0.31
94	-0.31
95	-0.31
96	-0.31
97	-0.31
98	-0.31
99	-0.43
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	3.83
111	6.19
112	6.87
113	7.07
114	7.11
115	1.58
116	0.12
117	-0.06
118	-0.18
119	-0.25
120	-0.25
121	-0.31
122	-0.31
123	-0.31
124	-0.31
125	-0.31
126	-0.31
127	-0.31
128	-0.31
129	-0.43
130	0.29
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	6.35
143	7.61
144	7.88
145	7.65
146	7.69
147	1.09
148	-0.06
149	-0.37
150	-0.43
151	-0.12
152	-0.31
153	-0.25
154	-0.25
155	-0.25
156	-0.25
157	-0.25
158	-0.25
159	-0.25
160	0.0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	7.81
181	9.73
182	10.15
183	10.35
184	10.39
185	2.26
186	0.29
187	-0.06
188	0.0
189	0.0
190	1.58
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	5.39
232	8.81
233	9.63
234	9.84
235	9.94
236	9.94
237	1.79
238	0.23
239	-0.12
240	-0.18
241	-0.18
242	-0.25
243	-0.43
244	-0.31
245	-0.31
246	-0.31
247	-0.31
248	-0.43
249	-0.18
250	-0.18
251	-0.25
252	-0.25
253	-0.25
254	-0.37
255	-0.31
256	-0.31
257	-0.31
258	-0.55
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	9.56
280	10.32
281	10.52
282	10.62
283	9.1
284	0.87
285	-0.18
286	-0.25
287	-0.18
288	-0.06
289	-0.18
290	-0.18
291	-0.18
292	-0.25
293	-0.25
294	-0.18
295	-0.18
296	-0.18
297	-0.18
298	-0.18
299	-0.18
300	0.12
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	5.81
351	11.64
352	13.05
353	13.39
354	13.57
355	13.6
356	5.77
357	5.77
358	0.12
359	0.12
360	0.06
361	0.06
362	-0.12
363	-0.06
364	0.0
365	0.0
366	-0.12
367	3.01
368	0.53
369	-0.55
370	-0.74
371	-0.87
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	7.31
386	12.78
387	13.21
388	13.57
389	13.72
390	9.73
391	1.47
392	0.23
393	0.12
394	0.06
395	0.06
396	0.06
397	0.06
398	0.06
399	0.06
400	0.06
401	0.06
402	0.06
403	-0.06
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	6.47
416	12.9
417	13.54
418	13.36
419	13.96
420	13.99
421	2.57
422	0.58
423	0.0
424	-0.06
425	-0.06
426	-0.18
427	6.59
428	0.53
429	0.18
430	0.0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	12.78
452	16.15
453	16.42
454	16.56
455	14.66
456	1.47
457	0.12
458	-0.12
459	-0.25
460	-0.37
461	-0.43
462	-0.18
463	-1.13
464	-0.49
465	0
466	0
467	0
468	0
469	0
470	0
471	0
