Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	10.61	[0, 0.61, 10.61, 5.3, 2.62, 0.27, 0.12, 0.08, 0.07, 0.06]	[0, 18, 19, 20, 21, 22, 23, 24, 25, 26]	[0, 1.34, 23.33, 23.33, 17.29, 2.33, 1.34, 1.03, 1.03, 1.03]	8.73
2	16.4	[0, 15.96, 16.37, 8.2, 5.47, 4.09, 3.27, 2.72, 2.33, 2.05, 1.81, 1.62, 0.16, 0.14, 0.03, 0.02, 0.02, 0.01, 0.01]	[0, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[0, 35.1, 36.0, 36.07, 36.07, 36.0, 36.0, 35.93, 35.93, 36.0, 35.87, 35.69, 3.83, 3.83, 0.75, 0.59, 0.59, 0.44, 0.44]	15.05
3	16.89	[0, 0.47, 16.77, 8.45, 5.62, 4.21, 3.37, 2.81, 2.4, 2.1, 1.87, 1.68, 1.53, 0.08, 0.07, 0.05, 0.05, 0.04, 0.06, 0.04, 0.05, 0.04, 0.48, 0.04, 0.03, 0.03, 0.03, 0.03]	[0, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92]	[0, 1.03, 36.88, 37.14, 37.08, 37.01, 37.01, 37.08, 37.01, 36.95, 36.95, 36.95, 36.95, 2.05, 2.05, 1.63, 1.63, 1.34, 2.33, 1.76, 1.91, 1.76, 22.12, 2.05, 1.76, 1.76, 1.76, 1.76]	12.47
4	0	[0]	[0]	[0]	0
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0.61	8.73
19	10.61	8.73
20	10.61	6.28
21	7.86	6.28
22	1.06	1.35
23	0.61	0.8
24	0.47	0.8
25	0.47	0.8
26	0.47	-5.07
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	15.96	0.64
36	16.37	14.76
37	16.4	14.33
38	16.4	14.19
39	16.37	14.33
40	16.37	14.48
41	16.34	15.05
42	16.34	15.05
43	16.37	14.23
44	16.31	14.33
45	16.23	14.33
46	1.74	14.33
47	1.74	14.33
48	0.34	2.01
49	0.27	2.01
50	0.27	0.34
51	0.2	0.0
52	0.2	0.0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0.47	12.47
67	16.77	12.47
68	16.89	12.47
69	16.86	11.78
70	16.83	11.78
71	16.83	11.98
72	16.86	11.98
73	16.83	11.88
74	16.8	11.88
75	16.8	11.88
76	16.8	11.68
77	16.8	0.19
78	0.93	-1.1
79	0.93	-1.1
80	0.74	-1.1
81	0.74	0.19
82	0.61	0.54
83	1.06	-1.67
84	0.8	0.86
85	0.87	0.54
86	0.8	0.19
87	10.06	8.96
88	0.93	0.0
89	0.8	-0.2
90	0.8	0.54
91	0.8	0.54
92	0.8	0.54
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
