Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	6.86	[0, 6.38, 6.64, 3.38, 2.25, 1.69, 1.35, 1.12, 0.97, 0.86, 0.15, 0.06, 0.04, 0.03, 0.07]	[0, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]	[0, 14.03, 14.6, 14.84, 14.84, 14.84, 14.84, 14.84, 15.0, 15.09, 2.99, 1.36, 0.9, 0.9, 1.91]	5.87
2	6.97	[0, -0.16, 6.79, 3.48, 2.32, 1.74, 1.39, 1.16, 1.0, 0.87, 0.77]	[0, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]	[0, -0.35, 14.93, 15.33, 15.33, 15.33, 15.33, 15.33, 15.33, 15.33, 15.33]	5.93
3	7.75	[0, 7.04, 7.57, 3.88, 2.58, 1.94, 1.55, 1.29, 1.11, 0.97, 0.15, 0.05, 0.03, 0.03]	[0, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]	[0, 15.48, 16.65, 17.04, 17.04, 17.04, 17.04, 17.04, 17.04, 17.04, 2.99, 1.14, 0.79, 0.68]	5.08
4	8.57	[0, 8.03, 8.47, 4.27, 2.86, 2.13, 1.71, 1.42, 1.22, 1.07, 0.95, 0.85, 0.78, 0.06, 0.03, 0.03, 0.02]	[0, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136]	[0, 17.66, 18.63, 18.78, 18.85, 18.78, 18.78, 18.78, 18.78, 18.78, 18.78, 18.78, 18.78, 1.47, 0.9, 0.79, 0.79]	7.81
5	8.37	[0, 7.64, 8.13, 4.13, 2.76, 2.07, 1.67, 1.39, 1.2, 1.05, 0.93, 0.11, 0.05, 0.05, 0.04, 0.03]	[0, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159]	[0, 16.8, 17.88, 18.19, 18.19, 18.19, 18.41, 18.41, 18.41, 18.41, 18.41, 2.44, 1.25, 1.25, 1.03, 1.03]	7.25
6	8.94	[0, 0.36, 8.5, 4.38, 2.92, 2.2, 1.76, 1.46, 1.27, 1.12, 0.99, 0.89, 0.11, 0.05, 0.03, 0.03, 0.02]	[0, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184]	[0, 0.79, 18.69, 19.29, 19.29, 19.37, 19.37, 19.29, 19.59, 19.66, 19.66, 19.66, 2.77, 1.25, 0.79, 0.79, 0.79]	9.62
7	12.12	[0, 11.1, 11.1, 5.9, 3.98, 2.99, 2.4, 2.0, 1.71, 1.5, 1.35, 1.21, 0.06, 0.04, 0.04]	[0, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204]	[0, 24.41, 24.41, 25.95, 26.28, 26.28, 26.35, 26.35, 26.35, 26.35, 26.65, 26.65, 1.47, 1.03, 1.03]	9.21
8	11.98	[0, 1.16, 10.74, 5.52, 3.73, 2.81, 2.27, 1.91, 1.64, 1.45, 1.3, 1.2, 0.17, 0.08, 0.05, 0.04, 0.03]	[0, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230]	[0, 2.55, 23.62, 24.28, 24.63, 24.76, 24.96, 25.16, 25.29, 25.42, 25.75, 26.35, 4.13, 2.13, 1.36, 1.14, 1.14]	9.63
9	11.32	[0, 10.24, 10.8, 5.52, 3.67, 2.76, 2.21, 1.85, 1.59, 1.42, 1.26, 0.27, 0.25, 0.04, 0.03, 0.03]	[0, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256]	[0, 22.52, 23.75, 24.28, 24.21, 24.28, 24.28, 24.41, 24.41, 24.89, 24.89, 6.03, 6.03, 1.14, 0.79, 0.79]	10.67
10	14.5	[0, 0.41, 13.67, 7.12, 4.79, 3.59, 2.89, 2.42, 2.06, 1.8, 1.6, 0.21, 0.09, 0.09, 0.05]	[0, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288]	[0, 0.9, 30.06, 31.34, 31.58, 31.58, 31.76, 31.89, 31.76, 31.76, 31.76, 4.53, 2.24, 2.24, 1.36]	10.68
11	13.56	[0, 12.74, 13.16, 6.67, 4.47, 3.36, 2.69, 2.25, 1.93, 1.69, 1.51, 0.21, 0.08, 0.05, 0.05, 0.05]	[0, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315]	[0, 28.02, 28.94, 29.31, 29.51, 29.58, 29.58, 29.69, 29.75, 29.75, 29.82, 4.53, 2.02, 1.36, 1.36, 1.47]	12.85
12	0.87	[0, 0.87, 0.57, 0.31, 0.22, 0.17, 0.13]	[0, 324, 325, 326, 327, 328, 329]	[0, 1.91, 1.25, 1.36, 1.47, 1.47, 1.47]	0
13	14.31	[0, 13.25, 14.14, 7.1, 4.76, 3.57, 2.86, 2.39, 2.04, 1.79, 1.57, 0.19, 0.07, 0.05, 0.04, 0.04]	[0, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353]	[0, 29.14, 31.1, 31.23, 31.4, 31.4, 31.4, 31.47, 31.47, 31.47, 31.03, 4.22, 1.8, 1.25, 1.25, 1.25]	11.23
14	16.72	[0, 15.93, 16.47, 8.3, 5.54, 4.16, 3.32, 2.77, 2.37, 2.08, 1.86]	[0, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374]	[0, 35.03, 36.22, 36.51, 36.55, 36.55, 36.55, 36.55, 36.51, 36.55, 36.77]	12.2
15	16.95	[0, 15.9, 15.9, 8.43, 5.65, 4.23, 3.39, 2.82, 2.42, 2.11, 1.86, 0.21, 0.09, 0.04, 0.04, 0.04, 0.03]	[0, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406]	[0, 34.97, 34.97, 37.06, 37.27, 37.23, 37.23, 37.17, 37.27, 37.17, 36.73, 4.64, 2.13, 1.14, 1.14, 1.14, 1.14]	10.68
16	18.09	[0, 0.26, 16.98, 8.81, 5.98, 4.51, 3.61, 3.01, 2.58, 2.26, 2.01]	[0, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427]	[0, 0.57, 37.34, 38.75, 39.45, 39.67, 39.72, 39.72, 39.78, 39.78, 39.78]	13.86
17	19.68	[0, 0.82, 0.82, 0.41, 6.51, 4.91, 3.94, 3.28, 2.81, 2.46, 2.19, 0.3, 0.14, 0.1, 0.09, 0.08]	[0, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456]	[0, 1.8, 1.8, 1.8, 42.93, 43.17, 43.28, 43.23, 43.28, 43.28, 43.28, 6.62, 3.3, 2.55, 2.44, 2.44]	12.98
18	18.9	[0, 2.56, 2.56, 9.31, 6.26, 4.72, 3.75, 3.12, 2.7, 2.36]	[0, 467, 468, 469, 470, 471, 472, 473, 474, 475]	[0, 5.63, 5.63, 40.95, 41.32, 41.52, 41.21, 41.21, 41.56, 41.48]	12.25
19	20.14	[0, 19.02, 20.14, 9.9, 6.65, 5.0, 4.01, 3.34]	[0, 490, 491, 492, 493, 494, 495, 496]	[0, 41.83, 44.29, 43.54, 43.89, 43.98, 44.09, 44.09]	16.75
20	9.69	[0, 8.97, 9.47, 4.84, 0.87, 0.55, 0.43, 0.36, 0.33, 0.27, 0.24]	[0, 513, 514, 515, 516, 517, 518, 519, 520, 521, 522]	[0, 19.73, 20.83, 21.31, 5.74, 4.84, 4.73, 4.73, 5.04, 4.73, 4.73]	2.77
21	19.54	[0, 18.98, 19.45, 9.72, 6.48, 4.88, 3.91, 3.22, 2.77, 2.33]	[0, 535, 536, 537, 538, 539, 540, 541, 542, 543]	[0, 41.74, 42.77, 42.77, 42.77, 42.93, 42.97, 42.51, 42.62, 41.06]	9.99
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	6.38	-0.25
53	6.64	-0.25
54	6.75	5.51
55	6.75	5.51
56	6.75	5.51
57	6.75	5.51
58	6.75	5.51
59	6.82	5.51
60	6.86	5.87
61	1.36	5.87
62	0.62	-0.82
63	0.41	-0.25
64	0.41	-0.25
65	0.87	-0.25
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	-0.16	5.93
78	6.79	5.77
79	6.97	5.77
80	6.97	5.53
81	6.97	5.53
82	6.97	5.53
83	6.97	5.53
84	6.97	5.53
85	6.97	5.53
86	6.97	5.53
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	7.04	4.94
98	7.57	4.94
99	7.75	4.94
100	7.75	4.87
101	7.75	5.01
102	7.75	5.01
103	7.75	5.08
104	7.75	5.08
105	7.75	4.94
106	1.36	4.94
107	0.52	-2.26
108	0.36	-2.26
109	0.31	-2.26
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	8.03	0.59
122	8.47	7.53
123	8.54	7.67
124	8.57	7.67
125	8.54	7.74
126	8.54	7.74
127	8.54	7.74
128	8.54	7.74
129	8.54	7.81
130	8.54	7.81
131	8.54	7.81
132	8.54	7.81
133	0.67	-1.27
134	0.41	-0.97
135	0.36	-0.7
136	0.36	-0.7
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	7.64	-0.51
146	8.13	-0.51
147	8.27	7.25
148	8.27	7.25
149	8.27	7.25
150	8.37	6.64
151	8.37	6.64
152	8.37	6.78
153	8.37	6.78
154	8.37	6.78
155	1.11	6.78
156	0.57	6.78
157	0.57	6.78
158	0.47	6.78
159	0.47	6.78
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0.36	9.55
170	8.5	9.55
171	8.77	9.55
172	8.77	9.55
173	8.81	9.55
174	8.81	9.55
175	8.77	9.55
176	8.91	9.55
177	8.94	9.28
178	8.94	9.28
179	8.94	9.62
180	1.26	9.62
181	0.57	2.21
182	0.36	2.53
183	0.36	2.53
184	0.36	2.84
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	11.1	9.21
192	11.1	9.21
193	11.8	9.21
194	11.95	8.84
195	11.95	8.79
196	11.98	8.79
197	11.98	9.0
198	11.98	8.9
199	11.98	8.9
200	12.12	8.36
201	12.12	8.36
202	0.67	8.36
203	0.47	8.36
204	0.47	8.36
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	1.16	-0.78
216	10.74	-0.78
217	11.04	9.58
218	11.2	9.58
219	11.26	9.58
220	11.35	9.58
221	11.44	9.58
222	11.5	9.15
223	11.56	9.15
224	11.71	9.63
225	11.98	9.26
226	1.88	9.26
227	0.97	9.26
228	0.62	-0.46
229	0.52	-0.46
230	0.52	0.14
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	10.24	9.87
243	10.8	10.04
244	11.04	10.46
245	11.01	10.67
246	11.04	10.67
247	11.04	10.67
248	11.1	10.67
249	11.1	10.41
250	11.32	10.57
251	11.32	10.57
252	2.74	10.57
253	2.74	10.57
254	0.52	10.57
255	0.36	2.42
256	0.36	1.84
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0.41	0.7
276	13.67	10.19
277	14.25	10.19
278	14.36	10.19
279	14.36	10.19
280	14.44	10.68
281	14.5	10.28
282	14.44	10.28
283	14.44	10.32
284	14.44	10.32
285	2.06	10.32
286	1.02	10.32
287	1.02	-2.7
288	0.62	-2.7
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	12.74	12.71
302	13.16	12.71
303	13.33	12.71
304	13.42	12.71
305	13.45	12.85
306	13.45	12.37
307	13.5	12.37
308	13.53	12.37
309	13.53	12.37
310	13.56	12.37
311	2.06	0.54
312	0.92	0.54
313	0.62	1.74
314	0.62	1.74
315	0.67	2.62
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0.87	-2.65
325	0.57	-2.65
326	0.62	-2.65
327	0.67	-0.78
328	0.67	-0.78
329	0.67	-0.78
330	0	0
331	0	0
332	0	0
333	0	0
334	0	0
335	0	0
336	0	0
337	0	0
338	0	0
339	13.25	0.33
340	14.14	10.6
341	14.2	10.65
342	14.28	10.65
343	14.28	10.65
344	14.28	10.65
345	14.31	10.65
346	14.31	10.65
347	14.31	11.1
348	14.11	11.23
349	1.92	11.23
350	0.82	-0.11
351	0.57	0.33
352	0.57	0.33
353	0.57	0.33
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	15.93	12.2
366	16.47	12.2
367	16.6	12.2
368	16.62	12.2
369	16.62	12.2
370	16.62	12.07
371	16.62	11.69
372	16.6	11.69
373	16.62	12.12
374	16.72	12.12
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	15.9	-3.85
392	15.9	-3.85
393	16.85	10.42
394	16.95	10.42
395	16.93	10.68
396	16.93	10.59
397	16.9	10.59
398	16.95	10.59
399	16.9	10.59
400	16.7	9.95
401	2.11	9.95
402	0.97	9.95
403	0.52	9.95
404	0.52	9.95
405	0.52	9.95
406	0.52	9.95
407	0	0
408	0	0
409	0	0
410	0	0
411	0	0
412	0	0
413	0	0
414	0	0
415	0	0
416	0	0
417	0	0
418	0.26	0.23
419	16.98	0.23
420	17.62	13.58
421	17.94	13.58
422	18.04	13.58
423	18.06	13.38
424	18.06	13.38
425	18.09	13.38
426	18.09	13.86
427	18.09	13.86
428	0	0
429	0	0
430	0	0
431	0	0
432	0	0
433	0	0
434	0	0
435	0	0
436	0	0
437	0	0
438	0	0
439	0	0
440	0	0
441	0	0
442	0.82	4.81
443	0.82	4.81
444	0.82	4.81
445	19.52	12.98
446	19.63	12.98
447	19.68	12.98
448	19.66	12.57
449	19.68	12.83
450	19.68	12.83
451	19.68	12.45
452	3.01	-0.09
453	1.5	0.78
454	1.16	-1.79
455	1.11	-1.79
456	1.11	0.94
457	0	0
458	0	0
459	0	0
460	0	0
461	0	0
462	0	0
463	0	0
464	0	0
465	0	0
466	0	0
467	2.56	1.2
468	2.56	1.2
469	18.62	11.95
470	18.79	11.75
471	18.88	11.91
472	18.74	11.91
473	18.74	12.14
474	18.9	12.25
475	18.86	12.25
476	0	0
477	0	0
478	0	0
479	0	0
480	0	0
481	0	0
482	0	0
483	0	0
484	0	0
485	0	0
486	0	0
487	0	0
488	0	0
489	0	0
490	19.02	-1.86
491	20.14	-1.86
492	19.8	-1.86
493	19.96	-1.86
494	20.0	-1.86
495	20.05	16.75
