Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	17.49	[0, 16.89, 17.28, 8.74, 5.79, 4.34, 3.48, 2.87, 2.46, 0.17, 0.09, 0.09, 0.08, 0.07, 0.07, 0.06, 0.24, 0.03, 0.01, 0.02]	[0, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[0, 37.14, 38.0, 38.46, 38.18, 38.18, 38.29, 37.89, 37.89, 3.03, 1.85, 1.98, 1.98, 1.98, 1.98, 1.98, 7.98, 0.88, 0.51, 0.62]	17.03
2	21.8	[0, 15.51, 21.07, 10.79, 7.27, 5.45, 4.36, 3.63, 3.11, 0.9, 0.2, 0.11, 0.08, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04]	[0, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	[0, 34.11, 46.34, 47.46, 47.94, 47.9, 47.9, 47.9, 47.94, 15.88, 3.94, 2.33, 1.98, 1.5, 1.36, 1.36, 1.36, 1.36, 1.36]	23.06
3	19.88	[0, 12.12, 19.88, 9.87, 6.6, 4.95, 3.96, 3.29, 2.78, 1.82, 1.61, 0.2, 0.13, 0.07, 0.06, 0.05, 0.04, 0.04, 0.03, 0.03, 0.03]	[0, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]	[0, 26.65, 43.72, 43.41, 43.52, 43.52, 43.52, 43.45, 42.82, 31.95, 31.95, 4.29, 3.03, 1.85, 1.85, 1.61, 1.36, 1.23, 1.23, 1.23, 1.23]	17.11
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	16.89	-3.47
6	17.28	16.74
7	17.49	16.99
8	17.36	16.88
9	17.36	16.85
10	17.41	17.03
11	17.23	17.03
12	17.23	0.28
13	1.38	-1.86
14	0.84	-0.76
15	0.9	-0.76
16	0.9	-0.76
17	0.9	-1.66
18	0.9	-1.66
19	0.9	-1.66
20	3.63	0.92
21	0.4	-0.92
22	0.23	-0.92
23	0.28	-1.66
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	15.51	-2.53
34	21.07	-2.53
35	21.58	-2.53
36	21.8	23.06
37	21.78	23.04
38	21.78	22.86
39	21.78	23.04
40	21.8	22.86
41	7.22	22.86
42	1.79	3.15
43	1.06	0.0
44	0.9	0.0
45	0.68	0.0
46	0.62	0.0
47	0.62	1.27
48	0.62	1.76
49	0.62	1.76
50	0.62	1.88
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	12.12	8.28
61	19.88	17.11
62	19.74	17.05
63	19.79	16.96
64	19.79	16.96
65	19.79	16.96
66	19.76	16.42
67	19.47	16.42
68	14.53	10.41
69	14.53	-0.85
70	1.95	5.08
71	1.38	5.08
72	0.84	5.08
73	0.84	-5.06
74	0.73	-5.06
75	0.62	-3.2
76	0.56	-3.2
77	0.56	-0.46
78	0.56	-0.37
79	0.56	-0.18
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	20.34	18.49
89	20.34	20.37
90	21.16	19.98
91	21.25	19.89
92	21.25	19.89
93	20.64	19.2
94	20.64	19.2
95	6.48	19.2
96	2.1	-2.83
97	1.38	2.48
98	1.27	-0.58
99	1.27	-2.29
100	1.32	-2.29
101	1.38	-4.91
102	1.38	-4.49
103	1.38	-4.49
104	1.38	-4.1
105	1.38	-4.1
